frame,condition,filename,thorax_mosquito1,thorax_mosquito2,abdo1_mosquito1,abdo1_mosquito2,abdo2_mosquito1,abdo2_mosquito2,abdo3_mosquito1,abdo3_mosquito2,abdo4_mosquito1,abdo4_mosquito2
0,3,labels_v001_012_08_19_21_ Set 1_ Cage B_ 1_Virgin_sub0_100_117_attempted_analysis,"(np.float64(1037.2451171875), np.float64(954.9124145507812))","(np.float64(1104.9715576171875), np.float64(1026.833984375))","(np.float64(1029.185791015625), np.float64(964.2470703125))","(np.float64(1094.97216796875), np.float64(1036.9508056640625))","(np.float64(1025.2811279296875), np.float64(988.120361328125))","(np.float64(1075.3460693359375), np.float64(1046.99853515625))","(np.float64(1027.1444091796875), np.float64(1015.9143676757812))","(np.float64(1052.9207763671875), np.float64(1056.6763916015625))","(np.float64(1029.031005859375), np.float64(1045.8701171875))","(np.float64(1021.238037109375), np.float64(1070.7275390625))"
1,3,labels_v001_012_08_19_21_ Set 1_ Cage B_ 1_Virgin_sub0_100_117_attempted_analysis,"(np.float64(1035.8177490234375), np.float64(954.9614868164062))","(np.float64(1104.9169921875), np.float64(1026.9219970703125))","(np.float64(1029.252685546875), np.float64(964.2979736328125))","(np.float64(1094.9290771484375), np.float64(1037.0250244140625))","(np.float64(1025.3446044921875), np.float64(988.16796875))","(np.float64(1075.30615234375), np.float64(1047.0709228515625))","(np.float64(1027.2255859375), np.float64(1015.9625854492188))","(np.float64(1052.871337890625), np.float64(1056.728271484375))","(np.float64(1027.66845703125), np.float64(1046.0260009765625))","(np.float64(1021.1925048828125), np.float64(1070.8167724609375))"
2,3,labels_v001_012_08_19_21_ Set 1_ Cage B_ 1_Virgin_sub0_100_117_attempted_analysis,"(np.float64(1037.29443359375), np.float64(954.968505859375))","(np.float64(1104.9385986328125), np.float64(1026.859619140625))","(np.float64(1029.2320556640625), np.float64(964.2860107421875))","(np.float64(1094.9051513671875), np.float64(1036.963623046875))","(np.float64(1025.32275390625), np.float64(988.171630859375))","(np.float64(1075.294677734375), np.float64(1047.0330810546875))","(np.float64(1027.190185546875), np.float64(1015.9741821289062))","(np.float64(1052.875732421875), np.float64(1056.70068359375))","(np.float64(1027.6383056640625), np.float64(1045.90185546875))","(np.float64(1021.1878051757812), np.float64(1070.776611328125))"
3,3,labels_v001_012_08_19_21_ Set 1_ Cage B_ 1_Virgin_sub0_100_117_attempted_analysis,"(np.float64(1037.2738037109375), np.float64(954.9600219726562))","(np.float64(1104.630615234375), np.float64(1027.0284423828125))","(np.float64(1029.218994140625), np.float64(964.274658203125))","(np.float64(1094.60595703125), np.float64(1037.1400146484375))","(np.float64(1025.31103515625), np.float64(988.1609497070312))","(np.float64(1075.023193359375), np.float64(1048.63330078125))","(np.float64(1027.1739501953125), np.float64(1015.966552734375))","(np.float64(1052.60791015625), np.float64(1056.7633056640625))","(np.float64(1027.619384765625), np.float64(1045.892822265625))","(np.float64(1020.8868408203125), np.float64(1070.8948974609375))"
4,3,labels_v001_012_08_19_21_ Set 1_ Cage B_ 1_Virgin_sub0_100_117_attempted_analysis,"(np.float64(1037.2801513671875), np.float64(954.9710693359375))","(np.float64(1104.587158203125), np.float64(1027.0435791015625))","(np.float64(1029.2216796875), np.float64(964.2821655273438))","(np.float64(1094.5821533203125), np.float64(1037.1571044921875))","(np.float64(1025.306884765625), np.float64(988.169921875))","(np.float64(1074.9776611328125), np.float64(1047.154052734375))","(np.float64(1027.1761474609375), np.float64(1015.9781494140625))","(np.float64(1052.5780029296875), np.float64(1056.779296875))","(np.float64(1027.6204833984375), np.float64(1045.9111328125))","(np.float64(1020.868896484375), np.float64(1070.90673828125))"
5,3,labels_v001_012_08_19_21_ Set 1_ Cage B_ 1_Virgin_sub0_100_117_attempted_analysis,"(np.float64(1035.8682861328125), np.float64(955.001953125))","(np.float64(1104.8133544921875), np.float64(1027.0401611328125))","(np.float64(1029.272216796875), np.float64(964.3040771484375))","(np.float64(1094.80908203125), np.float64(1037.1495361328125))","(np.float64(1025.347412109375), np.float64(988.2036743164062))","(np.float64(1075.208984375), np.float64(1047.1578369140625))","(np.float64(1027.24169921875), np.float64(1016.0048828125))","(np.float64(1052.8031005859375), np.float64(1056.799072265625))","(np.float64(1027.6800537109375), np.float64(1045.936279296875))","(np.float64(1021.1500854492188), np.float64(1070.92138671875))"
6,3,labels_v001_012_08_19_21_ Set 1_ Cage B_ 1_Virgin_sub0_100_117_attempted_analysis,"(np.float64(1035.990478515625), np.float64(955.11669921875))","(np.float64(1105.3857421875), np.float64(1026.822998046875))","(np.float64(1029.42724609375), np.float64(964.3819580078125))","(np.float64(1095.3033447265625), np.float64(1037.01025390625))","(np.float64(1025.4945068359375), np.float64(988.328125))","(np.float64(1077.3184814453125), np.float64(1046.96240234375))","(np.float64(1027.40771484375), np.float64(1016.135986328125))","(np.float64(1055.047119140625), np.float64(1056.712890625))","(np.float64(1029.29833984375), np.float64(1046.0374755859375))","(np.float64(1022.9786376953125), np.float64(1070.8544921875))"
7,3,labels_v001_012_08_19_21_ Set 1_ Cage B_ 1_Virgin_sub0_100_117_attempted_analysis,"(np.float64(1035.9892578125), np.float64(955.1002807617188))","(np.float64(1105.3114013671875), np.float64(1026.7991943359375))","(np.float64(1029.405029296875), np.float64(964.3695068359375))","(np.float64(1095.228759765625), np.float64(1036.976318359375))","(np.float64(1025.4620361328125), np.float64(988.3115234375))","(np.float64(1077.220947265625), np.float64(1046.9239501953125))","(np.float64(1027.3890380859375), np.float64(1016.1151733398438))","(np.float64(1054.9793701171875), np.float64(1056.675048828125))","(np.float64(1029.2894287109375), np.float64(1046.09521484375))","(np.float64(1022.9213256835938), np.float64(1070.832275390625))"
8,3,labels_v001_012_08_19_21_ Set 1_ Cage B_ 1_Virgin_sub0_100_117_attempted_analysis,"(np.float64(1035.8736572265625), np.float64(955.0093383789062))","(np.float64(1104.9154052734375), np.float64(1026.987060546875))","(np.float64(1029.301513671875), np.float64(964.280029296875))","(np.float64(1094.901123046875), np.float64(1037.0843505859375))","(np.float64(1025.3583984375), np.float64(988.2144775390625))","(np.float64(1075.2691650390625), np.float64(1047.1217041015625))","(np.float64(1027.27783203125), np.float64(1016.01708984375))","(np.float64(1052.8927001953125), np.float64(1056.787109375))","(np.float64(1027.7119140625), np.float64(1045.9857177734375))","(np.float64(1021.2666625976562), np.float64(1070.911865234375))"
9,3,labels_v001_012_08_19_21_ Set 1_ Cage B_ 1_Virgin_sub0_100_117_attempted_analysis,"(np.float64(1035.9180908203125), np.float64(955.0064086914062))","(np.float64(1104.8125), np.float64(1027.0352783203125))","(np.float64(1029.3480224609375), np.float64(964.281494140625))","(np.float64(1094.7950439453125), np.float64(1037.1488037109375))","(np.float64(1025.40283203125), np.float64(988.2137451171875))","(np.float64(1075.1827392578125), np.float64(1047.1710205078125))","(np.float64(1027.3358154296875), np.float64(1016.0108032226562))","(np.float64(1052.7940673828125), np.float64(1056.8179931640625))","(np.float64(1027.7525634765625), np.float64(1045.998779296875))","(np.float64(1021.1333618164062), np.float64(1070.9752197265625))"
