frame,condition,filename,thorax_mosquito1,thorax_mosquito2,abdo1_mosquito1,abdo1_mosquito2,abdo2_mosquito1,abdo2_mosquito2,abdo3_mosquito1,abdo3_mosquito2,abdo4_mosquito1,abdo4_mosquito2
0,3,labels_v001_035_08_19_21_ Set 2_ Cage A_ 5_Virgin_sub2_129_136_attempted_analysis,"(np.float64(1035.4967041015625), np.float64(899.690185546875))","(np.float64(1084.5816650390625), np.float64(952.9328002929688))","(np.float64(1023.18701171875), np.float64(906.07568359375))","(np.float64(1076.957763671875), np.float64(963.3973388671875))","(np.float64(1011.2440185546875), np.float64(929.8197021484375))","(np.float64(1066.5050048828125), np.float64(979.4395751953125))","(np.float64(1007.175537109375), np.float64(955.8673706054688))","(np.float64(1048.4644775390625), np.float64(997.13134765625))","(np.float64(1004.90576171875), np.float64(986.0731201171875))","(np.float64(1032.6787109375), np.float64(1017.1023559570312))"
1,3,labels_v001_035_08_19_21_ Set 2_ Cage A_ 5_Virgin_sub2_129_136_attempted_analysis,"(np.float64(1035.525634765625), np.float64(899.981201171875))","(np.float64(1083.0614013671875), np.float64(951.4641723632812))","(np.float64(1023.2894287109375), np.float64(906.313720703125))","(np.float64(1076.9752197265625), np.float64(963.4717407226562))","(np.float64(1009.7692260742188), np.float64(930.0884399414062))","(np.float64(1064.98974609375), np.float64(981.1198120117188))","(np.float64(1005.5335083007812), np.float64(956.0985107421875))","(np.float64(1048.6314697265625), np.float64(997.2272338867188))","(np.float64(1003.7493286132812), np.float64(986.15380859375))","(np.float64(1032.828369140625), np.float64(1017.3115844726562))"
2,3,labels_v001_035_08_19_21_ Set 2_ Cage A_ 5_Virgin_sub2_129_136_attempted_analysis,"(np.float64(1035.2381591796875), np.float64(899.979248046875))","(np.float64(1083.02734375), np.float64(951.6896362304688))","(np.float64(1023.004150390625), np.float64(906.307861328125))","(np.float64(1077.0155029296875), np.float64(963.720947265625))","(np.float64(1009.4749145507812), np.float64(930.057861328125))","(np.float64(1065.075439453125), np.float64(981.4571533203125))","(np.float64(1005.2392578125), np.float64(956.0638427734375))","(np.float64(1048.7386474609375), np.float64(997.5445556640625))","(np.float64(1003.4672241210938), np.float64(986.1170043945312))","(np.float64(1032.908447265625), np.float64(1017.6837158203125))"
3,3,labels_v001_035_08_19_21_ Set 2_ Cage A_ 5_Virgin_sub2_129_136_attempted_analysis,"(np.float64(1035.28125), np.float64(900.0150146484375))","(np.float64(1083.0516357421875), np.float64(951.4488525390625))","(np.float64(1023.0640869140625), np.float64(906.3668212890625))","(np.float64(1077.22412109375), np.float64(963.6025390625))","(np.float64(1009.5477905273438), np.float64(930.108642578125))","(np.float64(1065.2645263671875), np.float64(981.4600830078125))","(np.float64(1005.2937622070312), np.float64(956.1194458007812))","(np.float64(1049.004638671875), np.float64(999.2556762695312))","(np.float64(1003.495849609375), np.float64(986.2333374023438))","(np.float64(1033.3067626953125), np.float64(1017.5960083007812))"
4,3,labels_v001_035_08_19_21_ Set 2_ Cage A_ 5_Virgin_sub2_129_136_attempted_analysis,"(np.float64(1035.568115234375), np.float64(899.728271484375))","(np.float64(1083.4580078125), np.float64(951.6267700195312))","(np.float64(1023.319580078125), np.float64(906.0789794921875))","(np.float64(1077.582275390625), np.float64(963.7353515625))","(np.float64(1011.23046875), np.float64(929.77294921875))","(np.float64(1065.6004638671875), np.float64(981.5985107421875))","(np.float64(1005.4732055664062), np.float64(955.7946166992188))","(np.float64(1049.3046875), np.float64(999.447509765625))","(np.float64(1003.7063598632812), np.float64(985.9705810546875))","(np.float64(1035.169189453125), np.float64(1017.8280029296875))"
5,3,labels_v001_035_08_19_21_ Set 2_ Cage A_ 5_Virgin_sub2_129_136_attempted_analysis,"(np.float64(1035.428955078125), np.float64(899.9559326171875))","(np.float64(1083.6221923828125), np.float64(951.7993774414062))","(np.float64(1023.18505859375), np.float64(906.3024291992188))","(np.float64(1077.638427734375), np.float64(963.7513427734375))","(np.float64(1009.6299438476562), np.float64(930.0117797851562))","(np.float64(1067.390625), np.float64(980.0845336914062))","(np.float64(1005.345458984375), np.float64(956.020751953125))","(np.float64(1051.4315185546875), np.float64(997.788330078125))","(np.float64(1003.544189453125), np.float64(986.18896484375))","(np.float64(1035.292236328125), np.float64(1018.0830688476562))"
6,3,labels_v001_035_08_19_21_ Set 2_ Cage A_ 5_Virgin_sub2_129_136_attempted_analysis,"(np.float64(1035.2662353515625), np.float64(900.224609375))","(np.float64(1083.5538330078125), np.float64(951.6669921875))","(np.float64(1023.0203247070312), np.float64(906.5584106445312))","(np.float64(1077.6175537109375), np.float64(963.7069702148438))","(np.float64(1009.463134765625), np.float64(930.2698364257812))","(np.float64(1067.5230712890625), np.float64(981.5667114257812))","(np.float64(1005.1923828125), np.float64(956.28125))","(np.float64(1051.5308837890625), np.float64(999.5543823242188))","(np.float64(1003.3736572265625), np.float64(986.4397583007812))","(np.float64(1035.4288330078125), np.float64(1019.426025390625))"
7,3,labels_v001_035_08_19_21_ Set 2_ Cage A_ 5_Virgin_sub2_129_136_attempted_analysis,"(np.float64(1035.2752685546875), np.float64(900.0562133789062))","(np.float64(1083.607177734375), np.float64(951.691650390625))","(np.float64(1023.0197143554688), np.float64(906.381103515625))","(np.float64(1077.6348876953125), np.float64(963.697265625))","(np.float64(1009.4786987304688), np.float64(930.1061401367188))","(np.float64(1067.5635986328125), np.float64(981.5678100585938))","(np.float64(1005.2030029296875), np.float64(956.1138305664062))","(np.float64(1051.552001953125), np.float64(999.5897216796875))","(np.float64(1003.3964233398438), np.float64(986.2481079101562))","(np.float64(1035.5384521484375), np.float64(1019.4730224609375))"
8,3,labels_v001_035_08_19_21_ Set 2_ Cage A_ 5_Virgin_sub2_129_136_attempted_analysis,"(np.float64(1035.277099609375), np.float64(899.9417724609375))","(np.float64(1083.8177490234375), np.float64(951.8019409179688))","(np.float64(1023.0258178710938), np.float64(906.2574462890625))","(np.float64(1077.79248046875), np.float64(963.7554321289062))","(np.float64(1009.4871826171875), np.float64(929.9937133789062))","(np.float64(1067.760498046875), np.float64(981.631103515625))","(np.float64(1005.2050170898438), np.float64(956.00927734375))","(np.float64(1051.735595703125), np.float64(999.6967163085938))","(np.float64(1003.4158325195312), np.float64(986.108154296875))","(np.float64(1035.736572265625), np.float64(1019.56787109375))"
9,3,labels_v001_035_08_19_21_ Set 2_ Cage A_ 5_Virgin_sub2_129_136_attempted_analysis,"(np.float64(1035.2813720703125), np.float64(900.1488037109375))","(np.float64(1083.84326171875), np.float64(951.9578247070312))","(np.float64(1023.0399780273438), np.float64(906.5067749023438))","(np.float64(1077.7843017578125), np.float64(963.930908203125))","(np.float64(1009.4920043945312), np.float64(930.2177734375))","(np.float64(1067.80029296875), np.float64(981.818359375))","(np.float64(1005.2110595703125), np.float64(956.2203979492188))","(np.float64(1051.7818603515625), np.float64(999.8580322265625))","(np.float64(1003.4159545898438), np.float64(986.3275146484375))","(np.float64(1035.771484375), np.float64(1019.8341674804688))"
