frame,condition,filename,thorax_mosquito1,thorax_mosquito2,abdo1_mosquito1,abdo1_mosquito2,abdo2_mosquito1,abdo2_mosquito2,abdo3_mosquito1,abdo3_mosquito2,abdo4_mosquito1,abdo4_mosquito2
0,2,labels_v001_041_08_19_21_ Set 2_ Cage A_ 5_Virgin_sub8_345_361_succesful_analysis,"(np.float64(1116.8167724609375), np.float64(871.6307983398438))","(np.float64(1162.09619140625), np.float64(993.9910888671875))","(np.float64(1107.0244140625), np.float64(881.8504028320312))","(np.float64(1169.89208984375), np.float64(1006.1556396484375))","(np.float64(1098.861572265625), np.float64(903.7914428710938))","(np.float64(1179.9912109375), np.float64(1025.9708251953125))","(np.float64(1100.750244140625), np.float64(931.7623901367188))","(np.float64(1191.7696533203125), np.float64(1047.6575927734375))","(np.float64(1108.7969970703125), np.float64(959.7354736328125))","(np.float64(1205.701416015625), np.float64(1073.68359375))"
1,2,labels_v001_041_08_19_21_ Set 2_ Cage A_ 5_Virgin_sub8_345_361_succesful_analysis,"(np.float64(1107.6142578125), np.float64(875.2822875976562))","(np.float64(1224.7513834635417), np.float64(963.9820963541666))","(np.float64(1099.20947265625), np.float64(885.4432983398438))","(np.float64(1232.5199381510417), np.float64(975.2857869466146))","(np.float64(1089.5013427734375), np.float64(905.7869873046875))","(np.float64(1244.7429606119792), np.float64(992.5364786783854))","(np.float64(1089.1004638671875), np.float64(935.398681640625))","(np.float64(1259.8151041666667), np.float64(1011.6707356770834))","(np.float64(1097.3414306640625), np.float64(963.4716796875))","(np.float64(1275.8674723307292), np.float64(1033.1029256184895))"
2,2,labels_v001_041_08_19_21_ Set 2_ Cage A_ 5_Virgin_sub8_345_361_succesful_analysis,"(np.float64(1095.703857421875), np.float64(880.6958618164062))","(np.float64(1287.4065755208333), np.float64(933.9731038411459))","(np.float64(1087.15625), np.float64(890.882080078125))","(np.float64(1295.1477864583333), np.float64(944.4159342447916))","(np.float64(1077.2916259765625), np.float64(911.1502685546875))","(np.float64(1309.4947102864583), np.float64(959.1021321614584))","(np.float64(1075.2454833984375), np.float64(940.6985473632812))","(np.float64(1327.8605550130208), np.float64(975.6838785807291))","(np.float64(1081.4140625), np.float64(968.9335327148438))","(np.float64(1346.0335286458333), np.float64(992.5222574869791))"
3,2,labels_v001_041_08_19_21_ Set 2_ Cage A_ 5_Virgin_sub8_345_361_succesful_analysis,"(np.float64(1106.6864013671875), np.float64(876.117431640625))","(np.float64(1350.061767578125), np.float64(903.964111328125))","(np.float64(1098.216552734375), np.float64(884.6649780273438))","(np.float64(1357.775634765625), np.float64(913.5460815429688))","(np.float64(1088.45068359375), np.float64(906.6083374023438))","(np.float64(1374.2464599609375), np.float64(925.6677856445312))","(np.float64(1088.1700439453125), np.float64(936.3129272460938))","(np.float64(1395.906005859375), np.float64(939.697021484375))","(np.float64(1096.224365234375), np.float64(964.4682006835938))","(np.float64(1416.1995849609375), np.float64(951.9415893554688))"
4,2,labels_v001_041_08_19_21_ Set 2_ Cage A_ 5_Virgin_sub8_345_361_succesful_analysis,"(np.float64(1113.3594970703125), np.float64(873.4232177734375))","(np.float64(1225.8460693359375), np.float64(890.6203918457031))","(np.float64(1103.49853515625), np.float64(883.4365844726562))","(np.float64(1295.2939453125), np.float64(879.4590454101562))","(np.float64(1095.2227783203125), np.float64(904.0067138671875))","(np.float64(1311.211669921875), np.float64(891.6846313476562))","(np.float64(1093.3167724609375), np.float64(933.5804443359375))","(np.float64(1332.8001708984375), np.float64(907.6170654296875))","(np.float64(1103.3609619140625), np.float64(961.6810302734375))","(np.float64(1360.7889404296875), np.float64(923.9771728515625))"
5,2,labels_v001_041_08_19_21_ Set 2_ Cage A_ 5_Virgin_sub8_345_361_succesful_analysis,"(np.float64(1108.5946858723958), np.float64(874.4703776041666))","(np.float64(1101.63037109375), np.float64(877.2766723632812))","(np.float64(1114.7178955078125), np.float64(868.2416381835938))","(np.float64(1091.842041015625), np.float64(889.3905029296875))","(np.float64(1148.1248779296875), np.float64(855.9912719726562))","(np.float64(1082.1182861328125), np.float64(909.3863525390625))","(np.float64(1168.1759033203125), np.float64(867.9971923828125))","(np.float64(1083.7232666015625), np.float64(937.3032836914062))","(np.float64(1184.5498046875), np.float64(893.96337890625))","(np.float64(1086.1258544921875), np.float64(967.44189453125))"
6,2,labels_v001_041_08_19_21_ Set 2_ Cage A_ 5_Virgin_sub8_345_361_succesful_analysis,"(np.float64(1103.8298746744792), np.float64(875.5175374348959))","(np.float64(1087.323486328125), np.float64(881.4925537109375))","(np.float64(1102.0313110351562), np.float64(878.4383850097656))","(np.float64(1075.7117919921875), np.float64(891.9104614257812))","(np.float64(1114.7182006835938), np.float64(882.3222045898438))","(np.float64(1067.6796875), np.float64(913.5728759765625))","(np.float64(1124.5916137695312), np.float64(902.2928161621094))","(np.float64(1067.3690185546875), np.float64(941.524658203125))","(np.float64(1134.9751586914062), np.float64(929.4703369140625))","(np.float64(1067.6385498046875), np.float64(971.8151245117188))"
7,2,labels_v001_041_08_19_21_ Set 2_ Cage A_ 5_Virgin_sub8_345_361_succesful_analysis,"(np.float64(1099.0650634765625), np.float64(876.564697265625))","(np.float64(1200.1727294921875), np.float64(994.5359497070312))","(np.float64(1089.3447265625), np.float64(888.6351318359375))","(np.float64(1196.4244384765625), np.float64(1008.365478515625))","(np.float64(1081.3115234375), np.float64(908.6531372070312))","(np.float64(1188.4010009765625), np.float64(1026.6302490234375))","(np.float64(1081.00732421875), np.float64(936.5884399414062))","(np.float64(1180.1568603515625), np.float64(1048.48486328125))","(np.float64(1085.4005126953125), np.float64(964.977294921875))","(np.float64(1166.3076171875), np.float64(1074.5299072265625))"
8,2,labels_v001_041_08_19_21_ Set 2_ Cage A_ 5_Virgin_sub8_345_361_succesful_analysis,"(np.float64(1114.412841796875), np.float64(873.206298828125))","(np.float64(1225.53271484375), np.float64(937.4113159179688))","(np.float64(1104.775146484375), np.float64(883.4398193359375))","(np.float64(1225.5283203125), np.float64(951.0729370117188))","(np.float64(1098.776123046875), np.float64(905.3756103515625))","(np.float64(1223.6270751953125), np.float64(971.1633911132812))","(np.float64(1100.416259765625), np.float64(933.3366088867188))","(np.float64(1223.3114013671875), np.float64(993.2412719726562))","(np.float64(1104.61572265625), np.float64(961.7088012695312))","(np.float64(1219.4556884765625), np.float64(1019.346435546875))"
9,2,labels_v001_041_08_19_21_ Set 2_ Cage A_ 5_Virgin_sub8_345_361_succesful_analysis,"(np.float64(1106.84326171875), np.float64(876.860107421875))","(np.float64(1208.251953125), np.float64(942.2591552734375))","(np.float64(1098.439208984375), np.float64(887.0677490234375))","(np.float64(1181.0914306640625), np.float64(915.5410766601562))","(np.float64(1090.7235107421875), np.float64(909.106201171875))","(np.float64(1182.1443481445312), np.float64(936.7201843261719))","(np.float64(1092.3978271484375), np.float64(936.967041015625))","(np.float64(1183.8875122070312), np.float64(959.86376953125))","(np.float64(1098.3223876953125), np.float64(965.1934204101562))","(np.float64(1185.9229736328125), np.float64(988.8011779785156))"
