frame,condition,filename,thorax_mosquito1,thorax_mosquito2,abdo1_mosquito1,abdo1_mosquito2,abdo2_mosquito1,abdo2_mosquito2,abdo3_mosquito1,abdo3_mosquito2,abdo4_mosquito1,abdo4_mosquito2
0,1,labels_v001_047_08_19_21_ Set 2_ Cage B_ 2_Mated_sub1_179_223_analysis,"(np.float64(883.5045166015625), np.float64(799.709716796875))","(np.float64(961.4189453125), np.float64(840.625))","(np.float64(875.4149169921875), np.float64(810.029052734375))","(np.float64(963.1475830078125), np.float64(854.7464599609375))","(np.float64(873.2164916992188), np.float64(833.8130493164062))","(np.float64(957.2552490234375), np.float64(874.7234497070312))","(np.float64(877.2113647460938), np.float64(859.8004760742188))","(np.float64(949.056884765625), np.float64(896.3960571289062))","(np.float64(887.2215576171875), np.float64(886.0457763671875))","(np.float64(939.355712890625), np.float64(924.3087158203125))"
1,1,labels_v001_047_08_19_21_ Set 2_ Cage B_ 2_Mated_sub1_179_223_analysis,"(np.float64(876.9973754882812), np.float64(796.8995361328125))","(np.float64(954.5288696289062), np.float64(840.5761108398438))","(np.float64(868.8926391601562), np.float64(807.284912109375))","(np.float64(956.3880004882812), np.float64(854.700439453125))","(np.float64(865.0056762695312), np.float64(830.9125366210938))","(np.float64(948.6698608398438), np.float64(874.8038940429688))","(np.float64(868.7705078125), np.float64(856.93212890625))","(np.float64(940.4111328125), np.float64(896.6658935546875))","(np.float64(878.6453247070312), np.float64(882.9585571289062))","(np.float64(930.4338989257812), np.float64(920.8328247070312))"
2,1,labels_v001_047_08_19_21_ Set 2_ Cage B_ 2_Mated_sub1_179_223_analysis,"(np.float64(876.4108276367188), np.float64(795.7890014648438))","(np.float64(954.08349609375), np.float64(838.4276123046875))","(np.float64(868.326416015625), np.float64(806.1851806640625))","(np.float64(954.4335327148438), np.float64(853.9423828125))","(np.float64(864.5202026367188), np.float64(829.8655395507812))","(np.float64(948.27099609375), np.float64(874.0819702148438))","(np.float64(868.2931518554688), np.float64(855.8721313476562))","(np.float64(940.0654296875), np.float64(896.1068725585938))","(np.float64(878.1860961914062), np.float64(880.2565307617188))","(np.float64(930.2061157226562), np.float64(920.0953369140625))"
3,1,labels_v001_047_08_19_21_ Set 2_ Cage B_ 2_Mated_sub1_179_223_analysis,"(np.float64(879.733154296875), np.float64(796.017333984375))","(np.float64(956.3819580078125), np.float64(838.5327758789062))","(np.float64(870.2129516601562), np.float64(806.4611206054688))","(np.float64(958.159423828125), np.float64(854.0169677734375))","(np.float64(867.841064453125), np.float64(830.072998046875))","(np.float64(952.1170654296875), np.float64(874.158935546875))","(np.float64(871.759765625), np.float64(856.086669921875))","(np.float64(944.0093383789062), np.float64(896.22216796875))","(np.float64(881.6282348632812), np.float64(882.114990234375))","(np.float64(934.0748901367188), np.float64(920.304443359375))"
4,1,labels_v001_047_08_19_21_ Set 2_ Cage B_ 2_Mated_sub1_179_223_analysis,"(np.float64(883.078125), np.float64(797.45556640625))","(np.float64(961.4207763671875), np.float64(839.9415283203125))","(np.float64(875.0634155273438), np.float64(809.3881225585938))","(np.float64(963.1046142578125), np.float64(854.0437622070312))","(np.float64(872.7706298828125), np.float64(831.5313720703125))","(np.float64(957.1670532226562), np.float64(874.1505126953125))","(np.float64(876.759521484375), np.float64(857.4649658203125))","(np.float64(949.0106201171875), np.float64(896.0799560546875))","(np.float64(886.7861938476562), np.float64(883.76318359375))","(np.float64(940.998046875), np.float64(921.9783935546875))"
5,1,labels_v001_047_08_19_21_ Set 2_ Cage B_ 2_Mated_sub1_179_223_analysis,"(np.float64(880.5957641601562), np.float64(796.7296142578125))","(np.float64(959.1323852539062), np.float64(838.3414306640625))","(np.float64(872.5075073242188), np.float64(808.6527709960938))","(np.float64(959.399169921875), np.float64(853.8815307617188))","(np.float64(868.6224975585938), np.float64(830.7802734375))","(np.float64(953.35009765625), np.float64(873.9696044921875))","(np.float64(872.4507446289062), np.float64(856.7013549804688))","(np.float64(945.1895141601562), np.float64(895.9902954101562))","(np.float64(882.6619262695312), np.float64(882.992919921875))","(np.float64(939.083984375), np.float64(920.4373168945312))"
6,1,labels_v001_047_08_19_21_ Set 2_ Cage B_ 2_Mated_sub1_179_223_analysis,"(np.float64(877.4922485351562), np.float64(796.0365600585938))","(np.float64(955.7910766601562), np.float64(838.08642578125))","(np.float64(869.49462890625), np.float64(807.9389038085938))","(np.float64(956.0296630859375), np.float64(852.2923583984375))","(np.float64(865.4547729492188), np.float64(830.0586547851562))","(np.float64(951.61328125), np.float64(872.2142944335938))","(np.float64(869.1163330078125), np.float64(856.018310546875))","(np.float64(943.6712036132812), np.float64(895.8569946289062))","(np.float64(879.4249877929688), np.float64(882.1486206054688))","(np.float64(935.8035278320312), np.float64(920.27490234375))"
7,1,labels_v001_047_08_19_21_ Set 2_ Cage B_ 2_Mated_sub1_179_223_analysis,"(np.float64(877.246826171875), np.float64(795.659423828125))","(np.float64(954.3082275390625), np.float64(837.5045166015625))","(np.float64(869.2396240234375), np.float64(807.5855712890625))","(np.float64(956.0106201171875), np.float64(851.6571044921875))","(np.float64(865.2593994140625), np.float64(829.6747436523438))","(np.float64(950.2275390625), np.float64(871.4714965820312))","(np.float64(868.9393920898438), np.float64(855.6629028320312))","(np.float64(943.8658447265625), np.float64(893.4926147460938))","(np.float64(879.1744384765625), np.float64(881.73388671875))","(np.float64(934.2113037109375), np.float64(919.4266357421875))"
8,1,labels_v001_047_08_19_21_ Set 2_ Cage B_ 2_Mated_sub1_179_223_analysis,"(np.float64(881.6102294921875), np.float64(796.5040283203125))","(np.float64(959.39697265625), np.float64(836.8742065429688))","(np.float64(873.5767211914062), np.float64(808.4393920898438))","(np.float64(961.166259765625), np.float64(851.0183715820312))","(np.float64(869.6431884765625), np.float64(830.55322265625))","(np.float64(955.4315185546875), np.float64(870.8908081054688))","(np.float64(873.3742065429688), np.float64(856.4841918945312))","(np.float64(949.0572509765625), np.float64(892.8407592773438))","(np.float64(885.2493896484375), np.float64(882.6795654296875))","(np.float64(941.3026733398438), np.float64(918.9939575195312))"
9,1,labels_v001_047_08_19_21_ Set 2_ Cage B_ 2_Mated_sub1_179_223_analysis,"(np.float64(883.6595458984375), np.float64(796.6871337890625))","(np.float64(961.5914306640625), np.float64(836.99365234375))","(np.float64(874.140625), np.float64(808.6259765625))","(np.float64(961.8978271484375), np.float64(851.159423828125))","(np.float64(871.7676391601562), np.float64(830.7595825195312))","(np.float64(957.7571411132812), np.float64(870.97265625))","(np.float64(875.7793579101562), np.float64(856.6815795898438))","(np.float64(951.6116943359375), np.float64(893.0466918945312))","(np.float64(885.888671875), np.float64(883.015380859375))","(np.float64(943.8064575195312), np.float64(919.083740234375))"
