frame,condition,filename,thorax_mosquito1,thorax_mosquito2,abdo1_mosquito1,abdo1_mosquito2,abdo2_mosquito1,abdo2_mosquito2,abdo3_mosquito1,abdo3_mosquito2,abdo4_mosquito1,abdo4_mosquito2
0,0,labels_v001_061_08_20_21_ Set 1_ Cage A_ 3_Virgin_sub2_485_615_analysis,"(np.float64(717.4254760742188), np.float64(955.5322875976562))","(np.float64(789.5159301757812), np.float64(979.4944458007812))","(np.float64(711.2476196289062), np.float64(966.4902954101562))","(np.float64(793.342041015625), np.float64(995.0369873046875))","(np.float64(711.57666015625), np.float64(990.8819580078125))","(np.float64(791.1356201171875), np.float64(1015.1968383789062))","(np.float64(721.24658203125), np.float64(1016.6060791015625))","(np.float64(785.278564453125), np.float64(1037.121337890625))","(np.float64(733.5650634765625), np.float64(1038.6829833984375))","(np.float64(779.53466796875), np.float64(1061.345458984375))"
1,0,labels_v001_061_08_20_21_ Set 1_ Cage A_ 3_Virgin_sub2_485_615_analysis,"(np.float64(717.5556640625), np.float64(955.3079223632812))","(np.float64(790.05224609375), np.float64(979.6505126953125))","(np.float64(711.3416137695312), np.float64(966.2918701171875))","(np.float64(793.8150024414062), np.float64(995.1929931640625))","(np.float64(711.603271484375), np.float64(990.66455078125))","(np.float64(791.759521484375), np.float64(1015.4234619140625))","(np.float64(721.277587890625), np.float64(1016.3932495117188))","(np.float64(787.7255249023438), np.float64(1037.38134765625))","(np.float64(735.0964965820312), np.float64(1038.692626953125))","(np.float64(783.71875), np.float64(1063.2125244140625))"
2,0,labels_v001_061_08_20_21_ Set 1_ Cage A_ 3_Virgin_sub2_485_615_analysis,"(np.float64(718.0441284179688), np.float64(955.3607788085938))","(np.float64(792.1614990234375), np.float64(979.4910278320312))","(np.float64(711.9063720703125), np.float64(965.8704833984375))","(np.float64(794.4969482421875), np.float64(993.6118774414062))","(np.float64(713.704833984375), np.float64(990.0885620117188))","(np.float64(792.4899291992188), np.float64(1015.3265991210938))","(np.float64(723.5794677734375), np.float64(1015.7113647460938))","(np.float64(788.2757568359375), np.float64(1037.282958984375))","(np.float64(735.58056640625), np.float64(1039.60791015625))","(np.float64(786.3143310546875), np.float64(1063.1529541015625))"
3,0,labels_v001_061_08_20_21_ Set 1_ Cage A_ 3_Virgin_sub2_485_615_analysis,"(np.float64(720.3115844726562), np.float64(955.4398193359375))","(np.float64(793.1836547851562), np.float64(980.2927856445312))","(np.float64(714.1722412109375), np.float64(965.9181518554688))","(np.float64(795.5077514648438), np.float64(994.3795776367188))","(np.float64(714.5391235351562), np.float64(990.1671752929688))","(np.float64(793.1027221679688), np.float64(1014.6129760742188))","(np.float64(724.3212280273438), np.float64(1015.7838745117188))","(np.float64(787.2342529296875), np.float64(1036.447021484375))","(np.float64(736.4712524414062), np.float64(1038.05419921875))","(np.float64(779.3709716796875), np.float64(1060.7122802734375))"
4,0,labels_v001_061_08_20_21_ Set 1_ Cage A_ 3_Virgin_sub2_485_615_analysis,"(np.float64(717.6905517578125), np.float64(955.706787109375))","(np.float64(792.4327392578125), np.float64(978.6182250976562))","(np.float64(711.5933837890625), np.float64(966.2228393554688))","(np.float64(794.6011962890625), np.float64(994.1895751953125))","(np.float64(713.3964233398438), np.float64(992.0072631835938))","(np.float64(790.8284912109375), np.float64(1014.5318603515625))","(np.float64(723.2426147460938), np.float64(1016.0534057617188))","(np.float64(784.5986938476562), np.float64(1036.342529296875))","(np.float64(735.1239013671875), np.float64(1038.3936767578125))","(np.float64(778.5208740234375), np.float64(1060.2579345703125))"
5,0,labels_v001_061_08_20_21_ Set 1_ Cage A_ 3_Virgin_sub2_485_615_analysis,"(np.float64(717.28955078125), np.float64(955.45361328125))","(np.float64(790.7958984375), np.float64(978.0578002929688))","(np.float64(711.103515625), np.float64(965.8243408203125))","(np.float64(793.068359375), np.float64(993.6160888671875))","(np.float64(712.8140869140625), np.float64(990.1603393554688))","(np.float64(790.7821044921875), np.float64(1013.9364013671875))","(np.float64(720.9630737304688), np.float64(1015.8402099609375))","(np.float64(784.6878662109375), np.float64(1035.85546875))","(np.float64(733.2357177734375), np.float64(1039.7183837890625))","(np.float64(778.6607666015625), np.float64(1058.06640625))"
6,0,labels_v001_061_08_20_21_ Set 1_ Cage A_ 3_Virgin_sub2_485_615_analysis,"(np.float64(717.6748657226562), np.float64(955.5972900390625))","(np.float64(791.5404052734375), np.float64(977.94775390625))","(np.float64(711.5076293945312), np.float64(966.0242309570312))","(np.float64(793.8782348632812), np.float64(992.0553588867188))","(np.float64(713.2808837890625), np.float64(990.2898559570312))","(np.float64(791.74853515625), np.float64(1013.7583618164062))","(np.float64(721.3150024414062), np.float64(1015.9708862304688))","(np.float64(787.5491943359375), np.float64(1035.7987060546875))","(np.float64(733.6216430664062), np.float64(1039.9356689453125))","(np.float64(779.7134399414062), np.float64(1059.9285888671875))"
7,0,labels_v001_061_08_20_21_ Set 1_ Cage A_ 3_Virgin_sub2_485_615_analysis,"(np.float64(719.9046630859375), np.float64(955.6065063476562))","(np.float64(792.5493774414062), np.float64(977.5028076171875))","(np.float64(712.42236328125), np.float64(966.0758666992188))","(np.float64(795.0092163085938), np.float64(991.4559326171875))","(np.float64(714.2406616210938), np.float64(990.3107299804688))","(np.float64(792.9618530273438), np.float64(1011.4999389648438))","(np.float64(724.0181884765625), np.float64(1015.9757690429688))","(np.float64(788.52734375), np.float64(1033.3394775390625))","(np.float64(736.017333984375), np.float64(1039.900634765625))","(np.float64(784.5453491210938), np.float64(1057.3707275390625))"
8,0,labels_v001_061_08_20_21_ Set 1_ Cage A_ 3_Virgin_sub2_485_615_analysis,"(np.float64(719.9259643554688), np.float64(955.435302734375))","(np.float64(792.6732177734375), np.float64(977.23095703125))","(np.float64(713.8375244140625), np.float64(965.9328002929688))","(np.float64(795.1366577148438), np.float64(991.1658935546875))","(np.float64(714.2536010742188), np.float64(990.1414794921875))","(np.float64(793.1563110351562), np.float64(1011.2318115234375))","(np.float64(723.9813232421875), np.float64(1015.7996826171875))","(np.float64(788.7337036132812), np.float64(1033.1065673828125))","(np.float64(736.0076904296875), np.float64(1039.7508544921875))","(np.float64(783.1289672851562), np.float64(1057.1337890625))"
9,0,labels_v001_061_08_20_21_ Set 1_ Cage A_ 3_Virgin_sub2_485_615_analysis,"(np.float64(717.6356811523438), np.float64(955.1365966796875))","(np.float64(790.5648193359375), np.float64(977.4463500976562))","(np.float64(711.518310546875), np.float64(966.2633056640625))","(np.float64(794.4427490234375), np.float64(991.4093017578125))","(np.float64(713.3819580078125), np.float64(992.1039428710938))","(np.float64(792.518798828125), np.float64(1011.5277099609375))","(np.float64(723.1371459960938), np.float64(1016.184326171875))","(np.float64(788.24658203125), np.float64(1033.420166015625))","(np.float64(734.9810180664062), np.float64(1040.074951171875))","(np.float64(784.208984375), np.float64(1059.3009033203125))"
