frame,condition,filename,thorax_mosquito1,thorax_mosquito2,abdo1_mosquito1,abdo1_mosquito2,abdo2_mosquito1,abdo2_mosquito2,abdo3_mosquito1,abdo3_mosquito2,abdo4_mosquito1,abdo4_mosquito2
0,1,labels_v001_090_08_20_21_ Set 2_ Cage A_ 1_Mated_sub27_495_499_analysis,"(np.float64(921.8602294921875), np.float64(916.572509765625))","(np.float64(976.329345703125), np.float64(989.0653076171875))","(np.float64(916.0487060546875), np.float64(930.7044067382812))","(np.float64(974.083740234375), np.float64(1003.1846313476562))","(np.float64(913.9179077148438), np.float64(950.6829223632812))","(np.float64(964.2299194335938), np.float64(1021.1776123046875))","(np.float64(915.7369995117188), np.float64(976.3561401367188))","(np.float64(951.8231811523438), np.float64(1041.0240478515625))","(np.float64(921.812255859375), np.float64(1006.35693359375))","(np.float64(939.8757934570312), np.float64(1066.966064453125))"
1,1,labels_v001_090_08_20_21_ Set 2_ Cage A_ 1_Mated_sub27_495_499_analysis,"(np.float64(917.54443359375), np.float64(916.9725341796875))","(np.float64(973.0508422851562), np.float64(987.3058471679688))","(np.float64(911.5394287109375), np.float64(931.000732421875))","(np.float64(971.0983276367188), np.float64(1001.5501098632812))","(np.float64(909.3038330078125), np.float64(950.9365844726562))","(np.float64(961.3765869140625), np.float64(1021.2493896484375))","(np.float64(909.2450561523438), np.float64(976.691162109375))","(np.float64(948.95556640625), np.float64(1041.2044677734375))","(np.float64(917.279296875), np.float64(1006.787109375))","(np.float64(938.951904296875), np.float64(1067.1507568359375))"
2,1,labels_v001_090_08_20_21_ Set 2_ Cage A_ 1_Mated_sub27_495_499_analysis,"(np.float64(921.3717041015625), np.float64(916.5808715820312))","(np.float64(976.0894775390625), np.float64(984.17431640625))","(np.float64(915.4419555664062), np.float64(930.6348876953125))","(np.float64(975.7930908203125), np.float64(998.463623046875))","(np.float64(913.3277587890625), np.float64(950.6395263671875))","(np.float64(967.740478515625), np.float64(1018.4039916992188))","(np.float64(915.268310546875), np.float64(976.3923950195312))","(np.float64(955.753662109375), np.float64(1040.048095703125))","(np.float64(919.5858154296875), np.float64(1006.4486083984375))","(np.float64(944.0045776367188), np.float64(1066.003173828125))"
3,1,labels_v001_090_08_20_21_ Set 2_ Cage A_ 1_Mated_sub27_495_499_analysis,"(np.float64(923.1702880859375), np.float64(916.8880615234375))","(np.float64(979.466552734375), np.float64(984.1403198242188))","(np.float64(917.2446899414062), np.float64(930.9612426757812))","(np.float64(977.6480712890625), np.float64(999.854248046875))","(np.float64(915.086669921875), np.float64(951.040283203125))","(np.float64(969.7398071289062), np.float64(1018.2757568359375))","(np.float64(916.8732299804688), np.float64(976.77783203125))","(np.float64(959.4358520507812), np.float64(1039.9361572265625))","(np.float64(923.0176391601562), np.float64(1006.8707885742188))","(np.float64(947.412109375), np.float64(1066.1513671875))"
4,1,labels_v001_090_08_20_21_ Set 2_ Cage A_ 1_Mated_sub27_495_499_analysis,"(np.float64(925.90087890625), np.float64(917.1253051757812))","(np.float64(980.9776000976562), np.float64(983.4754028320312))","(np.float64(919.9927368164062), np.float64(931.0501098632812))","(np.float64(979.0573120117188), np.float64(997.725830078125))","(np.float64(917.7539672851562), np.float64(951.2643432617188))","(np.float64(972.71484375), np.float64(1017.4437255859375))","(np.float64(919.7583618164062), np.float64(977.0874633789062))","(np.float64(960.6719360351562), np.float64(1037.4859619140625))","(np.float64(925.7393188476562), np.float64(1005.2764282226562))","(np.float64(948.7977294921875), np.float64(1065.4239501953125))"
5,1,labels_v001_090_08_20_21_ Set 2_ Cage A_ 1_Mated_sub27_495_499_analysis,"(np.float64(923.1207275390625), np.float64(916.67333984375))","(np.float64(978.2294921875), np.float64(983.5104370117188))","(np.float64(917.160400390625), np.float64(930.7023315429688))","(np.float64(976.2975463867188), np.float64(997.7862548828125))","(np.float64(914.9031982421875), np.float64(950.9158325195312))","(np.float64(968.364501953125), np.float64(1017.4364624023438))","(np.float64(916.840087890625), np.float64(976.753662109375))","(np.float64(956.2222290039062), np.float64(1037.451171875))","(np.float64(922.9592895507812), np.float64(1005.073486328125))","(np.float64(944.5243530273438), np.float64(1063.575927734375))"
6,1,labels_v001_090_08_20_21_ Set 2_ Cage A_ 1_Mated_sub27_495_499_analysis,"(np.float64(920.686767578125), np.float64(916.953125))","(np.float64(974.3950805664062), np.float64(984.2161865234375))","(np.float64(914.79443359375), np.float64(931.1260375976562))","(np.float64(972.5228881835938), np.float64(999.9345703125))","(np.float64(911.0007934570312), np.float64(950.998779296875))","(np.float64(964.4708862304688), np.float64(1018.4276733398438))","(np.float64(912.6087646484375), np.float64(976.7482299804688))","(np.float64(952.3892211914062), np.float64(1040.01171875))","(np.float64(918.8365478515625), np.float64(1006.85546875))","(np.float64(942.2498779296875), np.float64(1065.9847412109375))"
7,1,labels_v001_090_08_20_21_ Set 2_ Cage A_ 1_Mated_sub27_495_499_analysis,"(np.float64(916.7147216796875), np.float64(917.4142456054688))","(np.float64(970.0194091796875), np.float64(984.6920166015625))","(np.float64(910.7632446289062), np.float64(931.540771484375))","(np.float64(968.0875244140625), np.float64(1000.3736572265625))","(np.float64(906.8900756835938), np.float64(951.369140625))","(np.float64(960.0579833984375), np.float64(1020.1566162109375))","(np.float64(908.4569702148438), np.float64(977.1380004882812))","(np.float64(947.95654296875), np.float64(1040.23974609375))","(np.float64(914.8770141601562), np.float64(1005.5223388671875))","(np.float64(936.3639526367188), np.float64(1068.26220703125))"
8,1,labels_v001_090_08_20_21_ Set 2_ Cage A_ 1_Mated_sub27_495_499_analysis,"(np.float64(919.8795776367188), np.float64(916.5287475585938))","(np.float64(972.2265625), np.float64(983.932861328125))","(np.float64(913.9771728515625), np.float64(930.6810913085938))","(np.float64(970.3517456054688), np.float64(998.2339477539062))","(np.float64(910.1216430664062), np.float64(950.4896240234375))","(np.float64(962.3021240234375), np.float64(1018.1773681640625))","(np.float64(911.7530517578125), np.float64(976.265380859375))","(np.float64(951.9224243164062), np.float64(1039.8856201171875))","(np.float64(919.6951904296875), np.float64(1004.5469970703125))","(np.float64(942.2041625976562), np.float64(1067.8033447265625))"
9,1,labels_v001_090_08_20_21_ Set 2_ Cage A_ 1_Mated_sub27_495_499_analysis,"(np.float64(921.8048095703125), np.float64(917.0106201171875))","(np.float64(974.7432861328125), np.float64(983.9966430664062))","(np.float64(915.9339599609375), np.float64(931.128662109375))","(np.float64(972.8572998046875), np.float64(999.746337890625))","(np.float64(913.5695190429688), np.float64(951.1443481445312))","(np.float64(964.7884521484375), np.float64(1018.2653198242188))","(np.float64(915.5179443359375), np.float64(976.9078979492188))","(np.float64(952.7068481445312), np.float64(1039.8609619140625))","(np.float64(921.8302001953125), np.float64(1005.010986328125))","(np.float64(944.595703125), np.float64(1066.1375732421875))"
10,1,labels_v001_090_08_20_21_ Set 2_ Cage A_ 1_Mated_sub27_495_499_analysis,"(np.float64(922.373291015625), np.float64(916.54052734375))","(np.float64(975.3995361328125), np.float64(981.5375366210938))","(np.float64(917.94921875), np.float64(930.6878051757812))","(np.float64(973.4730834960938), np.float64(997.2891235351562))","(np.float64(914.2337646484375), np.float64(950.6035766601562))","(np.float64(965.5258178710938), np.float64(1017.0480346679688))","(np.float64(916.0345458984375), np.float64(976.4121704101562))","(np.float64(955.1693725585938), np.float64(1037.1710205078125))","(np.float64(922.4285278320312), np.float64(1004.5450439453125))","(np.float64(945.1915283203125), np.float64(1065.112548828125))"
11,1,labels_v001_090_08_20_21_ Set 2_ Cage A_ 1_Mated_sub27_495_499_analysis,"(np.float64(920.4356079101562), np.float64(915.9741821289062))","(np.float64(971.8319091796875), np.float64(983.0694580078125))","(np.float64(914.5055541992188), np.float64(930.1301879882812))","(np.float64(971.3870849609375), np.float64(997.3114624023438))","(np.float64(912.26025390625), np.float64(949.953857421875))","(np.float64(963.4258422851562), np.float64(1016.9505004882812))","(np.float64(912.1735229492188), np.float64(975.7357177734375))","(np.float64(951.3837890625), np.float64(1036.9339599609375))","(np.float64(920.0991821289062), np.float64(1004.2074584960938))","(np.float64(939.6179809570312), np.float64(1063.2259521484375))"
12,1,labels_v001_090_08_20_21_ Set 2_ Cage A_ 1_Mated_sub27_495_499_analysis,"(np.float64(919.5264892578125), np.float64(916.4576416015625))","(np.float64(970.937744140625), np.float64(983.421630859375))","(np.float64(913.606201171875), np.float64(930.5933227539062))","(np.float64(968.9124145507812), np.float64(999.1287841796875))","(np.float64(911.37060546875), np.float64(950.4612426757812))","(np.float64(960.8870239257812), np.float64(1017.2852172851562))","(np.float64(911.324462890625), np.float64(976.1778564453125))","(np.float64(948.6854248046875), np.float64(1037.1279296875))","(np.float64(917.611328125), np.float64(1006.1951904296875))","(np.float64(937.0067749023438), np.float64(1065.0531005859375))"
13,1,labels_v001_090_08_20_21_ Set 2_ Cage A_ 1_Mated_sub27_495_499_analysis,"(np.float64(920.645751953125), np.float64(916.396728515625))","(np.float64(972.1364135742188), np.float64(983.4954833984375))","(np.float64(914.7706298828125), np.float64(930.5206298828125))","(np.float64(971.6458740234375), np.float64(999.1310424804688))","(np.float64(912.50048828125), np.float64(950.4330444335938))","(np.float64(963.7234497070312), np.float64(1017.3612060546875))","(np.float64(912.4146118164062), np.float64(976.1511840820312))","(np.float64(951.6763305664062), np.float64(1037.300537109375))","(np.float64(918.78955078125), np.float64(1006.2319946289062))","(np.float64(939.9136962890625), np.float64(1065.389404296875))"
14,1,labels_v001_090_08_20_21_ Set 2_ Cage A_ 1_Mated_sub27_495_499_analysis,"(np.float64(924.9814453125), np.float64(916.09765625))","(np.float64(978.6375732421875), np.float64(981.30859375))","(np.float64(919.0606079101562), np.float64(930.177734375))","(np.float64(976.66259765625), np.float64(997.0281982421875))","(np.float64(916.9413452148438), np.float64(950.19482421875))","(np.float64(968.64111328125), np.float64(1016.796630859375))","(np.float64(916.860107421875), np.float64(976.064697265625))","(np.float64(956.5247192382812), np.float64(1036.8468017578125))","(np.float64(924.9513549804688), np.float64(1004.4843139648438))","(np.float64(946.7020263671875), np.float64(1065.1103515625))"
15,1,labels_v001_090_08_20_21_ Set 2_ Cage A_ 1_Mated_sub27_495_499_analysis,"(np.float64(925.2410888671875), np.float64(916.3624267578125))","(np.float64(979.1925048828125), np.float64(981.2883911132812))","(np.float64(919.311767578125), np.float64(930.4232177734375))","(np.float64(977.263916015625), np.float64(996.990234375))","(np.float64(917.1597290039062), np.float64(950.4403686523438))","(np.float64(969.4560546875), np.float64(1016.810791015625))","(np.float64(917.1618041992188), np.float64(976.3273315429688))","(np.float64(959.0701293945312), np.float64(1036.8892822265625))","(np.float64(925.2227783203125), np.float64(1004.775634765625))","(np.float64(949.134033203125), np.float64(1066.8143310546875))"
