frame,condition,filename,thorax_mosquito1,thorax_mosquito2,abdo1_mosquito1,abdo1_mosquito2,abdo2_mosquito1,abdo2_mosquito2,abdo3_mosquito1,abdo3_mosquito2,abdo4_mosquito1,abdo4_mosquito2
0,2,labels_v001_105_08_20_21_ Set 2_ Cage B_ 2_Virgin_sub0_87_101_succesful_analysis,"(np.float64(1066.8194580078125), np.float64(851.2315673828125))","(np.float64(1017.92626953125), np.float64(896.6978759765625))","(np.float64(1021.9932861328125), np.float64(879.2866821289062))","(np.float64(1017.875244140625), np.float64(912.6791381835938))","(np.float64(1037.6741943359375), np.float64(863.270751953125))","(np.float64(1025.5897216796875), np.float64(932.6757202148438))","(np.float64(1065.654052734375), np.float64(859.5732421875))","(np.float64(1039.543701171875), np.float64(956.5))","(np.float64(1148.848388671875), np.float64(883.1995239257812))","(np.float64(1057.6766357421875), np.float64(978.578369140625))"
1,2,labels_v001_105_08_20_21_ Set 2_ Cage B_ 2_Virgin_sub0_87_101_succesful_analysis,"(np.float64(1066.8194580078125), np.float64(851.2315673828125))","(np.float64(1030.7294921875), np.float64(892.716064453125))","(np.float64(1080.41552734375), np.float64(857.2652587890625))","(np.float64(1030.5406494140625), np.float64(908.6349487304688))","(np.float64(1098.7227783203125), np.float64(866.771240234375))","(np.float64(1038.3719482421875), np.float64(928.6980590820312))","(np.float64(1120.387451171875), np.float64(876.8565673828125))","(np.float64(1052.4111328125), np.float64(952.489013671875))","(np.float64(1148.848388671875), np.float64(883.1995239257812))","(np.float64(1070.5892333984375), np.float64(972.7247924804688))"
2,2,labels_v001_105_08_20_21_ Set 2_ Cage B_ 2_Virgin_sub0_87_101_succesful_analysis,"(np.float64(1075.4271240234375), np.float64(865.5608520507812))","(np.float64(1018.900390625), np.float64(896.8602905273438))","(np.float64(1085.1821899414062), np.float64(874.5460205078125))","(np.float64(1017.2252197265625), np.float64(912.786376953125))","(np.float64(1099.3358154296875), np.float64(888.2879638671875))","(np.float64(1024.8104248046875), np.float64(932.7775268554688))","(np.float64(1116.2244262695312), np.float64(904.3570251464844))","(np.float64(1036.991943359375), np.float64(956.8828125))","(np.float64(1139.4797973632812), np.float64(918.5767211914062))","(np.float64(1055.2022705078125), np.float64(979.1697387695312))"
3,2,labels_v001_105_08_20_21_ Set 2_ Cage B_ 2_Virgin_sub0_87_101_succesful_analysis,"(np.float64(1084.0347900390625), np.float64(879.89013671875))","(np.float64(1020.0643310546875), np.float64(897.219482421875))","(np.float64(1089.9488525390625), np.float64(891.8267822265625))","(np.float64(1019.9950561523438), np.float64(911.648193359375))","(np.float64(1099.9488525390625), np.float64(909.8046875))","(np.float64(1026.0123291015625), np.float64(933.2557983398438))","(np.float64(1112.0614013671875), np.float64(931.8574829101562))","(np.float64(1039.81298828125), np.float64(957.2736206054688))","(np.float64(1130.1112060546875), np.float64(953.9539184570312))","(np.float64(1057.8682861328125), np.float64(977.6758422851562))"
4,2,labels_v001_105_08_20_21_ Set 2_ Cage B_ 2_Virgin_sub0_87_101_succesful_analysis,"(np.float64(1123.217041015625), np.float64(887.0106811523438))","(np.float64(1038.82373046875), np.float64(891.84130859375))","(np.float64(1127.231689453125), np.float64(902.66650390625))","(np.float64(1038.8192138671875), np.float64(907.7949829101562))","(np.float64(1131.293212890625), np.float64(922.6283569335938))","(np.float64(1044.998779296875), np.float64(927.9153442382812))","(np.float64(1137.275390625), np.float64(943.2498779296875))","(np.float64(1060.70458984375), np.float64(951.5140991210938))","(np.float64(1151.355224609375), np.float64(972.78662109375))","(np.float64(1080.6444091796875), np.float64(971.5567016601562))"
5,2,labels_v001_105_08_20_21_ Set 2_ Cage B_ 2_Virgin_sub0_87_101_succesful_analysis,"(np.float64(1124.848388671875), np.float64(872.9691772460938))","(np.float64(1043.20263671875), np.float64(890.7527465820312))","(np.float64(1131.06005859375), np.float64(885.0807495117188))","(np.float64(1043.23779296875), np.float64(906.6151733398438))","(np.float64(1141.006591796875), np.float64(903.0587768554688))","(np.float64(1049.431396484375), np.float64(926.634033203125))","(np.float64(1152.725341796875), np.float64(924.834228515625))","(np.float64(1065.1656494140625), np.float64(948.7246704101562))","(np.float64(1172.7637939453125), np.float64(948.7459106445312))","(np.float64(1085.2158203125), np.float64(970.8391723632812))"
6,2,labels_v001_105_08_20_21_ Set 2_ Cage B_ 2_Virgin_sub0_87_101_succesful_analysis,"(np.float64(1120.262939453125), np.float64(882.530517578125))","(np.float64(1036.492431640625), np.float64(892.671630859375))","(np.float64(1128.0015869140625), np.float64(894.5897216796875))","(np.float64(1038.0267333984375), np.float64(908.4506225585938))","(np.float64(1135.8232421875), np.float64(914.3507080078125))","(np.float64(1044.2796630859375), np.float64(928.6052856445312))","(np.float64(1143.9656982421875), np.float64(936.1830444335938))","(np.float64(1060.0692138671875), np.float64(952.2772827148438))","(np.float64(1158.0013427734375), np.float64(960.4097900390625))","(np.float64(1078.225341796875), np.float64(972.6961669921875))"
7,2,labels_v001_105_08_20_21_ Set 2_ Cage B_ 2_Virgin_sub0_87_101_succesful_analysis,"(np.float64(1106.7203369140625), np.float64(898.0822143554688))","(np.float64(1020.7006225585938), np.float64(897.790283203125))","(np.float64(1110.74755859375), np.float64(912.179443359375))","(np.float64(1020.6043701171875), np.float64(912.0973510742188))","(np.float64(1114.705078125), np.float64(932.4528198242188))","(np.float64(1026.5439453125), np.float64(933.755615234375))","(np.float64(1120.73291015625), np.float64(954.657958984375))","(np.float64(1040.3343505859375), np.float64(957.7371215820312))","(np.float64(1132.6846923828125), np.float64(984.1387329101562))","(np.float64(1058.452392578125), np.float64(979.6865234375))"
8,2,labels_v001_105_08_20_21_ Set 2_ Cage B_ 2_Virgin_sub0_87_101_succesful_analysis,"(np.float64(1099.7855224609375), np.float64(881.4239501953125))","(np.float64(1024.5328369140625), np.float64(897.2798461914062))","(np.float64(1107.6087646484375), np.float64(893.4181518554688))","(np.float64(1024.4903564453125), np.float64(911.4852294921875))","(np.float64(1116.000244140625), np.float64(911.4060668945312))","(np.float64(1030.389892578125), np.float64(933.3549194335938))","(np.float64(1127.7154541015625), np.float64(933.0769653320312))","(np.float64(1044.37841796875), np.float64(957.2346801757812))","(np.float64(1146.108642578125), np.float64(959.048583984375))","(np.float64(1062.499755859375), np.float64(977.4750366210938))"
9,2,labels_v001_105_08_20_21_ Set 2_ Cage B_ 2_Virgin_sub0_87_101_succesful_analysis,"(np.float64(1100.305908203125), np.float64(881.37548828125))","(np.float64(1027.3968505859375), np.float64(896.2640991210938))","(np.float64(1108.1427001953125), np.float64(893.41162109375))","(np.float64(1027.2783203125), np.float64(910.4876708984375))","(np.float64(1116.52783203125), np.float64(911.3543090820312))","(np.float64(1033.228271484375), np.float64(932.2816772460938))","(np.float64(1128.1673583984375), np.float64(933.0814208984375))","(np.float64(1047.248046875), np.float64(956.2462768554688))","(np.float64(1146.525390625), np.float64(959.1873168945312))","(np.float64(1065.46484375), np.float64(976.450927734375))"
