frame,condition,filename,thorax_mosquito1,thorax_mosquito2,abdo1_mosquito1,abdo1_mosquito2,abdo2_mosquito1,abdo2_mosquito2,abdo3_mosquito1,abdo3_mosquito2,abdo4_mosquito1,abdo4_mosquito2
0,0,labels_v001_113_08_20_21_ Set 2_ Cage B_ 3_Virgin_sub1_59_63_analysis,"(np.float64(1148.8924560546875), np.float64(801.2000122070312))","(np.float64(1075.94873046875), np.float64(813.170166015625))","(np.float64(1161.0030517578125), np.float64(809.63916015625))","(np.float64(1067.8251953125), np.float64(823.460205078125))","(np.float64(1174.943359375), np.float64(825.6238403320312))","(np.float64(1063.9639892578125), np.float64(845.6596069335938))","(np.float64(1188.7647705078125), np.float64(845.2962646484375))","(np.float64(1071.8345947265625), np.float64(873.2596435546875))","(np.float64(1210.968505859375), np.float64(871.3567504882812))","(np.float64(1086.0755615234375), np.float64(907.3133544921875))"
1,0,labels_v001_113_08_20_21_ Set 2_ Cage B_ 3_Virgin_sub1_59_63_analysis,"(np.float64(1142.761474609375), np.float64(781.57958984375))","(np.float64(1069.2281494140625), np.float64(793.308837890625))","(np.float64(1154.929931640625), np.float64(791.4921264648438))","(np.float64(1061.0732421875), np.float64(803.7168579101562))","(np.float64(1168.5106201171875), np.float64(807.7991333007812))","(np.float64(1056.9776611328125), np.float64(825.5752563476562))","(np.float64(1180.590087890625), np.float64(829.3929443359375))","(np.float64(1061.174560546875), np.float64(853.3822021484375))","(np.float64(1204.6854248046875), np.float64(855.7223510742188))","(np.float64(1075.1571044921875), np.float64(887.768798828125))"
2,0,labels_v001_113_08_20_21_ Set 2_ Cage B_ 3_Virgin_sub1_59_63_analysis,"(np.float64(1111.7454833984375), np.float64(772.8619384765625))","(np.float64(1048.3446044921875), np.float64(788.1796875))","(np.float64(1123.4884033203125), np.float64(784.5889282226562))","(np.float64(1040.3612060546875), np.float64(798.4951171875))","(np.float64(1131.587890625), np.float64(802.80029296875))","(np.float64(1036.1932373046875), np.float64(820.5205688476562))","(np.float64(1141.4288330078125), np.float64(824.5216064453125))","(np.float64(1040.3763427734375), np.float64(848.3646240234375))","(np.float64(1157.7818603515625), np.float64(852.4823608398438))","(np.float64(1050.5234375), np.float64(884.3372802734375))"
3,0,labels_v001_113_08_20_21_ Set 2_ Cage B_ 3_Virgin_sub1_59_63_analysis,"(np.float64(1138.49365234375), np.float64(820.6459350585938))","(np.float64(1057.5804443359375), np.float64(813.46484375))","(np.float64(1146.6575927734375), np.float64(832.7833862304688))","(np.float64(1049.7164306640625), np.float64(823.949462890625))","(np.float64(1156.4482421875), np.float64(852.8333129882812))","(np.float64(1045.271484375), np.float64(845.7028198242188))","(np.float64(1164.521484375), np.float64(875.1701049804688))","(np.float64(1047.410888671875), np.float64(873.53466796875))","(np.float64(1178.64501953125), np.float64(904.9651489257812))","(np.float64(1057.3037109375), np.float64(907.896728515625))"
4,0,labels_v001_113_08_20_21_ Set 2_ Cage B_ 3_Virgin_sub1_59_63_analysis,"(np.float64(1161.6072998046875), np.float64(855.37060546875))","(np.float64(1070.6505126953125), np.float64(821.556640625))","(np.float64(1167.441650390625), np.float64(869.32470703125))","(np.float64(1062.6536865234375), np.float64(833.4849853515625))","(np.float64(1169.478515625), np.float64(890.99169921875))","(np.float64(1056.926513671875), np.float64(853.870361328125))","(np.float64(1169.4266357421875), np.float64(913.1176147460938))","(np.float64(1060.7078857421875), np.float64(881.6077270507812))","(np.float64(1167.3843994140625), np.float64(937.2921752929688))","(np.float64(1072.5946044921875), np.float64(917.586669921875))"
5,0,labels_v001_113_08_20_21_ Set 2_ Cage B_ 3_Virgin_sub1_59_63_analysis,"(np.float64(1163.183837890625), np.float64(852.323974609375))","(np.float64(1079.551025390625), np.float64(818.8172607421875))","(np.float64(1165.5037841796875), np.float64(866.766357421875))","(np.float64(1073.0157470703125), np.float64(828.029296875))","(np.float64(1167.2138671875), np.float64(888.43310546875))","(np.float64(1068.86328125), np.float64(851.94873046875))","(np.float64(1165.107421875), np.float64(912.2867431640625))","(np.float64(1073.075439453125), np.float64(879.7913208007812))","(np.float64(1171.35302734375), np.float64(944.3350830078125))","(np.float64(1087.0233154296875), np.float64(912.16015625))"
6,0,labels_v001_113_08_20_21_ Set 2_ Cage B_ 3_Virgin_sub1_59_63_analysis,"(np.float64(1139.2626953125), np.float64(823.9984741210938))","(np.float64(1073.905517578125), np.float64(803.7566528320312))","(np.float64(1139.19873046875), np.float64(839.7325439453125))","(np.float64(1066.2166748046875), np.float64(812.74072265625))","(np.float64(1135.3929443359375), np.float64(860.0972900390625))","(np.float64(1062.08837890625), np.float64(837.0626220703125))","(np.float64(1129.216064453125), np.float64(883.7456665039062))","(np.float64(1068.0997314453125), np.float64(864.7431030273438))","(np.float64(1123.57568359375), np.float64(917.7515869140625))","(np.float64(1080.1453857421875), np.float64(896.6488037109375))"
7,0,labels_v001_113_08_20_21_ Set 2_ Cage B_ 3_Virgin_sub1_59_63_analysis,"(np.float64(1132.28271484375), np.float64(851.7554321289062))","(np.float64(1066.35986328125), np.float64(816.1259155273438))","(np.float64(1131.2061157226562), np.float64(867.4226989746094))","(np.float64(1058.416748046875), np.float64(826.4300537109375))","(np.float64(1125.2133178710938), np.float64(886.8062133789062))","(np.float64(1052.609375), np.float64(848.6292114257812))","(np.float64(1117.0718994140625), np.float64(908.49755859375))","(np.float64(1056.5550537109375), np.float64(876.2954711914062))","(np.float64(1109.3027954101562), np.float64(942.6131286621094))","(np.float64(1068.366943359375), np.float64(910.20263671875))"
8,0,labels_v001_113_08_20_21_ Set 2_ Cage B_ 3_Virgin_sub1_59_63_analysis,"(np.float64(1125.302734375), np.float64(879.5123901367188))","(np.float64(1065.2532958984375), np.float64(832.5736694335938))","(np.float64(1123.2135009765625), np.float64(895.1128540039062))","(np.float64(1057.4061279296875), np.float64(842.9793090820312))","(np.float64(1115.03369140625), np.float64(913.51513671875))","(np.float64(1053.2947998046875), np.float64(866.7000732421875))","(np.float64(1104.927734375), np.float64(933.2494506835938))","(np.float64(1057.031982421875), np.float64(892.7060546875))","(np.float64(1095.0299072265625), np.float64(967.4746704101562))","(np.float64(1067.388427734375), np.float64(925.1406860351562))"
9,0,labels_v001_113_08_20_21_ Set 2_ Cage B_ 3_Virgin_sub1_59_63_analysis,"(np.float64(1135.5506591796875), np.float64(890.1658325195312))","(np.float64(1071.364013671875), np.float64(832.8911743164062))","(np.float64(1131.618896484375), np.float64(904.502197265625))","(np.float64(1063.418212890625), np.float64(841.5120239257812))","(np.float64(1123.763427734375), np.float64(926.2036743164062))","(np.float64(1057.83056640625), np.float64(865.2741088867188))","(np.float64(1115.439208984375), np.float64(948.264404296875))","(np.float64(1061.45654296875), np.float64(893.0400390625))","(np.float64(1107.7445068359375), np.float64(980.3892211914062))","(np.float64(1075.626953125), np.float64(925.2404174804688))"
