frame,condition,filename,thorax_mosquito1,thorax_mosquito2,abdo1_mosquito1,abdo1_mosquito2,abdo2_mosquito1,abdo2_mosquito2,abdo3_mosquito1,abdo3_mosquito2,abdo4_mosquito1,abdo4_mosquito2
0,1,labels_v001_123_08_23_21_ Cage A_ 1_Mated_sub5_254_271_analysis,"(np.float64(864.7007446289062), np.float64(933.23779296875))","(np.float64(933.3494262695312), np.float64(976.5257568359375))","(np.float64(856.5869140625), np.float64(945.4390258789062))","(np.float64(931.720947265625), np.float64(990.743896484375))","(np.float64(854.7757568359375), np.float64(969.1870727539062))","(np.float64(925.6380615234375), np.float64(1010.661376953125))","(np.float64(864.39794921875), np.float64(993.206298828125))","(np.float64(917.2864379882812), np.float64(1032.559326171875))","(np.float64(878.7971801757812), np.float64(1019.3367309570312))","(np.float64(909.2841796875), np.float64(1060.3695068359375))"
1,1,labels_v001_123_08_23_21_ Cage A_ 1_Mated_sub5_254_271_analysis,"(np.float64(864.3416748046875), np.float64(936.1593017578125))","(np.float64(933.3298950195312), np.float64(976.4561157226562))","(np.float64(856.2011108398438), np.float64(946.6615600585938))","(np.float64(931.7064208984375), np.float64(990.6470336914062))","(np.float64(854.5336303710938), np.float64(970.689453125))","(np.float64(925.5795288085938), np.float64(1010.6021728515625))","(np.float64(864.2435302734375), np.float64(996.2852783203125))","(np.float64(917.268310546875), np.float64(1032.5205078125))","(np.float64(878.4590454101562), np.float64(1020.4749145507812))","(np.float64(909.200927734375), np.float64(1058.788818359375))"
2,1,labels_v001_123_08_23_21_ Cage A_ 1_Mated_sub5_254_271_analysis,"(np.float64(863.4187622070312), np.float64(933.6961059570312))","(np.float64(932.2606201171875), np.float64(976.0069580078125))","(np.float64(855.3196411132812), np.float64(945.7852172851562))","(np.float64(932.3021240234375), np.float64(990.190185546875))","(np.float64(853.4771118164062), np.float64(968.053466796875))","(np.float64(924.6383056640625), np.float64(1010.130126953125))","(np.float64(861.3038330078125), np.float64(993.6458740234375))","(np.float64(916.3224487304688), np.float64(1031.9517822265625))","(np.float64(877.4931640625), np.float64(1019.7631225585938))","(np.float64(904.1970825195312), np.float64(1059.8001708984375))"
3,1,labels_v001_123_08_23_21_ Cage A_ 1_Mated_sub5_254_271_analysis,"(np.float64(863.5801391601562), np.float64(933.1319580078125))","(np.float64(930.8147583007812), np.float64(978.4130859375))","(np.float64(855.5651245117188), np.float64(945.4900512695312))","(np.float64(929.1782836914062), np.float64(992.643310546875))","(np.float64(853.5956420898438), np.float64(967.4811401367188))","(np.float64(922.88671875), np.float64(1012.464599609375))","(np.float64(861.3964233398438), np.float64(993.1439819335938))","(np.float64(912.6442260742188), np.float64(1032.63232421875))","(np.float64(875.6597900390625), np.float64(1019.2770385742188))","(np.float64(900.6564331054688), np.float64(1060.45703125))"
4,1,labels_v001_123_08_23_21_ Cage A_ 1_Mated_sub5_254_271_analysis,"(np.float64(863.481689453125), np.float64(933.1380615234375))","(np.float64(930.8628540039062), np.float64(978.9179077148438))","(np.float64(855.2366943359375), np.float64(945.30419921875))","(np.float64(930.5614013671875), np.float64(993.0934448242188))","(np.float64(853.269775390625), np.float64(967.406982421875))","(np.float64(922.808837890625), np.float64(1012.9385375976562))","(np.float64(861.0910034179688), np.float64(993.1148681640625))","(np.float64(912.5551147460938), np.float64(1033.114013671875))","(np.float64(875.335693359375), np.float64(1019.3621215820312))","(np.float64(900.6019897460938), np.float64(1061.02880859375))"
5,1,labels_v001_123_08_23_21_ Cage A_ 1_Mated_sub5_254_271_analysis,"(np.float64(865.341064453125), np.float64(932.9949340820312))","(np.float64(931.5042114257812), np.float64(976.8206176757812))","(np.float64(855.4403076171875), np.float64(945.0729370117188))","(np.float64(931.333740234375), np.float64(992.4088134765625))","(np.float64(853.4727172851562), np.float64(967.264404296875))","(np.float64(925.1961669921875), np.float64(1010.8525390625))","(np.float64(861.26318359375), np.float64(992.9979858398438))","(np.float64(915.29931640625), np.float64(1032.6356201171875))","(np.float64(875.5435180664062), np.float64(1019.197021484375))","(np.float64(901.4708251953125), np.float64(1060.78662109375))"
6,1,labels_v001_123_08_23_21_ Cage A_ 1_Mated_sub5_254_271_analysis,"(np.float64(865.5021362304688), np.float64(932.708984375))","(np.float64(932.0347900390625), np.float64(976.5068969726562))","(np.float64(855.5794677734375), np.float64(944.8120727539062))","(np.float64(931.8907470703125), np.float64(990.6739501953125))","(np.float64(853.611083984375), np.float64(966.9619140625))","(np.float64(925.7581176757812), np.float64(1010.5879516601562))","(np.float64(861.3788452148438), np.float64(992.7335205078125))","(np.float64(915.8667602539062), np.float64(1032.408935546875))","(np.float64(875.716064453125), np.float64(1019.0526123046875))","(np.float64(903.808837890625), np.float64(1060.6328125))"
7,1,labels_v001_123_08_23_21_ Cage A_ 1_Mated_sub5_254_271_analysis,"(np.float64(865.3260498046875), np.float64(933.0093994140625))","(np.float64(932.0322265625), np.float64(976.7618408203125))","(np.float64(855.3510131835938), np.float64(945.0609741210938))","(np.float64(931.8883056640625), np.float64(990.9404296875))","(np.float64(853.3697509765625), np.float64(967.1712646484375))","(np.float64(925.7587890625), np.float64(1010.8695068359375))","(np.float64(861.1751098632812), np.float64(992.9315185546875))","(np.float64(915.8693237304688), np.float64(1032.68310546875))","(np.float64(875.4918823242188), np.float64(1019.3445434570312))","(np.float64(903.9002075195312), np.float64(1062.49951171875))"
8,1,labels_v001_123_08_23_21_ Cage A_ 1_Mated_sub5_254_271_analysis,"(np.float64(865.0040893554688), np.float64(932.9246215820312))","(np.float64(932.7867431640625), np.float64(976.2498779296875))","(np.float64(855.0614624023438), np.float64(945.0103759765625))","(np.float64(931.1797485351562), np.float64(990.39501953125))","(np.float64(853.0885620117188), np.float64(967.1605834960938))","(np.float64(925.1358032226562), np.float64(1010.4163208007812))","(np.float64(860.9573364257812), np.float64(992.9331665039062))","(np.float64(916.8074340820312), np.float64(1032.3201904296875))","(np.float64(875.2378540039062), np.float64(1021.0989990234375))","(np.float64(906.81787109375), np.float64(1060.3978271484375))"
9,1,labels_v001_123_08_23_21_ Cage A_ 1_Mated_sub5_254_271_analysis,"(np.float64(865.314453125), np.float64(932.6978149414062))","(np.float64(931.5892944335938), np.float64(976.0287475585938))","(np.float64(855.4177856445312), np.float64(944.803955078125))","(np.float64(933.0875244140625), np.float64(990.1438598632812))","(np.float64(853.4248046875), np.float64(966.9446411132812))","(np.float64(927.2396240234375), np.float64(1010.1793823242188))","(np.float64(861.3055419921875), np.float64(992.7438354492188))","(np.float64(919.13916015625), np.float64(1032.1387939453125))","(np.float64(877.23779296875), np.float64(1020.980712890625))","(np.float64(908.9660034179688), np.float64(1060.2734375))"
