frame,condition,filename,thorax_mosquito1,thorax_mosquito2,abdo1_mosquito1,abdo1_mosquito2,abdo2_mosquito1,abdo2_mosquito2,abdo3_mosquito1,abdo3_mosquito2,abdo4_mosquito1,abdo4_mosquito2
0,0,labels_v001_130_08_23_21_ Cage B_ 2_Virgin_sub1_476_480_analysis,"(np.float64(915.752685546875), np.float64(936.4979858398438))","(np.float64(1008.012451171875), np.float64(1013.2334594726562))","(np.float64(911.9210815429688), np.float64(950.5693969726562))","(np.float64(1005.86962890625), np.float64(1025.36376953125))","(np.float64(915.788818359375), np.float64(972.62255859375))","(np.float64(993.8208618164062), np.float64(1039.3155517578125))","(np.float64(927.5615234375), np.float64(996.4937744140625))","(np.float64(979.7778930664062), np.float64(1055.228515625))","(np.float64(937.5520629882812), np.float64(1020.7142333984375))","(np.float64(971.6658325195312), np.float64(1065.3837890625))"
1,0,labels_v001_130_08_23_21_ Cage B_ 2_Virgin_sub1_476_480_analysis,"(np.float64(915.716064453125), np.float64(936.1934814453125))","(np.float64(1007.95654296875), np.float64(1013.3015747070312))","(np.float64(911.887451171875), np.float64(950.2763061523438))","(np.float64(1005.7101440429688), np.float64(1025.347412109375))","(np.float64(915.7547607421875), np.float64(972.3280029296875))","(np.float64(992.0880737304688), np.float64(1037.73583984375))","(np.float64(927.5477294921875), np.float64(996.1865234375))","(np.float64(977.6314697265625), np.float64(1053.3525390625))","(np.float64(937.502685546875), np.float64(1020.4586791992188))","(np.float64(969.9879150390625), np.float64(1063.9388427734375))"
2,0,labels_v001_130_08_23_21_ Cage B_ 2_Virgin_sub1_476_480_analysis,"(np.float64(915.653564453125), np.float64(936.6141967773438))","(np.float64(1007.7023315429688), np.float64(1013.1275634765625))","(np.float64(911.8262939453125), np.float64(950.6742553710938))","(np.float64(1005.52392578125), np.float64(1025.165771484375))","(np.float64(915.7079467773438), np.float64(972.7625732421875))","(np.float64(991.8577270507812), np.float64(1039.02978515625))","(np.float64(927.4650268554688), np.float64(996.6090698242188))","(np.float64(977.3853759765625), np.float64(1053.0482177734375))","(np.float64(937.4566040039062), np.float64(1020.8494262695312))","(np.float64(969.5335083007812), np.float64(1065.097900390625))"
3,0,labels_v001_130_08_23_21_ Cage B_ 2_Virgin_sub1_476_480_analysis,"(np.float64(915.6683349609375), np.float64(936.4612426757812))","(np.float64(1008.1810302734375), np.float64(1011.8483276367188))","(np.float64(911.86572265625), np.float64(950.55322265625))","(np.float64(1004.5421142578125), np.float64(1023.9375))","(np.float64(915.7462768554688), np.float64(972.6279907226562))","(np.float64(992.1365966796875), np.float64(1037.6226806640625))","(np.float64(927.5045166015625), np.float64(996.4467163085938))","(np.float64(976.1253662109375), np.float64(1051.5465087890625))","(np.float64(937.5070190429688), np.float64(1020.6685180664062))","(np.float64(966.3718872070312), np.float64(1061.9481201171875))"
4,0,labels_v001_130_08_23_21_ Cage B_ 2_Virgin_sub1_476_480_analysis,"(np.float64(915.63818359375), np.float64(936.2872314453125))","(np.float64(1008.9658203125), np.float64(1012.36328125))","(np.float64(911.8613891601562), np.float64(950.3783569335938))","(np.float64(1005.069091796875), np.float64(1024.386474609375))","(np.float64(915.7403564453125), np.float64(972.475341796875))","(np.float64(989.4412231445312), np.float64(1036.601318359375))","(np.float64(927.4796752929688), np.float64(996.270263671875))","(np.float64(973.0169677734375), np.float64(1046.8778076171875))","(np.float64(937.531005859375), np.float64(1020.4644775390625))","(np.float64(963.3370971679688), np.float64(1060.4029541015625))"
5,0,labels_v001_130_08_23_21_ Cage B_ 2_Virgin_sub1_476_480_analysis,"(np.float64(915.324462890625), np.float64(936.6783447265625))","(np.float64(1010.2268371582031), np.float64(1011.9980773925781))","(np.float64(911.511474609375), np.float64(950.7886962890625))","(np.float64(1004.3240966796875), np.float64(1023.951171875))","(np.float64(915.36572265625), np.float64(972.857666015625))","(np.float64(987.4520568847656), np.float64(1034.1488037109375))","(np.float64(927.1561889648438), np.float64(996.65576171875))","(np.float64(969.2642211914062), np.float64(1042.4639282226562))","(np.float64(937.14501953125), np.float64(1020.9160766601562))","(np.float64(957.618408203125), np.float64(1053.0963745117188))"
6,0,labels_v001_130_08_23_21_ Cage B_ 2_Virgin_sub1_476_480_analysis,"(np.float64(915.4259033203125), np.float64(935.9457397460938))","(np.float64(1011.4878540039062), np.float64(1011.6328735351562))","(np.float64(911.4795532226562), np.float64(950.0127563476562))","(np.float64(1003.5791015625), np.float64(1023.515869140625))","(np.float64(915.267822265625), np.float64(972.0711669921875))","(np.float64(985.462890625), np.float64(1031.6962890625))","(np.float64(925.3123168945312), np.float64(995.9293212890625))","(np.float64(965.511474609375), np.float64(1038.050048828125))","(np.float64(935.6126708984375), np.float64(1020.3461303710938))","(np.float64(951.8997192382812), np.float64(1045.789794921875))"
7,0,labels_v001_130_08_23_21_ Cage B_ 2_Virgin_sub1_476_480_analysis,"(np.float64(917.0327758789062), np.float64(935.0088500976562))","(np.float64(1011.7735595703125), np.float64(1003.3641357421875))","(np.float64(912.9945068359375), np.float64(948.9970092773438))","(np.float64(1003.7661743164062), np.float64(1015.1494140625))","(np.float64(915.1757202148438), np.float64(971.0877685546875))","(np.float64(983.8904418945312), np.float64(1021.3212280273438))","(np.float64(924.9273681640625), np.float64(995.011474609375))","(np.float64(963.7279052734375), np.float64(1027.022216796875))","(np.float64(935.17919921875), np.float64(1021.0245361328125))","(np.float64(949.8757934570312), np.float64(1033.04638671875))"
8,0,labels_v001_130_08_23_21_ Cage B_ 2_Virgin_sub1_476_480_analysis,"(np.float64(917.2343139648438), np.float64(935.5032958984375))","(np.float64(1010.8988647460938), np.float64(1003.2518310546875))","(np.float64(913.2406616210938), np.float64(949.5648803710938))","(np.float64(1001.2130126953125), np.float64(1013.37060546875))","(np.float64(915.4041137695312), np.float64(971.6294555664062))","(np.float64(981.2604370117188), np.float64(1019.1483764648438))","(np.float64(925.1531982421875), np.float64(995.5134887695312))","(np.float64(960.8960571289062), np.float64(1021.205078125))","(np.float64(935.366455078125), np.float64(1021.5010986328125))","(np.float64(948.69140625), np.float64(1027.510009765625))"
9,0,labels_v001_130_08_23_21_ Cage B_ 2_Virgin_sub1_476_480_analysis,"(np.float64(916.1719970703125), np.float64(936.782470703125))","(np.float64(1002.0447998046875), np.float64(1005.3665771484375))","(np.float64(913.75), np.float64(950.7755126953125))","(np.float64(990.404541015625), np.float64(1015.3982543945312))","(np.float64(916.14111328125), np.float64(973.0328369140625))","(np.float64(968.5588989257812), np.float64(1019.254638671875))","(np.float64(927.7657470703125), np.float64(996.7471313476562))","(np.float64(948.19482421875), np.float64(1019.1253662109375))","(np.float64(936.0257568359375), np.float64(1021.28759765625))","(np.float64(932.5877075195312), np.float64(1023.0191650390625))"
10,0,labels_v001_130_08_23_21_ Cage B_ 2_Virgin_sub1_476_480_analysis,"(np.float64(916.16259765625), np.float64(937.3770751953125))","(np.float64(999.1369323730469), np.float64(1006.7544250488281))","(np.float64(912.3500366210938), np.float64(951.2932739257812))","(np.float64(988.188232421875), np.float64(1016.807861328125))","(np.float64(916.2019653320312), np.float64(973.6531982421875))","(np.float64(966.3201599121094), np.float64(1020.56103515625))","(np.float64(928.1083374023438), np.float64(997.4309692382812))","(np.float64(946.0091857910156), np.float64(1019.4956359863281))","(np.float64(934.247802734375), np.float64(1017.6385498046875))","(np.float64(930.3814697265625), np.float64(1023.4772033691406))"
11,0,labels_v001_130_08_23_21_ Cage B_ 2_Virgin_sub1_476_480_analysis,"(np.float64(915.1768188476562), np.float64(937.3539428710938))","(np.float64(996.2290649414062), np.float64(1008.1422729492188))","(np.float64(911.140380859375), np.float64(949.7615356445312))","(np.float64(985.971923828125), np.float64(1018.2174682617188))","(np.float64(914.8779296875), np.float64(973.5111694335938))","(np.float64(964.0814208984375), np.float64(1021.867431640625))","(np.float64(924.9102783203125), np.float64(997.3863525390625))","(np.float64(943.8235473632812), np.float64(1019.8659057617188))","(np.float64(933.0546264648438), np.float64(1021.84716796875))","(np.float64(928.1752319335938), np.float64(1023.9352416992188))"
