frame,condition,filename,thorax_mosquito1,thorax_mosquito2,abdo1_mosquito1,abdo1_mosquito2,abdo2_mosquito1,abdo2_mosquito2,abdo3_mosquito1,abdo3_mosquito2,abdo4_mosquito1,abdo4_mosquito2
0,2,labels_v001_131_08_23_21_ Cage B_ 3_Virgin_sub0_304_323_succesful_analysis,"(1153.4793701171875, 908.1363525390625)","(1184.126220703125, 1022.0051879882812)","(1145.4737548828125, 919.0259399414062)","(1177.82080078125, 1035.70751953125)","(1143.4468994140625, 943.3983154296875)","(1158.1282958984375, 1043.857421875)","(1153.4141845703125, 969.1502685546875)","(1139.7899169921875, 1051.8211669921875)","(1165.380126953125, 993.6116333007812)","(1131.9154052734375, 1059.9024658203125)"
1,2,labels_v001_131_08_23_21_ Cage B_ 3_Virgin_sub0_304_323_succesful_analysis,"(1154.2591552734375, 907.4271850585938)","(1186.3328857421875, 1021.5618896484375)","(1146.36181640625, 918.4520874023438)","(1178.5458984375, 1033.6998291015625)","(1145.94873046875, 942.6790771484375)","(1158.7606201171875, 1043.3724365234375)","(1156.0224609375, 968.4087524414062)","(1140.421875, 1051.341552734375)","(1167.96728515625, 992.7755126953125)","(1134.2381591796875, 1058.0733642578125)"
2,2,labels_v001_131_08_23_21_ Cage B_ 3_Virgin_sub0_304_323_succesful_analysis,"(1157.139404296875, 908.1098022460938)","(1187.5020751953125, 1021.6229248046875)","(1149.1553955078125, 918.4180908203125)","(1179.579833984375, 1035.279296875)","(1147.17626953125, 942.6547241210938)","(1161.1749267578125, 1043.4439697265625)","(1157.098388671875, 968.4351806640625)","(1141.311767578125, 1051.252197265625)","(1171.0992431640625, 992.6401977539062)","(1135.3355712890625, 1059.347900390625)"
3,2,labels_v001_131_08_23_21_ Cage B_ 3_Virgin_sub0_304_323_succesful_analysis,"(1156.1058349609375, 908.4632568359375)","(1185.1871337890625, 1022.1499633789062)","(1148.17138671875, 918.77734375)","(1178.8685302734375, 1035.885986328125)","(1146.1832275390625, 942.9973754882812)","(1160.697509765625, 1044.105712890625)","(1156.1851806640625, 968.751953125)","(1140.797607421875, 1051.9891357421875)","(1168.48291015625, 993.1427001953125)","(1131.0391845703125, 1060.0638427734375)"
4,2,labels_v001_131_08_23_21_ Cage B_ 3_Virgin_sub0_304_323_succesful_analysis,"(1154.051025390625, 908.3734130859375)","(1183.76513671875, 1021.9306030273438)","(1145.9886474609375, 918.6643676757812)","(1176.109130859375, 1034.2193603515625)","(1143.9056396484375, 942.8965454101562)","(1158.1578369140625, 1043.8955078125)","(1153.65869140625, 968.704833984375)","(1139.819580078125, 1051.8653564453125)","(1167.6331787109375, 993.006103515625)","(1128.14990234375, 1059.95556640625)"
5,2,labels_v001_131_08_23_21_ Cage B_ 3_Virgin_sub0_304_323_succesful_analysis,"(1153.1007080078125, 908.0091552734375)","(1180.9083251953125, 1022.3292236328125)","(1145.0797119140625, 918.988037109375)","(1174.7158203125, 1036.1220703125)","(1143.0115966796875, 943.2054443359375)","(1155.1572265625, 1044.1971435546875)","(1152.826904296875, 968.9993896484375)","(1136.807861328125, 1052.10888671875)","(1165.0079345703125, 993.4808959960938)","(1125.10693359375, 1060.1068115234375)"
6,2,labels_v001_131_08_23_21_ Cage B_ 3_Virgin_sub0_304_323_succesful_analysis,"(1156.0850830078125, 907.7293090820312)","(1185.1199951171875, 1025.85546875)","(1148.130859375, 918.69140625)","(1171.6436767578125, 1031.616943359375)","(1146.20947265625, 942.8590698242188)","(1151.6124267578125, 1027.7337646484375)","(1156.024169921875, 968.7201538085938)","(1133.2666015625, 1023.6437377929688)","(1168.0477294921875, 993.0194091796875)","(1125.0693359375, 1025.93115234375)"
7,2,labels_v001_131_08_23_21_ Cage B_ 3_Virgin_sub0_304_323_succesful_analysis,"(1156.2823486328125, 908.829345703125)","(1187.478271484375, 1025.4397583007812)","(1148.2847900390625, 919.1213989257812)","(1173.9149169921875, 1029.4284057617188)","(1146.3035888671875, 943.1809692382812)","(1154.7758178710938, 1024.44873046875)","(1156.14013671875, 969.0986328125)","(1136.5604248046875, 1018.2868041992188)","(1166.3101806640625, 995.222900390625)","(1125.6552734375, 1020.3778991699219)"
8,2,labels_v001_131_08_23_21_ Cage B_ 3_Virgin_sub0_304_323_succesful_analysis,"(1156.1046142578125, 908.3626708984375)","(1189.8365478515625, 1025.0240478515625)","(1148.0125732421875, 918.714599609375)","(1176.1861572265625, 1027.2398681640625)","(1146.00439453125, 942.7454223632812)","(1157.939208984375, 1021.1636962890625)","(1155.8438720703125, 968.6559448242188)","(1139.854248046875, 1012.9298706054688)","(1166.2164306640625, 994.861083984375)","(1126.2412109375, 1014.8246459960938)"
9,2,labels_v001_131_08_23_21_ Cage B_ 3_Virgin_sub0_304_323_succesful_analysis,"(1154.3133544921875, 908.6358642578125)","(1194.1912841796875, 1011.8095092773438)","(1146.117919921875, 918.8948974609375)","(1181.9163818359375, 1015.7302856445312)","(1142.425048828125, 942.9929809570312)","(1162.13037109375, 1010.0130004882812)","(1152.019287109375, 968.9114990234375)","(1143.9036865234375, 1003.834716796875)","(1164.5185546875, 993.20068359375)","(1127.9329833984375, 1002.0247192382812)"
