frame,condition,filename,thorax_mosquito1,thorax_mosquito2,abdo1_mosquito1,abdo1_mosquito2,abdo2_mosquito1,abdo2_mosquito2,abdo3_mosquito1,abdo3_mosquito2,abdo4_mosquito1,abdo4_mosquito2
0,3,labels_v001_137_09_07_21_ Cage 3_ 4_Virgin_sub0_90_106_attempted_analysis,"(np.float64(952.2852783203125), np.float64(1053.666259765625))","(np.float64(901.1531372070312), np.float64(990.208740234375))","(np.float64(948.5979614257812), np.float64(1067.7265625))","(np.float64(893.18359375), np.float64(1002.7949829101562))","(np.float64(940.5853881835938), np.float64(1087.8057861328125))","(np.float64(887.1431884765625), np.float64(1022.6669921875))","(np.float64(932.312255859375), np.float64(1107.6226806640625))","(np.float64(889.0708618164062), np.float64(1048.3916015625))","(np.float64(945.9631958007812), np.float64(991.0569458007812))","(np.float64(897.211181640625), np.float64(1074.8004150390625))"
1,3,labels_v001_137_09_07_21_ Cage 3_ 4_Virgin_sub0_90_106_attempted_analysis,"(np.float64(952.2852783203125), np.float64(1053.666259765625))","(np.float64(893.3778686523438), np.float64(992.5399169921875))","(np.float64(948.5979614257812), np.float64(1067.7265625))","(np.float64(885.570556640625), np.float64(1006.5473022460938))","(np.float64(940.5853881835938), np.float64(1087.8057861328125))","(np.float64(879.307861328125), np.float64(1026.3897705078125))","(np.float64(932.312255859375), np.float64(1107.6226806640625))","(np.float64(881.0802001953125), np.float64(1052.2899169921875))","(np.float64(926.431640625), np.float64(1135.4798583984375))","(np.float64(889.1179809570312), np.float64(1078.3671875))"
2,3,labels_v001_137_09_07_21_ Cage 3_ 4_Virgin_sub0_90_106_attempted_analysis,"(np.float64(962.1124877929688), np.float64(1024.2274780273438))","(np.float64(902.4345092773438), np.float64(993.2986450195312))","(np.float64(963.3982849121094), np.float64(1038.1219482421875))","(np.float64(894.8179321289062), np.float64(1007.3402099609375))","(np.float64(966.2593994140625), np.float64(1058.3211059570312))","(np.float64(888.8313598632812), np.float64(1027.2174072265625))","(np.float64(968.0784301757812), np.float64(1078.0918579101562))","(np.float64(892.48046875), np.float64(1053.2081298828125))","(np.float64(974.1920776367188), np.float64(1099.9326782226562))","(np.float64(900.452880859375), np.float64(1077.326416015625))"
3,3,labels_v001_137_09_07_21_ Cage 3_ 4_Virgin_sub0_90_106_attempted_analysis,"(np.float64(971.939697265625), np.float64(994.7886962890625))","(np.float64(922.549560546875), np.float64(991.5180053710938))","(np.float64(978.1986083984375), np.float64(1008.517333984375))","(np.float64(916.6162719726562), np.float64(1005.8464965820312))","(np.float64(991.9334106445312), np.float64(1028.83642578125))","(np.float64(912.6202392578125), np.float64(1025.4957275390625))","(np.float64(1003.8446044921875), np.float64(1048.56103515625))","(np.float64(916.2201538085938), np.float64(1049.6075439453125))","(np.float64(1021.9525146484375), np.float64(1064.385498046875))","(np.float64(926.1513671875), np.float64(1075.868896484375))"
4,3,labels_v001_137_09_07_21_ Cage 3_ 4_Virgin_sub0_90_106_attempted_analysis,"(np.float64(935.40673828125), np.float64(1002.3560180664062))","(np.float64(884.4400024414062), np.float64(987.4590454101562))","(np.float64(939.421630859375), np.float64(1018.39892578125))","(np.float64(878.2384643554688), np.float64(1001.7504272460938))","(np.float64(945.4284057617188), np.float64(1038.367431640625))","(np.float64(872.053955078125), np.float64(1021.2274780273438))","(np.float64(953.2410278320312), np.float64(1060.1007080078125))","(np.float64(872.0179443359375), np.float64(1045.324462890625))","(np.float64(965.5723266601562), np.float64(1082.2415771484375))","(np.float64(880.2598876953125), np.float64(1071.6865234375))"
5,3,labels_v001_137_09_07_21_ Cage 3_ 4_Virgin_sub0_90_106_attempted_analysis,"(np.float64(924.5035400390625), np.float64(1005.2362670898438))","(np.float64(873.7242431640625), np.float64(987.0689086914062))","(np.float64(928.397705078125), np.float64(1021.0030517578125))","(np.float64(865.5394287109375), np.float64(1001.0786743164062))","(np.float64(932.4662475585938), np.float64(1041.2337646484375))","(np.float64(857.8167724609375), np.float64(1019.2650146484375))","(np.float64(936.417236328125), np.float64(1064.8511962890625))","(np.float64(857.4469604492188), np.float64(1044.90869140625))","(np.float64(948.8145751953125), np.float64(1090.879150390625))","(np.float64(865.5104370117188), np.float64(1072.8148193359375))"
6,3,labels_v001_137_09_07_21_ Cage 3_ 4_Virgin_sub0_90_106_attempted_analysis,"(np.float64(957.278076171875), np.float64(1045.2100830078125))","(np.float64(894.319580078125), np.float64(989.9728393554688))","(np.float64(955.0810546875), np.float64(1061.0372314453125))","(np.float64(888.2774047851562), np.float64(1005.71435546875))","(np.float64(949.4124755859375), np.float64(1081.1595458984375))","(np.float64(882.0045166015625), np.float64(1023.8761596679688))","(np.float64(944.9920654296875), np.float64(1104.8466796875))","(np.float64(883.9284057617188), np.float64(1049.66552734375))","(np.float64(949.1051635742188), np.float64(1130.8607177734375))","(np.float64(888.0068359375), np.float64(1077.6163330078125))"
7,3,labels_v001_137_09_07_21_ Cage 3_ 4_Virgin_sub0_90_106_attempted_analysis,"(np.float64(952.3313191731771), np.float64(1032.6971028645833))","(np.float64(927.2373657226562), np.float64(991.2479858398438))","(np.float64(951.6101888020834), np.float64(1048.5748901367188))","(np.float64(921.3787841796875), np.float64(1005.6723022460938))","(np.float64(949.1452026367188), np.float64(1069.2338460286458))","(np.float64(917.363525390625), np.float64(1025.214111328125))","(np.float64(947.5108235677084), np.float64(1092.3266194661458))","(np.float64(920.9430541992188), np.float64(1049.2708740234375))","(np.float64(954.3240356445312), np.float64(1117.0216878255208))","(np.float64(930.9259643554688), np.float64(1075.3084716796875))"
8,3,labels_v001_137_09_07_21_ Cage 3_ 4_Virgin_sub0_90_106_attempted_analysis,"(np.float64(947.3845621744791), np.float64(1020.1841227213541))","(np.float64(922.9765014648438), np.float64(991.2955932617188))","(np.float64(948.1393229166666), np.float64(1036.112548828125))","(np.float64(917.252197265625), np.float64(1005.7791137695312))","(np.float64(948.8779296875), np.float64(1057.3081461588542))","(np.float64(913.2157592773438), np.float64(1025.333740234375))","(np.float64(950.0295817057291), np.float64(1079.8065592447917))","(np.float64(916.8560791015625), np.float64(1049.3489990234375))","(np.float64(959.5429077148438), np.float64(1103.1826578776042))","(np.float64(927.09130859375), np.float64(1075.2467041015625))"
9,3,labels_v001_137_09_07_21_ Cage 3_ 4_Virgin_sub0_90_106_attempted_analysis,"(np.float64(942.4378051757812), np.float64(1007.671142578125))","(np.float64(883.772216796875), np.float64(990.0010375976562))","(np.float64(944.66845703125), np.float64(1023.6502075195312))","(np.float64(876.092041015625), np.float64(1004.2598876953125))","(np.float64(948.6106567382812), np.float64(1045.3824462890625))","(np.float64(869.9668579101562), np.float64(1022.4370727539062))","(np.float64(952.54833984375), np.float64(1067.2864990234375))","(np.float64(871.71044921875), np.float64(1048.01904296875))","(np.float64(964.7617797851562), np.float64(1089.3436279296875))","(np.float64(877.665283203125), np.float64(1072.454833984375))"
