frame,condition,filename,thorax_mosquito1,thorax_mosquito2,abdo1_mosquito1,abdo1_mosquito2,abdo2_mosquito1,abdo2_mosquito2,abdo3_mosquito1,abdo3_mosquito2,abdo4_mosquito1,abdo4_mosquito2
0,0,labels_v001_140_09_07_21_ Cage 3_ 5_Virgin_sub0_276_289_succeesful_analysis,"(889.6202392578125, 939.1082153320312)","(952.3896484375, 1003.1473999023438)","(879.8320922851562, 948.5259399414062)","(946.3279418945312, 1017.2786254882812)","(875.75439453125, 972.90966796875)","(932.4749145507812, 1033.3311767578125)","(877.448486328125, 1000.6526489257812)","(916.1527099609375, 1049.114990234375)","(885.8033447265625, 1030.6204833984375)","(888.17041015625, 1075.023681640625)"
1,0,labels_v001_140_09_07_21_ Cage 3_ 5_Virgin_sub0_276_289_succeesful_analysis,"(889.6202392578125, 939.1082153320312)","(952.3411254882812, 1003.1593017578125)","(879.8479614257812, 948.5112915039062)","(946.2783813476562, 1017.2868041992188)","(875.76708984375, 972.9107666015625)","(932.4285278320312, 1033.34326171875)","(877.4730224609375, 1000.6515502929688)","(916.103759765625, 1049.1212158203125)","(885.8248901367188, 1030.6180419921875)","(888.090087890625, 1075.0400390625)"
2,0,labels_v001_140_09_07_21_ Cage 3_ 5_Virgin_sub0_276_289_succeesful_analysis,"(889.6202392578125, 939.1082153320312)","(952.325439453125, 1003.2127685546875)","(879.8363037109375, 948.504638671875)","(946.2549438476562, 1017.3369750976562)","(875.7613525390625, 972.9015502929688)","(932.4075927734375, 1033.389892578125)","(877.4570922851562, 1000.6428833007812)","(916.0835571289062, 1049.1650390625)","(885.8099365234375, 1030.611083984375)","(888.0372314453125, 1075.08349609375)"
3,0,labels_v001_140_09_07_21_ Cage 3_ 5_Virgin_sub0_276_289_succeesful_analysis,"(889.6202392578125, 939.1082153320312)","(952.37255859375, 1003.187255859375)","(879.8690185546875, 948.4381103515625)","(946.3040161132812, 1017.2984008789062)","(875.7935791015625, 972.8290405273438)","(932.4602661132812, 1033.343017578125)","(877.4947509765625, 1000.5680541992188)","(916.1310424804688, 1049.1290283203125)","(885.8372802734375, 1030.555419921875)","(888.1043701171875, 1075.0220947265625)"
4,0,labels_v001_140_09_07_21_ Cage 3_ 5_Virgin_sub0_276_289_succeesful_analysis,"(889.6202392578125, 939.1082153320312)","(952.37646484375, 1003.2005615234375)","(879.861328125, 948.405517578125)","(946.2951049804688, 1017.3064575195312)","(875.7902221679688, 972.7925415039062)","(932.4411010742188, 1033.3564453125)","(877.4874267578125, 1000.5321655273438)","(916.1205444335938, 1049.1309814453125)","(885.8237915039062, 1030.5299072265625)","(888.1254272460938, 1075.052734375)"
5,0,labels_v001_140_09_07_21_ Cage 3_ 5_Virgin_sub0_276_289_succeesful_analysis,"(889.6202392578125, 939.1082153320312)","(952.3306274414062, 1003.2439575195312)","(879.8849487304688, 948.3829345703125)","(946.2659912109375, 1017.3394165039062)","(875.8057861328125, 972.7706298828125)","(932.38916015625, 1033.363037109375)","(877.5119018554688, 1000.509033203125)","(916.0711059570312, 1049.1324462890625)","(885.8441162109375, 1030.487548828125)","(888.0464477539062, 1075.054443359375)"
6,0,labels_v001_140_09_07_21_ Cage 3_ 5_Virgin_sub0_276_289_succeesful_analysis,"(889.6202392578125, 939.1082153320312)","(952.295166015625, 1003.2615356445312)","(879.8902587890625, 948.3555908203125)","(946.2376708984375, 1017.3607177734375)","(875.8114013671875, 972.7509765625)","(932.35986328125, 1033.38916015625)","(877.5192260742188, 1000.4866333007812)","(916.023681640625, 1049.157958984375)","(885.8497924804688, 1030.4564208984375)","(887.9443969726562, 1075.0252685546875)"
7,0,labels_v001_140_09_07_21_ Cage 3_ 5_Virgin_sub0_276_289_succeesful_analysis,"(889.6202392578125, 939.1082153320312)","(952.2774658203125, 1003.2713623046875)","(879.9017333984375, 948.3416748046875)","(946.2335205078125, 1017.361572265625)","(875.8154907226562, 972.7427368164062)","(932.346435546875, 1033.37939453125)","(877.529541015625, 1000.478759765625)","(916.0103759765625, 1049.146728515625)","(885.857666015625, 1030.4285888671875)","(887.9506225585938, 1075.0262451171875)"
8,0,labels_v001_140_09_07_21_ Cage 3_ 5_Virgin_sub0_276_289_succeesful_analysis,"(889.6202392578125, 939.1082153320312)","(952.2283325195312, 1003.3197631835938)","(879.953369140625, 946.8154296875)","(946.1932373046875, 1017.4091796875)","(875.8010864257812, 972.7227783203125)","(932.298095703125, 1033.4151611328125)","(877.5119018554688, 1000.4656982421875)","(915.9580688476562, 1049.181884765625)","(885.841796875, 1030.405517578125)","(887.92041015625, 1075.060791015625)"
9,0,labels_v001_140_09_07_21_ Cage 3_ 5_Virgin_sub0_276_289_succeesful_analysis,"(889.6202392578125, 939.1082153320312)","(952.1966552734375, 1003.3652954101562)","(879.8950805664062, 948.34326171875)","(946.1654663085938, 1017.4613647460938)","(875.80078125, 972.7224731445312)","(932.262939453125, 1033.462646484375)","(877.5181274414062, 1000.4640502929688)","(915.9205932617188, 1049.21875)","(885.8396606445312, 1030.4122314453125)","(887.8864135742188, 1075.10693359375)"
10,0,labels_v001_140_09_07_21_ Cage 3_ 5_Virgin_sub0_276_289_succeesful_analysis,"(889.6202392578125, 939.1082153320312)","(952.201171875, 1003.5034790039062)","(879.9188232421875, 948.5671997070312)","(946.1532592773438, 1017.5572509765625)","(875.80419921875, 972.9627685546875)","(932.2025756835938, 1033.516845703125)","(877.5355224609375, 1000.6870727539062)","(915.8421020507812, 1049.2642822265625)","(885.8576049804688, 1030.7012939453125)","(887.828369140625, 1075.16015625)"
