frame,condition,filename,thorax_mosquito1,thorax_mosquito2,abdo1_mosquito1,abdo1_mosquito2,abdo2_mosquito1,abdo2_mosquito2,abdo3_mosquito1,abdo3_mosquito2,abdo4_mosquito1,abdo4_mosquito2
0,0,labels_v001_141_09_07_21_ Cage 3_ 5_Virgin_sub1_395_409_analysis,"(np.float64(924.1180419921875), np.float64(938.4705810546875))","(np.float64(995.3410034179688), np.float64(999.3203125))","(np.float64(915.6341552734375), np.float64(947.431396484375))","(np.float64(993.2064208984375), np.float64(1013.3401489257812))","(np.float64(911.7095947265625), np.float64(973.4591064453125))","(np.float64(975.1633911132812), np.float64(1027.417724609375))","(np.float64(915.6207275390625), np.float64(999.42041015625))","(np.float64(956.9950561523438), np.float64(1037.2947998046875))","(np.float64(925.5053100585938), np.float64(1031.8482666015625))","(np.float64(941.0946655273438), np.float64(1053.337890625))"
1,0,labels_v001_141_09_07_21_ Cage 3_ 5_Virgin_sub1_395_409_analysis,"(np.float64(925.5646362304688), np.float64(938.4817504882812))","(np.float64(992.628662109375), np.float64(1001.4473266601562))","(np.float64(915.7769775390625), np.float64(947.6258544921875))","(np.float64(986.8378295898438), np.float64(1015.3407592773438))","(np.float64(911.73681640625), np.float64(973.5989990234375))","(np.float64(968.49755859375), np.float64(1027.5250244140625))","(np.float64(915.440185546875), np.float64(999.49951171875))","(np.float64(948.5028076171875), np.float64(1033.3853759765625))","(np.float64(925.4114990234375), np.float64(1031.571044921875))","(np.float64(922.7335205078125), np.float64(1047.58203125))"
2,0,labels_v001_141_09_07_21_ Cage 3_ 5_Virgin_sub1_395_409_analysis,"(np.float64(933.0931396484375), np.float64(948.7037004743304))","(np.float64(986.5408325195312), np.float64(1002.8663330078125))","(np.float64(915.8868408203125), np.float64(947.6616821289062))","(np.float64(976.7491455078125), np.float64(1015.16748046875))","(np.float64(911.9917602539062), np.float64(975.5447998046875))","(np.float64(956.3682861328125), np.float64(1022.86328125))","(np.float64(915.9723510742188), np.float64(1001.369873046875))","(np.float64(936.3095092773438), np.float64(1024.7418212890625))","(np.float64(923.9005126953125), np.float64(1025.5589599609375))","(np.float64(908.7076416015625), np.float64(1034.8233642578125))"
3,0,labels_v001_141_09_07_21_ Cage 3_ 5_Virgin_sub1_395_409_analysis,"(np.float64(940.6216430664062), np.float64(958.9256504603794))","(np.float64(983.8642578125), np.float64(1003.4279174804688))","(np.float64(914.6107177734375), np.float64(950.7089233398438))","(np.float64(973.7421264648438), np.float64(1015.7915649414062))","(np.float64(910.988037109375), np.float64(979.0191040039062))","(np.float64(951.6998901367188), np.float64(1021.6134643554688))","(np.float64(916.6497802734375), np.float64(1004.7567749023438))","(np.float64(931.4932861328125), np.float64(1023.5314331054688))","(np.float64(923.7547607421875), np.float64(1028.2254028320312))","(np.float64(905.5543823242188), np.float64(1031.7899169921875))"
4,0,labels_v001_141_09_07_21_ Cage 3_ 5_Virgin_sub1_395_409_analysis,"(np.float64(948.150146484375), np.float64(969.1476004464286))","(np.float64(985.2142486572266), np.float64(1003.0752716064453))","(np.float64(915.1414794921875), np.float64(950.6524047851562))","(np.float64(975.318244934082), np.float64(1015.6386108398438))","(np.float64(913.0523681640625), np.float64(978.830810546875))","(np.float64(953.3149795532227), np.float64(1021.7069778442383))","(np.float64(917.214111328125), np.float64(1004.6618041992188))","(np.float64(933.087028503418), np.float64(1023.6179580688477))","(np.float64(923.6090087890625), np.float64(1030.891845703125))","(np.float64(907.6614608764648), np.float64(1031.3497314453125))"
5,0,labels_v001_141_09_07_21_ Cage 3_ 5_Virgin_sub1_395_409_analysis,"(np.float64(955.6786499023438), np.float64(979.3695504324777))","(np.float64(986.5642395019531), np.float64(1002.7226257324219))","(np.float64(915.553955078125), np.float64(950.6918334960938))","(np.float64(976.8943634033203), np.float64(1015.4856567382812))","(np.float64(913.387939453125), np.float64(978.8556518554688))","(np.float64(954.9300689697266), np.float64(1021.8004913330078))","(np.float64(917.41162109375), np.float64(1004.6311645507812))","(np.float64(934.6807708740234), np.float64(1023.7044830322266))","(np.float64(925.3745727539062), np.float64(1030.87158203125))","(np.float64(909.7685394287109), np.float64(1030.9095458984375))"
6,0,labels_v001_141_09_07_21_ Cage 3_ 5_Virgin_sub1_395_409_analysis,"(np.float64(963.2071533203125), np.float64(989.5915004185268))","(np.float64(987.9142303466797), np.float64(1002.3699798583984))","(np.float64(915.27978515625), np.float64(951.1549072265625))","(np.float64(978.4704818725586), np.float64(1015.3327026367188))","(np.float64(913.0538940429688), np.float64(979.3298950195312))","(np.float64(956.5451583862305), np.float64(1021.8940048217773))","(np.float64(917.0694580078125), np.float64(1005.0958862304688))","(np.float64(936.2745132446289), np.float64(1023.7910079956055))","(np.float64(925.1597900390625), np.float64(1031.3204345703125))","(np.float64(911.875617980957), np.float64(1030.4693603515625))"
7,0,labels_v001_141_09_07_21_ Cage 3_ 5_Virgin_sub1_395_409_analysis,"(np.float64(970.7356567382812), np.float64(999.8134504045759))","(np.float64(989.2642211914062), np.float64(1002.017333984375))","(np.float64(913.255859375), np.float64(954.2655029296875))","(np.float64(980.0466003417969), np.float64(1015.1797485351562))","(np.float64(912.6948852539062), np.float64(982.48779296875))","(np.float64(958.1602478027344), np.float64(1021.9875183105469))","(np.float64(916.8101806640625), np.float64(1008.3961791992188))","(np.float64(937.8682556152344), np.float64(1023.8775329589844))","(np.float64(925.2274169921875), np.float64(1032.665283203125))","(np.float64(913.9826965332031), np.float64(1030.0291748046875))"
8,0,labels_v001_141_09_07_21_ Cage 3_ 5_Virgin_sub1_395_409_analysis,"(np.float64(978.26416015625), np.float64(1010.035400390625))","(np.float64(990.6142120361328), np.float64(1001.6646881103516))","(np.float64(913.4992065429688), np.float64(954.1505737304688))","(np.float64(981.6227188110352), np.float64(1015.0267944335938))","(np.float64(912.92822265625), np.float64(982.3141479492188))","(np.float64(959.7753372192383), np.float64(1022.0810317993164))","(np.float64(916.9510498046875), np.float64(1008.3118286132812))","(np.float64(939.4619979858398), np.float64(1023.9640579223633))","(np.float64(925.4970703125), np.float64(1034.094482421875))","(np.float64(916.0897750854492), np.float64(1029.5889892578125))"
9,0,labels_v001_141_09_07_21_ Cage 3_ 5_Virgin_sub1_395_409_analysis,"(np.float64(960.5513916015625), np.float64(985.833984375))","(np.float64(991.9642028808594), np.float64(1001.3120422363281))","(np.float64(915.2971801757812), np.float64(952.4406127929688))","(np.float64(983.1988372802734), np.float64(1014.8738403320312))","(np.float64(913.211669921875), np.float64(982.2841796875))","(np.float64(961.3904266357422), np.float64(1022.1745452880859))","(np.float64(917.2380981445312), np.float64(1008.27294921875))","(np.float64(941.0557403564453), np.float64(1024.0505828857422))","(np.float64(927.1670532226562), np.float64(1034.0904541015625))","(np.float64(918.1968536376953), np.float64(1029.1488037109375))"
