frame,condition,filename,thorax_mosquito1,thorax_mosquito2,abdo1_mosquito1,abdo1_mosquito2,abdo2_mosquito1,abdo2_mosquito2,abdo3_mosquito1,abdo3_mosquito2,abdo4_mosquito1,abdo4_mosquito2
0,2,labels_v001_142_09_07_21_ Cage 3_ 6_Virgin_sub0_402_415_succesful_analysis,"(np.float64(800.8250122070312), np.float64(959.9949340820312))","(np.float64(856.576171875), np.float64(1020.2901611328125))","(np.float64(792.9952392578125), np.float64(972.1820068359375))","(np.float64(852.643310546875), np.float64(1034.09423828125))","(np.float64(790.9849853515625), np.float64(996.0760498046875))","(np.float64(836.9638061523438), np.float64(1050.2330322265625))","(np.float64(796.7261962890625), np.float64(1020.1921997070312))","(np.float64(820.5744018554688), np.float64(1063.9859619140625))","(np.float64(812.7369995117188), np.float64(1042.540283203125))","(np.float64(796.6961669921875), np.float64(1082.3504638671875))"
1,2,labels_v001_142_09_07_21_ Cage 3_ 6_Virgin_sub0_402_415_succesful_analysis,"(np.float64(829.7417602539062), np.float64(960.2548217773438))","(np.float64(892.28173828125), np.float64(1010.9031372070312))","(np.float64(822.083740234375), np.float64(972.5081176757812))","(np.float64(890.4016723632812), np.float64(1026.4825439453125))","(np.float64(822.1016845703125), np.float64(996.63916015625))","(np.float64(878.2594604492188), np.float64(1044.644287109375))","(np.float64(831.7213134765625), np.float64(1020.5103759765625))","(np.float64(864.1318969726562), np.float64(1060.645263671875))","(np.float64(849.7586669921875), np.float64(1040.7166748046875))","(np.float64(844.2613525390625), np.float64(1082.8697509765625))"
2,2,labels_v001_142_09_07_21_ Cage 3_ 6_Virgin_sub0_402_415_succesful_analysis,"(np.float64(834.03271484375), np.float64(960.9732666015625))","(np.float64(898.030517578125), np.float64(1008.5841674804688))","(np.float64(826.428466796875), np.float64(973.256103515625))","(np.float64(896.1983032226562), np.float64(1024.348388671875))","(np.float64(826.508544921875), np.float64(997.4133911132812))","(np.float64(885.869384765625), np.float64(1042.70263671875))","(np.float64(836.1168823242188), np.float64(1021.2008666992188))","(np.float64(871.9230346679688), np.float64(1060.4261474609375))","(np.float64(854.4530029296875), np.float64(1041.573486328125))","(np.float64(852.076416015625), np.float64(1084.6629638671875))"
3,2,labels_v001_142_09_07_21_ Cage 3_ 6_Virgin_sub0_402_415_succesful_analysis,"(np.float64(813.8475341796875), np.float64(961.1509399414062))","(np.float64(876.32763671875), np.float64(1007.4296875))","(np.float64(807.4556884765625), np.float64(973.35791015625))","(np.float64(874.4686279296875), np.float64(1023.3521728515625))","(np.float64(805.6651611328125), np.float64(997.392578125))","(np.float64(862.4953002929688), np.float64(1041.371826171875))","(np.float64(813.458251953125), np.float64(1021.40380859375))","(np.float64(848.1927490234375), np.float64(1057.2159423828125))","(np.float64(829.75927734375), np.float64(1041.6182861328125))","(np.float64(828.2637329101562), np.float64(1081.2802734375))"
4,2,labels_v001_142_09_07_21_ Cage 3_ 6_Virgin_sub0_402_415_succesful_analysis,"(np.float64(795.5509643554688), np.float64(960.2979736328125))","(np.float64(854.8209228515625), np.float64(1009.4994506835938))","(np.float64(787.6658325195312), np.float64(970.8628540039062))","(np.float64(852.88134765625), np.float64(1023.9617309570312))","(np.float64(783.9993286132812), np.float64(996.4183349609375))","(np.float64(840.6129760742188), np.float64(1043.7122802734375))","(np.float64(789.96484375), np.float64(1020.5247192382812))","(np.float64(824.6378784179688), np.float64(1059.5867919921875))","(np.float64(805.9791259765625), np.float64(1042.9049072265625))","(np.float64(804.5480346679688), np.float64(1081.9315185546875))"
5,2,labels_v001_142_09_07_21_ Cage 3_ 6_Virgin_sub0_402_415_succesful_analysis,"(np.float64(797.8006591796875), np.float64(960.1197509765625))","(np.float64(858.473876953125), np.float64(1006.8672485351562))","(np.float64(790.0263671875), np.float64(972.2853393554688))","(np.float64(856.459716796875), np.float64(1022.74267578125))","(np.float64(787.8118286132812), np.float64(996.3451538085938))","(np.float64(844.2368774414062), np.float64(1040.9766845703125))","(np.float64(795.5755615234375), np.float64(1020.378173828125))","(np.float64(828.343505859375), np.float64(1056.790771484375))","(np.float64(809.7686767578125), np.float64(1042.697021484375))","(np.float64(808.6508178710938), np.float64(1080.701904296875))"
6,2,labels_v001_142_09_07_21_ Cage 3_ 6_Virgin_sub0_402_415_succesful_analysis,"(np.float64(818.9285888671875), np.float64(960.0642700195312))","(np.float64(883.4130249023438), np.float64(999.9808349609375))","(np.float64(812.6510009765625), np.float64(972.2843627929688))","(np.float64(883.1369018554688), np.float64(1015.8404541015625))","(np.float64(810.9034423828125), np.float64(996.329345703125))","(np.float64(873.0770263671875), np.float64(1034.3106689453125))","(np.float64(820.5670166015625), np.float64(1020.2998657226562))","(np.float64(859.1265258789062), np.float64(1052.057861328125))","(np.float64(836.5897216796875), np.float64(1040.639404296875))","(np.float64(841.368408203125), np.float64(1075.9649658203125))"
7,2,labels_v001_142_09_07_21_ Cage 3_ 6_Virgin_sub0_402_415_succesful_analysis,"(np.float64(829.8739013671875), np.float64(960.3145141601562))","(np.float64(886.8897705078125), np.float64(1011.289794921875))","(np.float64(823.7742919921875), np.float64(972.8080444335938))","(np.float64(881.2774047851562), np.float64(1026.94873046875))","(np.float64(823.6544799804688), np.float64(996.6901245117188))","(np.float64(867.1561889648438), np.float64(1042.8804931640625))","(np.float64(829.9913940429688), np.float64(1020.5031127929688))","(np.float64(850.829833984375), np.float64(1052.919921875))","(np.float64(851.6114501953125), np.float64(1040.5423583984375))","(np.float64(822.7643432617188), np.float64(1073.2918701171875))"
8,2,labels_v001_142_09_07_21_ Cage 3_ 6_Virgin_sub0_402_415_succesful_analysis,"(np.float64(821.5823974609375), np.float64(960.1990356445312))","(np.float64(877.4007568359375), np.float64(1009.3449096679688))","(np.float64(815.3709716796875), np.float64(972.6425170898438))","(np.float64(873.2203369140625), np.float64(1023.5604248046875))","(np.float64(813.5990600585938), np.float64(996.4732055664062))","(np.float64(857.5347900390625), np.float64(1039.51025390625))","(np.float64(821.4366455078125), np.float64(1020.37255859375))","(np.float64(841.2620849609375), np.float64(1051.163818359375))","(np.float64(841.4132080078125), np.float64(1038.787841796875))","(np.float64(813.3572387695312), np.float64(1073.1461181640625))"
9,2,labels_v001_142_09_07_21_ Cage 3_ 6_Virgin_sub0_402_415_succesful_analysis,"(np.float64(800.7415161132812), np.float64(960.5322265625))","(np.float64(852.798583984375), np.float64(1008.3251953125))","(np.float64(792.785400390625), np.float64(972.6610107421875))","(np.float64(847.1375732421875), np.float64(1022.64404296875))","(np.float64(790.7249755859375), np.float64(995.151611328125))","(np.float64(831.0860595703125), np.float64(1038.427978515625))","(np.float64(796.5443115234375), np.float64(1020.765625))","(np.float64(812.8064575195312), np.float64(1046.7420654296875))","(np.float64(814.6036376953125), np.float64(1040.8779296875))","(np.float64(784.982421875), np.float64(1070.516845703125))"
