frame,condition,filename,thorax_mosquito1,thorax_mosquito2,abdo1_mosquito1,abdo1_mosquito2,abdo2_mosquito1,abdo2_mosquito2,abdo3_mosquito1,abdo3_mosquito2,abdo4_mosquito1,abdo4_mosquito2
0,1,labels_v001_146_09_07_21_ Cage 4_ 1_Mated_sub2_274_284_analysis,"(np.float64(1017.2841796875), np.float64(972.4314575195312))","(np.float64(1108.67919921875), np.float64(991.936767578125))","(np.float64(1007.4239501953125), np.float64(982.70166015625))","(np.float64(1111.1614990234375), np.float64(1006.1444091796875))","(np.float64(999.3292236328125), np.float64(1004.2849731445312))","(np.float64(1114.8524169921875), np.float64(1028.0994873046875))","(np.float64(997.2855224609375), np.float64(1032.3543701171875))","(np.float64(1116.806640625), np.float64(1051.720703125))","(np.float64(1005.27099609375), np.float64(1066.240478515625))","(np.float64(1127.1016845703125), np.float64(1079.9990234375))"
1,1,labels_v001_146_09_07_21_ Cage 4_ 1_Mated_sub2_274_284_analysis,"(np.float64(1019.2334594726562), np.float64(972.2877807617188))","(np.float64(1109.448974609375), np.float64(999.7952270507812))","(np.float64(1010.9312744140625), np.float64(982.6439208984375))","(np.float64(1113.27685546875), np.float64(1015.3350219726562))","(np.float64(1002.8197631835938), np.float64(1004.2083740234375))","(np.float64(1113.463623046875), np.float64(1035.5889892578125))","(np.float64(1000.9793090820312), np.float64(1032.282470703125))","(np.float64(1113.275146484375), np.float64(1057.5548095703125))","(np.float64(1007.332763671875), np.float64(1064.5303955078125))","(np.float64(1115.4580078125), np.float64(1087.7947998046875))"
2,1,labels_v001_146_09_07_21_ Cage 4_ 1_Mated_sub2_274_284_analysis,"(np.float64(1026.29443359375), np.float64(971.2642822265625))","(np.float64(1102.7818603515625), np.float64(1052.234130859375))","(np.float64(1018.3247680664062), np.float64(983.4618530273438))","(np.float64(1096.834228515625), np.float64(1066.2381591796875))","(np.float64(1010.4788818359375), np.float64(1003.0791625976562))","(np.float64(1087.019287109375), np.float64(1086.2626953125))","(np.float64(1008.25927734375), np.float64(1029.163818359375))","(np.float64(1076.8890380859375), np.float64(1107.937255859375))","(np.float64(1014.568359375), np.float64(1065.2718505859375))","(np.float64(1068.90576171875), np.float64(1134.02392578125))"
3,1,labels_v001_146_09_07_21_ Cage 4_ 1_Mated_sub2_274_284_analysis,"(np.float64(1016.6414794921875), np.float64(972.2055053710938))","(np.float64(1100.3656005859375), np.float64(1025.647216796875))","(np.float64(1006.78515625), np.float64(983.9368896484375))","(np.float64(1098.12841796875), np.float64(1039.976318359375))","(np.float64(998.6860961914062), np.float64(1003.9555053710938))","(np.float64(1092.36865234375), np.float64(1061.788818359375))","(np.float64(996.5155029296875), np.float64(1031.9295654296875))","(np.float64(1088.069580078125), np.float64(1085.512451171875))","(np.float64(1002.5513916015625), np.float64(1064.1217041015625))","(np.float64(1086.2196044921875), np.float64(1117.4765625))"
4,1,labels_v001_146_09_07_21_ Cage 4_ 1_Mated_sub2_274_284_analysis,"(np.float64(1011.7711181640625), np.float64(970.8970336914062))","(np.float64(1096.4921875), np.float64(1028.0242919921875))","(np.float64(1001.9775390625), np.float64(981.2509765625))","(np.float64(1092.7515869140625), np.float64(1042.01904296875))","(np.float64(995.44384765625), np.float64(1001.0979614257812))","(np.float64(1090.3096923828125), np.float64(1062.5069580078125))","(np.float64(991.6141357421875), np.float64(1028.89111328125))","(np.float64(1084.356689453125), np.float64(1087.9993896484375))","(np.float64(995.8712768554688), np.float64(1063.1025390625))","(np.float64(1084.62158203125), np.float64(1117.94921875))"
5,1,labels_v001_146_09_07_21_ Cage 4_ 1_Mated_sub2_274_284_analysis,"(np.float64(1014.2684936523438), np.float64(971.9915771484375))","(np.float64(1104.3642578125), np.float64(1015.9240112304688))","(np.float64(1005.9517822265625), np.float64(983.8299560546875))","(np.float64(1104.58203125), np.float64(1031.7896728515625))","(np.float64(997.9129638671875), np.float64(1003.8128051757812))","(np.float64(1104.4967041015625), np.float64(1052.036376953125))","(np.float64(995.8418579101562), np.float64(1031.7894287109375))","(np.float64(1104.244873046875), np.float64(1075.817626953125))","(np.float64(1001.7200317382812), np.float64(1064.1156005859375))","(np.float64(1108.5582275390625), np.float64(1106.1680908203125))"
6,1,labels_v001_146_09_07_21_ Cage 4_ 1_Mated_sub2_274_284_analysis,"(np.float64(1019.5491333007812), np.float64(972.5291748046875))","(np.float64(1111.0074462890625), np.float64(1009.5245361328125))","(np.float64(1011.2957763671875), np.float64(984.3344116210938))","(np.float64(1112.9931640625), np.float64(1025.390380859375))","(np.float64(1003.2515258789062), np.float64(1004.4185791015625))","(np.float64(1112.9632568359375), np.float64(1047.230224609375))","(np.float64(1001.4321899414062), np.float64(1032.3670654296875))","(np.float64(1112.748291015625), np.float64(1069.2901611328125))","(np.float64(1009.407958984375), np.float64(1064.65966796875))","(np.float64(1118.85693359375), np.float64(1099.510986328125))"
7,1,labels_v001_146_09_07_21_ Cage 4_ 1_Mated_sub2_274_284_analysis,"(np.float64(1020.47998046875), np.float64(971.2551879882812))","(np.float64(1108.2344970703125), np.float64(1027.7633056640625))","(np.float64(1014.0151977539062), np.float64(983.3551635742188))","(np.float64(1106.314697265625), np.float64(1041.9080810546875))","(np.float64(1005.991943359375), np.float64(1001.5880126953125))","(np.float64(1100.6361083984375), np.float64(1063.640380859375))","(np.float64(1004.1260986328125), np.float64(1029.3287353515625))","(np.float64(1096.324462890625), np.float64(1085.6453857421875))","(np.float64(1009.9994506835938), np.float64(1065.4818115234375))","(np.float64(1092.400390625), np.float64(1117.6690673828125))"
8,1,labels_v001_146_09_07_21_ Cage 4_ 1_Mated_sub2_274_284_analysis,"(np.float64(1019.6345825195312), np.float64(971.8494873046875))","(np.float64(1108.9010009765625), np.float64(1023.8763427734375))","(np.float64(1011.4901123046875), np.float64(983.76513671875))","(np.float64(1107.2830810546875), np.float64(1037.89697265625))","(np.float64(1003.3839111328125), np.float64(1003.700927734375))","(np.float64(1104.920654296875), np.float64(1059.918212890625))","(np.float64(1001.3673095703125), np.float64(1031.697509765625))","(np.float64(1100.89013671875), np.float64(1083.85205078125))","(np.float64(1009.27001953125), np.float64(1065.7264404296875))","(np.float64(1103.248046875), np.float64(1114.1103515625))"
9,1,labels_v001_146_09_07_21_ Cage 4_ 1_Mated_sub2_274_284_analysis,"(np.float64(1018.728271484375), np.float64(975.400390625))","(np.float64(1111.332763671875), np.float64(1013.133544921875))","(np.float64(1010.5595092773438), np.float64(985.4111938476562))","(np.float64(1112.96435546875), np.float64(1028.927490234375))","(np.float64(1000.8679809570312), np.float64(1005.7317504882812))","(np.float64(1111.0701904296875), np.float64(1049.32177734375))","(np.float64(1000.5482788085938), np.float64(1035.5450439453125))","(np.float64(1108.90869140625), np.float64(1072.9703369140625))","(np.float64(1008.70556640625), np.float64(1065.8714599609375))","(np.float64(1113.09912109375), np.float64(1105.0345458984375))"
