frame,condition,filename,thorax_mosquito1,thorax_mosquito2,abdo1_mosquito1,abdo1_mosquito2,abdo2_mosquito1,abdo2_mosquito2,abdo3_mosquito1,abdo3_mosquito2,abdo4_mosquito1,abdo4_mosquito2
0,2,labels_v001_153_09_13_21_ Cage Wo_ 1_Virgin_sub0_269_287_succesful_analysis,"(np.float64(924.5445556640625), np.float64(899.8287963867188))","(np.float64(1008.5648193359375), np.float64(915.6113891601562))","(np.float64(914.8617553710938), np.float64(911.81787109375))","(np.float64(1012.7640380859375), np.float64(929.6441650390625))","(np.float64(912.387939453125), np.float64(933.961181640625))","(np.float64(1012.8287353515625), np.float64(951.653564453125))","(np.float64(916.5673828125), np.float64(959.86865234375))","(np.float64(1012.4877319335938), np.float64(975.575439453125))","(np.float64(926.764892578125), np.float64(991.9225463867188))","(np.float64(1014.8042602539062), np.float64(1003.633056640625))"
1,2,labels_v001_153_09_13_21_ Cage Wo_ 1_Virgin_sub0_269_287_succesful_analysis,"(np.float64(924.19580078125), np.float64(899.8734130859375))","(np.float64(1008.1262817382812), np.float64(915.8320922851562))","(np.float64(914.4676513671875), np.float64(910.3732299804688))","(np.float64(1012.3524169921875), np.float64(929.876953125))","(np.float64(910.5997314453125), np.float64(933.9983520507812))","(np.float64(1012.4439086914062), np.float64(951.84130859375))","(np.float64(916.2645874023438), np.float64(959.9308471679688))","(np.float64(1012.08935546875), np.float64(975.8233642578125))","(np.float64(926.3626708984375), np.float64(991.9068603515625))","(np.float64(1014.30224609375), np.float64(1003.8366088867188))"
2,2,labels_v001_153_09_13_21_ Cage Wo_ 1_Virgin_sub0_269_287_succesful_analysis,"(np.float64(922.3351440429688), np.float64(899.9215698242188))","(np.float64(1007.822021484375), np.float64(915.8001098632812))","(np.float64(914.1192626953125), np.float64(910.4071044921875))","(np.float64(1012.047119140625), np.float64(929.8514404296875))","(np.float64(910.2823486328125), np.float64(934.05224609375))","(np.float64(1012.11767578125), np.float64(951.7971801757812))","(np.float64(915.9983520507812), np.float64(960.0013427734375))","(np.float64(1011.8661499023438), np.float64(975.7818603515625))","(np.float64(926.0277709960938), np.float64(992.06396484375))","(np.float64(1014.0955810546875), np.float64(1003.8134155273438))"
3,2,labels_v001_153_09_13_21_ Cage Wo_ 1_Virgin_sub0_269_287_succesful_analysis,"(np.float64(924.4793701171875), np.float64(899.8098754882812))","(np.float64(1008.7325439453125), np.float64(915.4496459960938))","(np.float64(914.753173828125), np.float64(910.2877807617188))","(np.float64(1012.935791015625), np.float64(929.50634765625))","(np.float64(912.3118896484375), np.float64(933.9326782226562))","(np.float64(1013.0152587890625), np.float64(951.4727172851562))","(np.float64(916.5055541992188), np.float64(959.859130859375))","(np.float64(1012.7173461914062), np.float64(975.443603515625))","(np.float64(926.6806640625), np.float64(991.9791259765625))","(np.float64(1016.6365966796875), np.float64(1003.4042358398438))"
4,2,labels_v001_153_09_13_21_ Cage Wo_ 1_Virgin_sub0_269_287_succesful_analysis,"(np.float64(924.5596923828125), np.float64(899.69970703125))","(np.float64(1008.865966796875), np.float64(915.3462524414062))","(np.float64(914.830322265625), np.float64(910.1917114257812))","(np.float64(1013.0796508789062), np.float64(929.3995971679688))","(np.float64(912.391845703125), np.float64(933.8245849609375))","(np.float64(1013.1910400390625), np.float64(951.3893432617188))","(np.float64(916.5728149414062), np.float64(959.738037109375))","(np.float64(1012.8797607421875), np.float64(975.35595703125))","(np.float64(926.7788696289062), np.float64(991.8001708984375))","(np.float64(1016.8280029296875), np.float64(1003.3408813476562))"
5,2,labels_v001_153_09_13_21_ Cage Wo_ 1_Virgin_sub0_269_287_succesful_analysis,"(np.float64(924.1123046875), np.float64(899.7235717773438))","(np.float64(1008.2139282226562), np.float64(915.6863403320312))","(np.float64(914.3212890625), np.float64(910.1508178710938))","(np.float64(1012.357177734375), np.float64(929.7742919921875))","(np.float64(910.4638061523438), np.float64(933.813720703125))","(np.float64(1012.4676513671875), np.float64(951.719970703125))","(np.float64(916.1531372070312), np.float64(959.7841186523438))","(np.float64(1012.26416015625), np.float64(975.6890869140625))","(np.float64(926.2313232421875), np.float64(991.89306640625))","(np.float64(1016.1372680664062), np.float64(1003.6759033203125))"
6,2,labels_v001_153_09_13_21_ Cage Wo_ 1_Virgin_sub0_269_287_succesful_analysis,"(np.float64(924.0726318359375), np.float64(899.8390502929688))","(np.float64(1008.2947387695312), np.float64(915.652587890625))","(np.float64(914.3208618164062), np.float64(910.3240966796875))","(np.float64(1012.464111328125), np.float64(929.740966796875))","(np.float64(910.4714965820312), np.float64(933.9411010742188))","(np.float64(1012.5533447265625), np.float64(951.6749877929688))","(np.float64(916.1395874023438), np.float64(959.9039916992188))","(np.float64(1012.3626098632812), np.float64(975.6701049804688))","(np.float64(926.185302734375), np.float64(991.994384765625))","(np.float64(1016.26953125), np.float64(1003.6182861328125))"
7,2,labels_v001_153_09_13_21_ Cage Wo_ 1_Virgin_sub0_269_287_succesful_analysis,"(np.float64(924.2574462890625), np.float64(899.8218994140625))","(np.float64(1008.7264404296875), np.float64(915.4782104492188))","(np.float64(914.5214233398438), np.float64(910.3115844726562))","(np.float64(1012.8347778320312), np.float64(929.593994140625))","(np.float64(910.6475219726562), np.float64(933.9271850585938))","(np.float64(1012.9727783203125), np.float64(951.5073852539062))","(np.float64(916.28759765625), np.float64(959.8779296875))","(np.float64(1012.7655029296875), np.float64(975.484130859375))","(np.float64(926.4339599609375), np.float64(991.9535522460938))","(np.float64(1016.7464599609375), np.float64(1003.3623046875))"
8,2,labels_v001_153_09_13_21_ Cage Wo_ 1_Virgin_sub0_269_287_succesful_analysis,"(np.float64(924.4262084960938), np.float64(899.88525390625))","(np.float64(1009.0348510742188), np.float64(915.5475463867188))","(np.float64(914.6991577148438), np.float64(910.3840942382812))","(np.float64(1013.20556640625), np.float64(929.6363525390625))","(np.float64(910.8389892578125), np.float64(933.9861450195312))","(np.float64(1013.352783203125), np.float64(951.5853881835938))","(np.float64(916.4672241210938), np.float64(959.934814453125))","(np.float64(1013.1655883789062), np.float64(975.5557861328125))","(np.float64(926.6439208984375), np.float64(992.0071411132812))","(np.float64(1017.294677734375), np.float64(1003.4074096679688))"
9,2,labels_v001_153_09_13_21_ Cage Wo_ 1_Virgin_sub0_269_287_succesful_analysis,"(np.float64(922.562255859375), np.float64(899.8447265625))","(np.float64(1007.349853515625), np.float64(915.4075317382812))","(np.float64(914.3670043945312), np.float64(910.3187866210938))","(np.float64(1013.0028686523438), np.float64(929.4485473632812))","(np.float64(910.5423583984375), np.float64(933.9417724609375))","(np.float64(1013.15478515625), np.float64(951.417236328125))","(np.float64(916.1752319335938), np.float64(959.934326171875))","(np.float64(1013.0321044921875), np.float64(975.3878173828125))","(np.float64(926.1792602539062), np.float64(992.024658203125))","(np.float64(1017.2113647460938), np.float64(1001.8228149414062))"
