frame,condition,filename,thorax_mosquito1,thorax_mosquito2,abdo1_mosquito1,abdo1_mosquito2,abdo2_mosquito1,abdo2_mosquito2,abdo3_mosquito1,abdo3_mosquito2,abdo4_mosquito1,abdo4_mosquito2
0,0,labels_v001_155_09_13_21_ Cage Wo_ 2_Virgin_sub1_236_254_analysis,"(np.float64(935.4231567382812), np.float64(889.6212158203125))","(np.float64(1007.44482421875), np.float64(928.8783569335938))","(np.float64(929.4406127929688), np.float64(903.5326538085938))","(np.float64(1007.4158325195312), np.float64(944.7723388671875))","(np.float64(925.4783325195312), np.float64(923.4937744140625))","(np.float64(1005.4132080078125), np.float64(965.0455322265625))","(np.float64(929.1749267578125), np.float64(949.353271484375))","(np.float64(1003.322265625), np.float64(988.6904296875))","(np.float64(941.3248291015625), np.float64(975.283935546875))","(np.float64(999.3546142578125), np.float64(1018.5693969726562))"
1,0,labels_v001_155_09_13_21_ Cage Wo_ 2_Virgin_sub1_236_254_analysis,"(np.float64(945.3871459960938), np.float64(884.982421875))","(np.float64(1017.0989990234375), np.float64(907.7237345377604))","(np.float64(939.7483520507812), np.float64(899.149169921875))","(np.float64(1021.0388590494791), np.float64(922.18115234375))","(np.float64(939.4273681640625), np.float64(919.0238037109375))","(np.float64(1024.3542073567708), np.float64(941.7185465494791))","(np.float64(943.368408203125), np.float64(944.6688842773438))","(np.float64(1027.5935872395833), np.float64(963.4590861002604))","(np.float64(949.5469970703125), np.float64(970.9390258789062))","(np.float64(1030.2561848958333), np.float64(988.821533203125))"
2,0,labels_v001_155_09_13_21_ Cage Wo_ 2_Virgin_sub1_236_254_analysis,"(np.float64(965.3553466796875), np.float64(884.2728881835938))","(np.float64(1026.753173828125), np.float64(886.5691121419271))","(np.float64(961.1749877929688), np.float64(898.4124145507812))","(np.float64(1034.661885579427), np.float64(899.5899658203125))","(np.float64(959.5761108398438), np.float64(918.5064697265625))","(np.float64(1043.2952067057292), np.float64(918.3915608723959))","(np.float64(965.2886962890625), np.float64(944.1141357421875))","(np.float64(1051.8649088541667), np.float64(938.2277425130209))","(np.float64(975.4532470703125), np.float64(968.5791015625))","(np.float64(1061.1577555338542), np.float64(959.0736694335938))"
3,0,labels_v001_155_09_13_21_ Cage Wo_ 2_Virgin_sub1_236_254_analysis,"(np.float64(965.1829833984375), np.float64(888.1019897460938))","(np.float64(1036.4073486328125), np.float64(865.4144897460938))","(np.float64(960.8078002929688), np.float64(902.0587158203125))","(np.float64(1048.284912109375), np.float64(876.998779296875))","(np.float64(959.1651611328125), np.float64(922.3414306640625))","(np.float64(1062.2362060546875), np.float64(895.0645751953125))","(np.float64(964.8516845703125), np.float64(948.0237426757812))","(np.float64(1076.13623046875), np.float64(912.9963989257812))","(np.float64(975.0039672851562), np.float64(974.1524658203125))","(np.float64(1092.059326171875), np.float64(929.3258056640625))"
4,0,labels_v001_155_09_13_21_ Cage Wo_ 2_Virgin_sub1_236_254_analysis,"(np.float64(948.2041015625), np.float64(888.2943725585938))","(np.float64(1029.9407958984375), np.float64(910.5587768554688))","(np.float64(942.0189819335938), np.float64(902.115966796875))","(np.float64(1034.185791015625), np.float64(924.7647705078125))","(np.float64(940.2197875976562), np.float64(922.1326293945312))","(np.float64(1038.078125), np.float64(946.435791015625))","(np.float64(944.2445678710938), np.float64(948.0135498046875))","(np.float64(1043.78369140625), np.float64(967.0422973632812))","(np.float64(952.508056640625), np.float64(976.1746215820312))","(np.float64(1051.893798828125), np.float64(992.52880859375))"
5,0,labels_v001_155_09_13_21_ Cage Wo_ 2_Virgin_sub1_236_254_analysis,"(np.float64(940.754638671875), np.float64(888.830322265625))","(np.float64(1005.2418823242188), np.float64(902.6176147460938))","(np.float64(934.5830688476562), np.float64(901.0421142578125))","(np.float64(1012.799560546875), np.float64(914.8944702148438))","(np.float64(932.7152709960938), np.float64(922.6585083007812))","(np.float64(1019.1730346679688), np.float64(934.6212768554688))","(np.float64(936.7017211914062), np.float64(948.7110595703125))","(np.float64(1028.831787109375), np.float64(955.177001953125))","(np.float64(946.8842163085938), np.float64(973.1265869140625))","(np.float64(1040.792236328125), np.float64(982.827392578125))"
6,0,labels_v001_155_09_13_21_ Cage Wo_ 2_Virgin_sub1_236_254_analysis,"(np.float64(934.9392700195312), np.float64(882.0123901367188))","(np.float64(1009.3440856933594), np.float64(888.1710815429688))","(np.float64(929.00830078125), np.float64(896.112548828125))","(np.float64(1016.9952392578125), np.float64(901.2649536132812))","(np.float64(925.2803344726562), np.float64(916.0711669921875))","(np.float64(1025.2413635253906), np.float64(920.034912109375))","(np.float64(928.9561157226562), np.float64(941.6978759765625))","(np.float64(1034.9453735351562), np.float64(940.3110046386719))","(np.float64(938.9859619140625), np.float64(967.6803588867188))","(np.float64(1046.9381103515625), np.float64(963.2583923339844))"
7,0,labels_v001_155_09_13_21_ Cage Wo_ 2_Virgin_sub1_236_254_analysis,"(np.float64(959.6495361328125), np.float64(885.400146484375))","(np.float64(1013.4462890625), np.float64(873.7245483398438))","(np.float64(953.7755737304688), np.float64(899.5126342773438))","(np.float64(1021.19091796875), np.float64(887.6354370117188))","(np.float64(953.6280517578125), np.float64(919.5748291015625))","(np.float64(1031.3096923828125), np.float64(905.4485473632812))","(np.float64(959.5889892578125), np.float64(945.1254272460938))","(np.float64(1041.0589599609375), np.float64(925.4450073242188))","(np.float64(971.6378173828125), np.float64(971.2943725585938))","(np.float64(1053.083984375), np.float64(943.6893920898438))"
8,0,labels_v001_155_09_13_21_ Cage Wo_ 2_Virgin_sub1_236_254_analysis,"(np.float64(954.1275024414062), np.float64(887.8244018554688))","(np.float64(1012.0844116210938), np.float64(871.1435546875))","(np.float64(949.9058837890625), np.float64(901.8927001953125))","(np.float64(1018.376220703125), np.float64(883.5460205078125))","(np.float64(949.8128051757812), np.float64(922.0420532226562))","(np.float64(1032.227783203125), np.float64(901.3026123046875))","(np.float64(955.7600708007812), np.float64(947.7703857421875))","(np.float64(1044.044189453125), np.float64(921.18017578125))","(np.float64(965.9884033203125), np.float64(972.0908203125))","(np.float64(1056.389404296875), np.float64(937.3553466796875))"
9,0,labels_v001_155_09_13_21_ Cage Wo_ 2_Virgin_sub1_236_254_analysis,"(np.float64(932.6943359375), np.float64(888.1559448242188))","(np.float64(989.2625732421875), np.float64(872.0557861328125))","(np.float64(926.5923461914062), np.float64(902.0401611328125))","(np.float64(995.4598388671875), np.float64(886.0404052734375))","(np.float64(924.5006713867188), np.float64(922.0580444335938))","(np.float64(1007.6270141601562), np.float64(903.766357421875))","(np.float64(928.3451538085938), np.float64(947.9638061523438))","(np.float64(1019.3129272460938), np.float64(923.7789916992188))","(np.float64(938.5859375), np.float64(974.1534423828125))","(np.float64(1033.199462890625), np.float64(939.8839721679688))"
