frame,condition,filename,thorax_mosquito1,thorax_mosquito2,abdo1_mosquito1,abdo1_mosquito2,abdo2_mosquito1,abdo2_mosquito2,abdo3_mosquito1,abdo3_mosquito2,abdo4_mosquito1,abdo4_mosquito2
0,1,labels_v001_166_09_13_21_ Cage Yesh_ 2_Mated_sub7_196_199_analysis,"(np.float64(1028.881591796875), np.float64(976.4930419921875))","(np.float64(1113.0482177734375), np.float64(1012.1954345703125))","(np.float64(1020.9144287109375), np.float64(988.5261840820312))","(np.float64(1115.256591796875), np.float64(1026.566650390625))","(np.float64(1016.6949462890625), np.float64(1008.891357421875))","(np.float64(1117.236083984375), np.float64(1048.5025634765625))","(np.float64(1020.73583984375), np.float64(1036.441162109375))","(np.float64(1121.127685546875), np.float64(1072.151123046875))","(np.float64(1030.9876708984375), np.float64(1068.708740234375))","(np.float64(1125.5439453125), np.float64(1106.2908935546875))"
1,1,labels_v001_166_09_13_21_ Cage Yesh_ 2_Mated_sub7_196_199_analysis,"(np.float64(1028.9476318359375), np.float64(977.3303833007812))","(np.float64(1109.3460693359375), np.float64(988.9149169921875))","(np.float64(1020.9942626953125), np.float64(989.3756103515625))","(np.float64(1117.05419921875), np.float64(1002.8424682617188))","(np.float64(1016.7230224609375), np.float64(1009.7294311523438))","(np.float64(1123.33349609375), np.float64(1022.8626098632812))","(np.float64(1020.8397216796875), np.float64(1037.3148193359375))","(np.float64(1133.054443359375), np.float64(1044.622314453125))","(np.float64(1030.6240234375), np.float64(1069.4464111328125))","(np.float64(1149.0933837890625), np.float64(1076.688720703125))"
2,1,labels_v001_166_09_13_21_ Cage Yesh_ 2_Mated_sub7_196_199_analysis,"(np.float64(1027.6378173828125), np.float64(979.74169921875))","(np.float64(1102.8316650390625), np.float64(986.4332885742188))","(np.float64(1019.5341796875), np.float64(990.1123657226562))","(np.float64(1107.01220703125), np.float64(1000.5502319335938))","(np.float64(1013.8767700195312), np.float64(1012.1066284179688))","(np.float64(1114.6435546875), np.float64(1022.060302734375))","(np.float64(1019.5014038085938), np.float64(1039.7689208984375))","(np.float64(1124.72265625), np.float64(1044.1009521484375))","(np.float64(1027.8349609375), np.float64(1070.2220458984375))","(np.float64(1142.73388671875), np.float64(1078.1697998046875))"
3,1,labels_v001_166_09_13_21_ Cage Yesh_ 2_Mated_sub7_196_199_analysis,"(np.float64(1025.6016845703125), np.float64(977.33984375))","(np.float64(1101.359619140625), np.float64(985.5232543945312))","(np.float64(1017.588623046875), np.float64(989.292724609375))","(np.float64(1105.5830078125), np.float64(999.7330932617188))","(np.float64(1013.3341674804688), np.float64(1009.7431640625))","(np.float64(1111.736328125), np.float64(1019.6934814453125))","(np.float64(1017.2935791015625), np.float64(1037.34228515625))","(np.float64(1121.48974609375), np.float64(1041.541748046875))","(np.float64(1027.30029296875), np.float64(1069.279541015625))","(np.float64(1139.659912109375), np.float64(1077.6943359375))"
4,1,labels_v001_166_09_13_21_ Cage Yesh_ 2_Mated_sub7_196_199_analysis,"(np.float64(1028.4659423828125), np.float64(976.9196166992188))","(np.float64(1102.1405029296875), np.float64(985.0145263671875))","(np.float64(1020.4396362304688), np.float64(988.8355102539062))","(np.float64(1106.3876953125), np.float64(999.1600341796875))","(np.float64(1016.2661743164062), np.float64(1009.3525390625))","(np.float64(1114.060302734375), np.float64(1019.20166015625))","(np.float64(1020.411865234375), np.float64(1036.9276123046875))","(np.float64(1124.0496826171875), np.float64(1041.012451171875))","(np.float64(1030.3037109375), np.float64(1067.3623046875))","(np.float64(1142.13525390625), np.float64(1077.0794677734375))"
5,1,labels_v001_166_09_13_21_ Cage Yesh_ 2_Mated_sub7_196_199_analysis,"(np.float64(1026.6412353515625), np.float64(979.4617309570312))","(np.float64(1104.75537109375), np.float64(994.0075073242188))","(np.float64(1018.6808471679688), np.float64(991.3540649414062))","(np.float64(1108.9000244140625), np.float64(1008.1688842773438))","(np.float64(1012.7969970703125), np.float64(1011.7797241210938))","(np.float64(1114.878662109375), np.float64(1028.2877197265625))","(np.float64(1016.5028076171875), np.float64(1039.46533203125))","(np.float64(1124.66357421875), np.float64(1051.891357421875))","(np.float64(1024.788818359375), np.float64(1069.7689208984375))","(np.float64(1142.6500244140625), np.float64(1086.295166015625))"
6,1,labels_v001_166_09_13_21_ Cage Yesh_ 2_Mated_sub7_196_199_analysis,"(np.float64(1017.3014526367188), np.float64(980.4349975585938))","(np.float64(1093.9071044921875), np.float64(1020.400390625))","(np.float64(1009.2705078125), np.float64(992.34716796875))","(np.float64(1095.7479248046875), np.float64(1034.505615234375))","(np.float64(1003.2789306640625), np.float64(1012.70458984375))","(np.float64(1095.9193115234375), np.float64(1056.31689453125))","(np.float64(1005.2493286132812), np.float64(1040.332275390625))","(np.float64(1099.7008056640625), np.float64(1080.382568359375))","(np.float64(1015.0806884765625), np.float64(1070.828125))","(np.float64(1105.6453857421875), np.float64(1116.766845703125))"
7,1,labels_v001_166_09_13_21_ Cage Yesh_ 2_Mated_sub7_196_199_analysis,"(np.float64(1026.2138671875), np.float64(979.631103515625))","(np.float64(1103.17333984375), np.float64(1001.2880249023438))","(np.float64(1018.0906982421875), np.float64(990.0112915039062))","(np.float64(1107.089111328125), np.float64(1017.0371704101562))","(np.float64(1012.3585815429688), np.float64(1011.989501953125))","(np.float64(1110.984130859375), np.float64(1037.3272705078125))","(np.float64(1016.1929931640625), np.float64(1039.646728515625))","(np.float64(1117.078857421875), np.float64(1060.93896484375))","(np.float64(1024.34619140625), np.float64(1071.8466796875))","(np.float64(1130.9873046875), np.float64(1097.24462890625))"
8,1,labels_v001_166_09_13_21_ Cage Yesh_ 2_Mated_sub7_196_199_analysis,"(np.float64(1025.6280517578125), np.float64(976.8422241210938))","(np.float64(1103.1917724609375), np.float64(999.405029296875))","(np.float64(1017.6156616210938), np.float64(988.8974609375))","(np.float64(1107.2274169921875), np.float64(1013.6201171875))","(np.float64(1011.9077758789062), np.float64(1009.2510986328125))","(np.float64(1109.519775390625), np.float64(1035.388916015625))","(np.float64(1015.7118530273438), np.float64(1036.7913818359375))","(np.float64(1117.216552734375), np.float64(1057.36572265625))","(np.float64(1023.948974609375), np.float64(1069.1561279296875))","(np.float64(1131.4656982421875), np.float64(1093.6756591796875))"
9,1,labels_v001_166_09_13_21_ Cage Yesh_ 2_Mated_sub7_196_199_analysis,"(np.float64(1015.343017578125), np.float64(976.8516845703125))","(np.float64(1091.354736328125), np.float64(995.1246948242188))","(np.float64(1007.316162109375), np.float64(988.8251953125))","(np.float64(1097.0616455078125), np.float64(1009.3383178710938))","(np.float64(1003.219970703125), np.float64(1009.2379150390625))","(np.float64(1101.22607421875), np.float64(1029.510498046875))","(np.float64(1007.3128051757812), np.float64(1036.8243408203125))","(np.float64(1109.12744140625), np.float64(1053.0517578125))","(np.float64(1013.436767578125), np.float64(1069.0244140625))","(np.float64(1125.140625), np.float64(1087.485107421875))"
