frame,condition,filename,thorax_mosquito1,thorax_mosquito2,abdo1_mosquito1,abdo1_mosquito2,abdo2_mosquito1,abdo2_mosquito2,abdo3_mosquito1,abdo3_mosquito2,abdo4_mosquito1,abdo4_mosquito2
0,1,labels_v001_183_09_14_21_ Cage Kal_ 3_Mated_sub2_367_378_analysis,"(np.float64(910.1782836914062), np.float64(907.267822265625))","(np.float64(975.155517578125), np.float64(921.0689697265625))","(np.float64(902.276123046875), np.float64(918.3106689453125))","(np.float64(985.2105102539062), np.float64(932.9273681640625))","(np.float64(900.493408203125), np.float64(942.3839111328125))","(np.float64(999.1234741210938), np.float64(949.1939086914062))","(np.float64(912.1531372070312), np.float64(968.2583618164062))","(np.float64(1013.2485961914062), np.float64(968.8795776367188))","(np.float64(932.2605590820312), np.float64(994.3357543945312))","(np.float64(1035.4559326171875), np.float64(985.313720703125))"
1,1,labels_v001_183_09_14_21_ Cage Kal_ 3_Mated_sub2_367_378_analysis,"(np.float64(904.3087158203125), np.float64(908.361328125))","(np.float64(967.506591796875), np.float64(922.06005859375))","(np.float64(896.4382934570312), np.float64(918.8230590820312))","(np.float64(977.6856689453125), np.float64(932.3578491210938))","(np.float64(894.4014892578125), np.float64(942.72900390625))","(np.float64(991.6829833984375), np.float64(949.9832763671875))","(np.float64(904.4061279296875), np.float64(968.6192626953125))","(np.float64(1007.6224975585938), np.float64(968.0933837890625))","(np.float64(924.5206298828125), np.float64(995.0774536132812))","(np.float64(1029.802734375), np.float64(984.2517700195312))"
2,1,labels_v001_183_09_14_21_ Cage Kal_ 3_Mated_sub2_367_378_analysis,"(np.float64(901.6007080078125), np.float64(908.4644775390625))","(np.float64(966.1508178710938), np.float64(924.38671875))","(np.float64(895.1922607421875), np.float64(918.9558715820312))","(np.float64(976.1144409179688), np.float64(936.3548583984375))","(np.float64(893.0552368164062), np.float64(942.7144775390625))","(np.float64(989.9589233398438), np.float64(952.576416015625))","(np.float64(901.1500854492188), np.float64(968.6636962890625))","(np.float64(1004.0457153320312), np.float64(972.3001708984375))","(np.float64(921.3951416015625), np.float64(996.6583251953125))","(np.float64(1026.30419921875), np.float64(990.4286499023438))"
3,1,labels_v001_183_09_14_21_ Cage Kal_ 3_Mated_sub2_367_378_analysis,"(np.float64(906.9722900390625), np.float64(908.2510375976562))","(np.float64(971.466552734375), np.float64(921.3565063476562))","(np.float64(900.5054321289062), np.float64(918.6614379882812))","(np.float64(981.4652099609375), np.float64(933.234375))","(np.float64(898.6049194335938), np.float64(942.6454467773438))","(np.float64(995.36962890625), np.float64(949.4334106445312))","(np.float64(908.6439819335938), np.float64(968.5435791015625))","(np.float64(1009.5057373046875), np.float64(969.1683959960938))","(np.float64(928.7986450195312), np.float64(994.6348876953125))","(np.float64(1031.6849365234375), np.float64(985.5950317382812))"
4,1,labels_v001_183_09_14_21_ Cage Kal_ 3_Mated_sub2_367_378_analysis,"(np.float64(911.7462158203125), np.float64(906.6842041015625))","(np.float64(975.7572021484375), np.float64(920.0499877929688))","(np.float64(905.3958740234375), np.float64(917.7235107421875))","(np.float64(985.7296142578125), np.float64(931.9278564453125))","(np.float64(903.7133178710938), np.float64(941.8539428710938))","(np.float64(999.69189453125), np.float64(948.12158203125))","(np.float64(915.5486450195312), np.float64(967.6906127929688))","(np.float64(1015.4658813476562), np.float64(967.9085693359375))","(np.float64(935.5625), np.float64(992.1068115234375))","(np.float64(1037.539794921875), np.float64(984.0796508789062))"
5,1,labels_v001_183_09_14_21_ Cage Kal_ 3_Mated_sub2_367_378_analysis,"(np.float64(911.4719848632812), np.float64(906.8928833007812))","(np.float64(975.349853515625), np.float64(919.3875122070312))","(np.float64(903.6692504882812), np.float64(917.9679565429688))","(np.float64(985.4364013671875), np.float64(929.93505859375))","(np.float64(903.36865234375), np.float64(942.1018676757812))","(np.float64(999.3246459960938), np.float64(947.43798828125))","(np.float64(915.27978515625), np.float64(967.8997802734375))","(np.float64(1013.4324951171875), np.float64(965.539794921875))","(np.float64(935.3261108398438), np.float64(992.353515625))","(np.float64(1037.4478759765625), np.float64(983.472900390625))"
6,1,labels_v001_183_09_14_21_ Cage Kal_ 3_Mated_sub2_367_378_analysis,"(np.float64(906.4637451171875), np.float64(908.1597290039062))","(np.float64(969.5970458984375), np.float64(921.4011840820312))","(np.float64(898.5623779296875), np.float64(918.5789794921875))","(np.float64(979.6231689453125), np.float64(933.28564453125))","(np.float64(898.0740966796875), np.float64(942.601806640625))","(np.float64(993.5968627929688), np.float64(949.3778076171875))","(np.float64(908.1888427734375), np.float64(968.4513549804688))","(np.float64(1009.2809448242188), np.float64(969.1190795898438))","(np.float64(928.3789672851562), np.float64(994.5864868164062))","(np.float64(1031.49169921875), np.float64(985.3682250976562))"
7,1,labels_v001_183_09_14_21_ Cage Kal_ 3_Mated_sub2_367_378_analysis,"(np.float64(905.0380249023438), np.float64(908.509521484375))","(np.float64(968.4932861328125), np.float64(923.5982666015625))","(np.float64(897.1632690429688), np.float64(918.9358520507812))","(np.float64(978.5018310546875), np.float64(935.4794921875))","(np.float64(895.0940551757812), np.float64(942.8693237304688))","(np.float64(992.5647583007812), np.float64(951.6531372070312))","(np.float64(904.962646484375), np.float64(968.7586059570312))","(np.float64(1008.2152709960938), np.float64(971.5450439453125))","(np.float64(925.2903442382812), np.float64(994.9642944335938))","(np.float64(1030.31005859375), np.float64(987.4990234375))"
8,1,labels_v001_183_09_14_21_ Cage Kal_ 3_Mated_sub2_367_378_analysis,"(np.float64(907.1556396484375), np.float64(907.8348388671875))","(np.float64(970.369873046875), np.float64(919.3367919921875))","(np.float64(900.6719970703125), np.float64(918.8346557617188))","(np.float64(982.0325317382812), np.float64(931.1172485351562))","(np.float64(898.7343139648438), np.float64(942.9329833984375))","(np.float64(996.1421508789062), np.float64(947.1510620117188))","(np.float64(908.7730712890625), np.float64(968.8223876953125))","(np.float64(1012.0298461914062), np.float64(965.13427734375))","(np.float64(929.1129760742188), np.float64(994.9013671875))","(np.float64(1034.2303466796875), np.float64(981.2496337890625))"
9,1,labels_v001_183_09_14_21_ Cage Kal_ 3_Mated_sub2_367_378_analysis,"(np.float64(917.0330200195312), np.float64(904.3489379882812))","(np.float64(982.0782470703125), np.float64(915.1608276367188))","(np.float64(910.6741333007812), np.float64(914.8827514648438))","(np.float64(992.2457275390625), np.float64(926.9075927734375))","(np.float64(908.9539184570312), np.float64(938.7969360351562))","(np.float64(1008.0169677734375), np.float64(942.9766235351562))","(np.float64(920.6839599609375), np.float64(964.5882568359375))","(np.float64(1024.001953125), np.float64(960.893310546875))","(np.float64(942.7446899414062), np.float64(990.6766357421875))","(np.float64(1046.3048095703125), np.float64(975.326171875))"
