frame,condition,filename,thorax_mosquito1,thorax_mosquito2,abdo1_mosquito1,abdo1_mosquito2,abdo2_mosquito1,abdo2_mosquito2,abdo3_mosquito1,abdo3_mosquito2,abdo4_mosquito1,abdo4_mosquito2
0,2,labels_v001_191_09_14_21_ Cage Tsom_ 1_Virgin_sub0_140_159_succesful_analysis,"(np.float64(831.6649169921875), np.float64(947.8677978515625))","(np.float64(882.0996704101562), np.float64(1020.9777221679688))","(np.float64(819.513916015625), np.float64(957.8502807617188))","(np.float64(880.0557861328125), np.float64(1036.80859375))","(np.float64(807.3875122070312), np.float64(975.53662109375))","(np.float64(875.8675537109375), np.float64(1057.0098876953125))","(np.float64(795.4978637695312), np.float64(999.4633178710938))","(np.float64(871.7686767578125), np.float64(1080.908203125))","(np.float64(781.5450439453125), np.float64(1027.866943359375))","(np.float64(867.8311767578125), np.float64(1112.8857421875))"
1,2,labels_v001_191_09_14_21_ Cage Tsom_ 1_Virgin_sub0_140_159_succesful_analysis,"(np.float64(845.278076171875), np.float64(951.5189208984375))","(np.float64(895.7376708984375), np.float64(1038.445068359375))","(np.float64(833.3063354492188), np.float64(961.7032470703125))","(np.float64(891.565185546875), np.float64(1052.5181884765625))","(np.float64(821.1619262695312), np.float64(979.5269775390625))","(np.float64(883.7638549804688), np.float64(1074.2215576171875))","(np.float64(809.2406616210938), np.float64(1003.5933837890625))","(np.float64(877.4555053710938), np.float64(1096.2357177734375))","(np.float64(797.3818359375), np.float64(1031.8275146484375))","(np.float64(871.7168579101562), np.float64(1126.4268798828125))"
2,2,labels_v001_191_09_14_21_ Cage Tsom_ 1_Virgin_sub0_140_159_succesful_analysis,"(np.float64(851.3795166015625), np.float64(954.8405151367188))","(np.float64(903.067626953125), np.float64(1036.1236572265625))","(np.float64(839.4375), np.float64(966.5676879882812))","(np.float64(901.1827392578125), np.float64(1050.3614501953125))","(np.float64(827.3969116210938), np.float64(982.9722900390625))","(np.float64(897.2645874023438), np.float64(1072.291748046875))","(np.float64(817.1646728515625), np.float64(1008.6729736328125))","(np.float64(893.1568603515625), np.float64(1096.0614013671875))","(np.float64(807.0057373046875), np.float64(1038.7337646484375))","(np.float64(891.481201171875), np.float64(1128.3453369140625))"
3,2,labels_v001_191_09_14_21_ Cage Tsom_ 1_Virgin_sub0_140_159_succesful_analysis,"(np.float64(837.123046875), np.float64(952.8702392578125))","(np.float64(886.4885864257812), np.float64(1048.4088134765625))","(np.float64(825.003662109375), np.float64(962.8553466796875))","(np.float64(882.5853271484375), np.float64(1062.3939208984375))","(np.float64(812.85498046875), np.float64(980.5819091796875))","(np.float64(876.2864990234375), np.float64(1082.5419921875))","(np.float64(801.0904541015625), np.float64(1004.7335815429688))","(np.float64(868.4264526367188), np.float64(1104.5401611328125))","(np.float64(790.8790283203125), np.float64(1036.746826171875))","(np.float64(858.5983276367188), np.float64(1138.6678466796875))"
4,2,labels_v001_191_09_14_21_ Cage Tsom_ 1_Virgin_sub0_140_159_succesful_analysis,"(np.float64(838.008056640625), np.float64(952.6729125976562))","(np.float64(888.1709594726562), np.float64(1038.2872314453125))","(np.float64(825.8375854492188), np.float64(962.7772827148438))","(np.float64(885.9981079101562), np.float64(1052.3226318359375))","(np.float64(813.9324340820312), np.float64(979.1378173828125))","(np.float64(880.2242431640625), np.float64(1073.953857421875))","(np.float64(803.7579956054688), np.float64(1004.8276977539062))","(np.float64(875.8268432617188), np.float64(1096.03466796875))","(np.float64(791.9444580078125), np.float64(1034.980712890625))","(np.float64(867.9636840820312), np.float64(1130.262451171875))"
5,2,labels_v001_191_09_14_21_ Cage Tsom_ 1_Virgin_sub0_140_159_succesful_analysis,"(np.float64(847.4225463867188), np.float64(950.8802490234375))","(np.float64(903.677001953125), np.float64(1004.444580078125))","(np.float64(835.2658081054688), np.float64(960.9378051757812))","(np.float64(905.7152099609375), np.float64(1018.657958984375))","(np.float64(823.3825073242188), np.float64(979.0070190429688))","(np.float64(909.2578735351562), np.float64(1040.4945068359375))","(np.float64(813.3419799804688), np.float64(1004.8009033203125))","(np.float64(911.333984375), np.float64(1064.4161376953125))","(np.float64(805.1435546875), np.float64(1034.768798828125))","(np.float64(917.6347045898438), np.float64(1096.3177490234375))"
6,2,labels_v001_191_09_14_21_ Cage Tsom_ 1_Virgin_sub0_140_159_succesful_analysis,"(np.float64(846.450927734375), np.float64(953.643798828125))","(np.float64(902.829345703125), np.float64(1020.1328735351562))","(np.float64(834.2256469726562), np.float64(963.7595825195312))","(np.float64(902.8533935546875), np.float64(1034.3839111328125))","(np.float64(822.2205200195312), np.float64(981.8228759765625))","(np.float64(902.663330078125), np.float64(1056.176025390625))","(np.float64(812.265869140625), np.float64(1007.7598876953125))","(np.float64(900.6264038085938), np.float64(1080.1005859375))","(np.float64(802.55224609375), np.float64(1036.082763671875))","(np.float64(902.72509765625), np.float64(1112.243408203125))"
7,2,labels_v001_191_09_14_21_ Cage Tsom_ 1_Virgin_sub0_140_159_succesful_analysis,"(np.float64(845.0048828125), np.float64(954.9050903320312))","(np.float64(898.4307250976562), np.float64(1027.215087890625))","(np.float64(831.2344360351562), np.float64(964.9193115234375))","(np.float64(898.1570434570312), np.float64(1041.356201171875))","(np.float64(819.0230712890625), np.float64(982.9815063476562))","(np.float64(894.3555908203125), np.float64(1063.1636962890625))","(np.float64(809.0277099609375), np.float64(1008.965576171875))","(np.float64(892.0362548828125), np.float64(1085.3616943359375))","(np.float64(799.350830078125), np.float64(1037.161376953125))","(np.float64(890.2684326171875), np.float64(1119.256591796875))"
8,2,labels_v001_191_09_14_21_ Cage Tsom_ 1_Virgin_sub0_140_159_succesful_analysis,"(np.float64(837.3103637695312), np.float64(953.52001953125))","(np.float64(890.2135009765625), np.float64(1022.7622680664062))","(np.float64(823.4324951171875), np.float64(963.5387573242188))","(np.float64(888.36279296875), np.float64(1036.827880859375))","(np.float64(811.2667846679688), np.float64(981.6981201171875))","(np.float64(884.1262817382812), np.float64(1057.1666259765625))","(np.float64(801.1581420898438), np.float64(1007.630615234375))","(np.float64(880.0494995117188), np.float64(1080.9593505859375))","(np.float64(791.4620971679688), np.float64(1035.77001953125))","(np.float64(878.0042114257812), np.float64(1114.955810546875))"
9,2,labels_v001_191_09_14_21_ Cage Tsom_ 1_Virgin_sub0_140_159_succesful_analysis,"(np.float64(838.8737182617188), np.float64(951.4108276367188))","(np.float64(894.1205444335938), np.float64(1033.2982177734375))","(np.float64(826.5692749023438), np.float64(961.2898559570312))","(np.float64(890.2769165039062), np.float64(1047.322265625))","(np.float64(814.5304565429688), np.float64(979.3817749023438))","(np.float64(878.1213989257812), np.float64(1063.547119140625))","(np.float64(804.4837036132812), np.float64(1005.1652221679688))","(np.float64(863.9293212890625), np.float64(1081.221923828125))","(np.float64(794.572509765625), np.float64(1033.513427734375))","(np.float64(842.030517578125), np.float64(1105.352294921875))"
