frame,condition,filename,thorax_mosquito1,thorax_mosquito2,abdo1_mosquito1,abdo1_mosquito2,abdo2_mosquito1,abdo2_mosquito2,abdo3_mosquito1,abdo3_mosquito2,abdo4_mosquito1,abdo4_mosquito2
0,0,labels_v001_194_09_14_21_ Cage Tsom_ 2_Virgin_sub3_389_402_analysis,"(np.float64(1236.8885498046875), np.float64(1028.203125))","(np.float64(1315.2574462890625), np.float64(1085.421630859375))","(np.float64(1224.7158203125), np.float64(1038.346435546875))","(np.float64(1315.6204833984375), np.float64(1101.1927490234375))","(np.float64(1214.859619140625), np.float64(1062.32568359375))","(np.float64(1309.636474609375), np.float64(1121.34521484375))","(np.float64(1208.7362060546875), np.float64(1088.28662109375))","(np.float64(1303.3555908203125), np.float64(1145.1318359375))","(np.float64(1204.65966796875), np.float64(1120.4744873046875))","(np.float64(1299.33984375), np.float64(1173.3646240234375))"
1,0,labels_v001_194_09_14_21_ Cage Tsom_ 2_Virgin_sub3_389_402_analysis,"(np.float64(1236.8291015625), np.float64(1027.9801025390625))","(np.float64(1313.8089599609375), np.float64(1085.3421630859375))","(np.float64(1224.687255859375), np.float64(1038.1309814453125))","(np.float64(1315.71435546875), np.float64(1101.132568359375))","(np.float64(1214.8553466796875), np.float64(1062.091064453125))","(np.float64(1309.7720947265625), np.float64(1121.288330078125))","(np.float64(1208.7255859375), np.float64(1088.0521240234375))","(np.float64(1303.4652099609375), np.float64(1145.0787353515625))","(np.float64(1204.625244140625), np.float64(1120.1956787109375))","(np.float64(1299.4356689453125), np.float64(1173.34228515625))"
2,0,labels_v001_194_09_14_21_ Cage Tsom_ 2_Virgin_sub3_389_402_analysis,"(np.float64(1236.7471923828125), np.float64(1027.8505859375))","(np.float64(1313.7398681640625), np.float64(1085.3177490234375))","(np.float64(1224.5986328125), np.float64(1037.99462890625))","(np.float64(1315.643798828125), np.float64(1101.0919189453125))","(np.float64(1214.783203125), np.float64(1061.980712890625))","(np.float64(1309.7288818359375), np.float64(1121.2620849609375))","(np.float64(1208.656982421875), np.float64(1087.9447021484375))","(np.float64(1303.42578125), np.float64(1145.0494384765625))","(np.float64(1204.551025390625), np.float64(1120.0040283203125))","(np.float64(1299.31982421875), np.float64(1173.3355712890625))"
3,0,labels_v001_194_09_14_21_ Cage Tsom_ 2_Virgin_sub3_389_402_analysis,"(np.float64(1236.7252197265625), np.float64(1027.8343505859375))","(np.float64(1313.6729736328125), np.float64(1085.2802734375))","(np.float64(1224.5750732421875), np.float64(1037.9759521484375))","(np.float64(1315.5853271484375), np.float64(1101.047119140625))","(np.float64(1214.756103515625), np.float64(1061.96533203125))","(np.float64(1309.6900634765625), np.float64(1121.2310791015625))","(np.float64(1208.633544921875), np.float64(1087.9267578125))","(np.float64(1303.3829345703125), np.float64(1145.0142822265625))","(np.float64(1204.53515625), np.float64(1119.989013671875))","(np.float64(1297.3817138671875), np.float64(1173.219482421875))"
4,0,labels_v001_194_09_14_21_ Cage Tsom_ 2_Virgin_sub3_389_402_analysis,"(np.float64(1236.7435302734375), np.float64(1027.9119873046875))","(np.float64(1315.014404296875), np.float64(1085.12255859375))","(np.float64(1224.5299072265625), np.float64(1037.9569091796875))","(np.float64(1315.304443359375), np.float64(1100.9091796875))","(np.float64(1214.708984375), np.float64(1061.9739990234375))","(np.float64(1309.2740478515625), np.float64(1121.0966796875))","(np.float64(1208.5968017578125), np.float64(1087.9281005859375))","(np.float64(1301.107666015625), np.float64(1144.8106689453125))","(np.float64(1204.504638671875), np.float64(1120.04736328125))","(np.float64(1295.343994140625), np.float64(1173.181640625))"
5,0,labels_v001_194_09_14_21_ Cage Tsom_ 2_Virgin_sub3_389_402_analysis,"(np.float64(1238.9078369140625), np.float64(1028.7325439453125))","(np.float64(1316.5450439453125), np.float64(1082.38818359375))","(np.float64(1224.895751953125), np.float64(1038.7366943359375))","(np.float64(1312.8109130859375), np.float64(1098.35693359375))","(np.float64(1214.997802734375), np.float64(1062.7911376953125))","(np.float64(1296.859130859375), np.float64(1114.1888427734375))","(np.float64(1208.7532958984375), np.float64(1088.78955078125))","(np.float64(1280.5694580078125), np.float64(1128.355712890625))","(np.float64(1204.7447509765625), np.float64(1121.04833984375))","(np.float64(1260.4530029296875), np.float64(1152.3494873046875))"
6,0,labels_v001_194_09_14_21_ Cage Tsom_ 2_Virgin_sub3_389_402_analysis,"(np.float64(1239.01318359375), np.float64(1028.672607421875))","(np.float64(1315.9366455078125), np.float64(1080.603515625))","(np.float64(1224.96875), np.float64(1038.674560546875))","(np.float64(1313.9212646484375), np.float64(1096.683349609375))","(np.float64(1215.0762939453125), np.float64(1062.70849609375))","(np.float64(1297.701416015625), np.float64(1110.8785400390625))","(np.float64(1208.8544921875), np.float64(1088.723876953125))","(np.float64(1279.694091796875), np.float64(1124.6158447265625))","(np.float64(1204.848876953125), np.float64(1120.9185791015625))","(np.float64(1255.8421630859375), np.float64(1148.757080078125))"
7,0,labels_v001_194_09_14_21_ Cage Tsom_ 2_Virgin_sub3_389_402_analysis,"(np.float64(1237.3194580078125), np.float64(1028.587158203125))","(np.float64(1315.43408203125), np.float64(1080.737548828125))","(np.float64(1224.982177734375), np.float64(1038.5958251953125))","(np.float64(1309.6397705078125), np.float64(1094.9766845703125))","(np.float64(1215.097900390625), np.float64(1062.6229248046875))","(np.float64(1291.6448974609375), np.float64(1110.417724609375))","(np.float64(1209.0352783203125), np.float64(1088.628662109375))","(np.float64(1271.5799560546875), np.float64(1120.5401611328125))","(np.float64(1205.0953369140625), np.float64(1120.767578125))","(np.float64(1245.6580810546875), np.float64(1140.8909912109375))"
8,0,labels_v001_194_09_14_21_ Cage Tsom_ 2_Virgin_sub3_389_402_analysis,"(np.float64(1237.556396484375), np.float64(1028.6259765625))","(np.float64(1311.8255615234375), np.float64(1083.548095703125))","(np.float64(1223.52197265625), np.float64(1037.1077880859375))","(np.float64(1304.2144775390625), np.float64(1097.6353759765625))","(np.float64(1215.2640380859375), np.float64(1062.7183837890625))","(np.float64(1285.9268798828125), np.float64(1109.7178955078125))","(np.float64(1209.2274169921875), np.float64(1088.7889404296875))","(np.float64(1263.9803466796875), np.float64(1119.3636474609375))","(np.float64(1205.0975341796875), np.float64(1120.82373046875))","(np.float64(1237.8057861328125), np.float64(1135.4959716796875))"
9,0,labels_v001_194_09_14_21_ Cage Tsom_ 2_Virgin_sub3_389_402_analysis,"(np.float64(1237.71923828125), np.float64(1028.5516357421875))","(np.float64(1310.5833740234375), np.float64(1084.6220703125))","(np.float64(1225.230712890625), np.float64(1038.5562744140625))","(np.float64(1302.71875), np.float64(1098.6107177734375))","(np.float64(1215.4024658203125), np.float64(1062.6295166015625))","(np.float64(1282.6690673828125), np.float64(1108.90478515625))","(np.float64(1209.384765625), np.float64(1088.7271728515625))","(np.float64(1260.60888671875), np.float64(1116.5675048828125))","(np.float64(1205.2525634765625), np.float64(1120.8123779296875))","(np.float64(1232.5125732421875), np.float64(1132.403564453125))"
