frame,condition,filename,thorax_mosquito1,thorax_mosquito2,abdo1_mosquito1,abdo1_mosquito2,abdo2_mosquito1,abdo2_mosquito2,abdo3_mosquito1,abdo3_mosquito2,abdo4_mosquito1,abdo4_mosquito2
0,0,labels_v001_196_09_14_21_ Cage Tsom_ 4_Virgin_sub0_224_243_analysis_succesful,"(np.float64(1013.954345703125), np.float64(940.8272705078125))","(np.float64(1070.1885986328125), np.float64(970.67626953125))","(np.float64(1002.1519775390625), np.float64(950.9852905273438))","(np.float64(1070.56201171875), np.float64(984.9860229492188))","(np.float64(995.7242431640625), np.float64(975.1405029296875))","(np.float64(1062.5841064453125), np.float64(1004.8461303710938))","(np.float64(998.2169799804688), np.float64(1001.066162109375))","(np.float64(1056.315673828125), np.float64(1024.91259765625))","(np.float64(1001.9724731445312), np.float64(1031.31005859375))","(np.float64(1054.7099609375), np.float64(1056.719482421875))"
1,0,labels_v001_196_09_14_21_ Cage Tsom_ 4_Virgin_sub0_224_243_analysis_succesful,"(np.float64(1013.7745971679688), np.float64(940.2697143554688))","(np.float64(1070.7872314453125), np.float64(969.8711547851562))","(np.float64(1001.8745727539062), np.float64(950.433349609375))","(np.float64(1072.8173828125), np.float64(984.177490234375))","(np.float64(994.0465087890625), np.float64(974.5440673828125))","(np.float64(1066.820068359375), np.float64(1004.1139526367188))","(np.float64(998.0661010742188), np.float64(1000.5061645507812))","(np.float64(1060.73681640625), np.float64(1024.0494384765625))","(np.float64(1001.955810546875), np.float64(1030.873046875))","(np.float64(1058.8277587890625), np.float64(1054.16552734375))"
2,0,labels_v001_196_09_14_21_ Cage Tsom_ 4_Virgin_sub0_224_243_analysis_succesful,"(np.float64(1016.252685546875), np.float64(940.580322265625))","(np.float64(1070.415283203125), np.float64(970.6759643554688))","(np.float64(1004.2655029296875), np.float64(949.1155395507812))","(np.float64(1072.486083984375), np.float64(984.9898681640625))","(np.float64(996.2456665039062), np.float64(974.8052978515625))","(np.float64(1066.3958740234375), np.float64(1004.8458862304688))","(np.float64(998.6226196289062), np.float64(1000.8489990234375))","(np.float64(1060.3868408203125), np.float64(1024.9947509765625))","(np.float64(1004.2637939453125), np.float64(1031.126708984375))","(np.float64(1060.738037109375), np.float64(1054.981689453125))"
3,0,labels_v001_196_09_14_21_ Cage Tsom_ 4_Virgin_sub0_224_243_analysis_succesful,"(np.float64(1016.2759399414062), np.float64(940.6394653320312))","(np.float64(1070.5028076171875), np.float64(969.2794799804688))","(np.float64(1004.2997436523438), np.float64(949.1904296875))","(np.float64(1072.5208740234375), np.float64(985.0550537109375))","(np.float64(996.3259887695312), np.float64(974.8570556640625))","(np.float64(1066.28076171875), np.float64(1004.8329467773438))","(np.float64(998.719482421875), np.float64(1000.8840942382812))","(np.float64(1060.181396484375), np.float64(1025.133056640625))","(np.float64(1004.3450927734375), np.float64(1031.142822265625))","(np.float64(1060.403076171875), np.float64(1055.083251953125))"
4,0,labels_v001_196_09_14_21_ Cage Tsom_ 4_Virgin_sub0_224_243_analysis_succesful,"(np.float64(1016.1485595703125), np.float64(940.59033203125))","(np.float64(1070.35546875), np.float64(969.0477294921875))","(np.float64(1004.1989135742188), np.float64(949.1563110351562))","(np.float64(1072.343994140625), np.float64(984.838623046875))","(np.float64(996.2250366210938), np.float64(974.8614501953125))","(np.float64(1066.1851806640625), np.float64(1004.6242065429688))","(np.float64(998.6239013671875), np.float64(1000.8632202148438))","(np.float64(1060.109375), np.float64(1024.9453125))","(np.float64(1004.1143798828125), np.float64(1031.1668701171875))","(np.float64(1060.139892578125), np.float64(1054.9752197265625))"
5,0,labels_v001_196_09_14_21_ Cage Tsom_ 4_Virgin_sub0_224_243_analysis_succesful,"(np.float64(1012.7388305664062), np.float64(942.4212646484375))","(np.float64(1069.670654296875), np.float64(969.044921875))","(np.float64(1002.1194458007812), np.float64(951.5682373046875))","(np.float64(1071.6361083984375), np.float64(984.826904296875))","(np.float64(994.4517211914062), np.float64(977.5840454101562))","(np.float64(1065.5567626953125), np.float64(1004.5946044921875))","(np.float64(998.485595703125), np.float64(1003.517578125))","(np.float64(1059.59716796875), np.float64(1024.9168701171875))","(np.float64(1002.0468139648438), np.float64(1031.802978515625))","(np.float64(1057.972900390625), np.float64(1055.0494384765625))"
6,0,labels_v001_196_09_14_21_ Cage Tsom_ 4_Virgin_sub0_224_243_analysis_succesful,"(np.float64(1012.6923217773438), np.float64(942.3648681640625))","(np.float64(1069.5274658203125), np.float64(969.2427368164062))","(np.float64(1002.1171875), np.float64(951.5415649414062))","(np.float64(1071.4853515625), np.float64(984.9940185546875))","(np.float64(994.4159545898438), np.float64(977.5455322265625))","(np.float64(1065.3992919921875), np.float64(1004.787109375))","(np.float64(998.4649047851562), np.float64(1003.4622192382812))","(np.float64(1059.4552001953125), np.float64(1025.0748291015625))","(np.float64(1002.0798950195312), np.float64(1031.77001953125))","(np.float64(1057.790771484375), np.float64(1055.330810546875))"
7,0,labels_v001_196_09_14_21_ Cage Tsom_ 4_Virgin_sub0_224_243_analysis_succesful,"(np.float64(1014.01318359375), np.float64(940.7530517578125))","(np.float64(1070.1729736328125), np.float64(969.1980590820312))","(np.float64(1003.6448364257812), np.float64(950.877197265625))","(np.float64(1072.142333984375), np.float64(984.9828491210938))","(np.float64(995.77978515625), np.float64(974.98193359375))","(np.float64(1066.114013671875), np.float64(1004.8033447265625))","(np.float64(998.1814575195312), np.float64(1000.98388671875))","(np.float64(1060.1669921875), np.float64(1025.0406494140625))","(np.float64(1001.9749145507812), np.float64(1031.221435546875))","(np.float64(1060.2589111328125), np.float64(1055.20556640625))"
8,0,labels_v001_196_09_14_21_ Cage Tsom_ 4_Virgin_sub0_224_243_analysis_succesful,"(np.float64(1014.6707763671875), np.float64(940.7240600585938))","(np.float64(1070.047119140625), np.float64(969.5322875976562))","(np.float64(1004.32275390625), np.float64(950.8475341796875))","(np.float64(1071.9781494140625), np.float64(985.2701416015625))","(np.float64(996.3976440429688), np.float64(974.9668579101562))","(np.float64(1065.8643798828125), np.float64(1005.0863037109375))","(np.float64(998.7847900390625), np.float64(1000.93115234375))","(np.float64(1059.8880615234375), np.float64(1025.3304443359375))","(np.float64(1002.8248291015625), np.float64(1031.190673828125))","(np.float64(1058.2156982421875), np.float64(1057.2999267578125))"
9,0,labels_v001_196_09_14_21_ Cage Tsom_ 4_Virgin_sub0_224_243_analysis_succesful,"(np.float64(1014.6246948242188), np.float64(940.7885131835938))","(np.float64(1069.7445068359375), np.float64(969.285400390625))","(np.float64(1004.2608642578125), np.float64(950.9210815429688))","(np.float64(1071.68505859375), np.float64(985.0444946289062))","(np.float64(996.30517578125), np.float64(975.0332641601562))","(np.float64(1065.515869140625), np.float64(1004.8573608398438))","(np.float64(998.731201171875), np.float64(1001.0001831054688))","(np.float64(1059.5322265625), np.float64(1025.1103515625))","(np.float64(1004.26611328125), np.float64(1031.228515625))","(np.float64(1057.87353515625), np.float64(1057.06591796875))"
