frame,condition,filename,thorax_mosquito1,thorax_mosquito2,abdo1_mosquito1,abdo1_mosquito2,abdo2_mosquito1,abdo2_mosquito2,abdo3_mosquito1,abdo3_mosquito2,abdo4_mosquito1,abdo4_mosquito2
0,0,labels_v001_199_09_14_21_ Cage Tsom_ 5_Virgin_sub0_441_445_attempted_analysis,"(np.float64(1132.9490966796875), np.float64(884.0094604492188))","(np.float64(1201.7767333984375), np.float64(983.3304443359375))","(np.float64(1120.83837890625), np.float64(892.4030151367188))","(np.float64(1195.873046875), np.float64(997.388427734375))","(np.float64(1110.8192138671875), np.float64(918.2701416015625))","(np.float64(1181.5740966796875), np.float64(1011.7473754882812))","(np.float64(1113.0194091796875), np.float64(944.1743774414062))","(np.float64(1163.49951171875), np.float64(1027.4925537109375))","(np.float64(1125.107666015625), np.float64(974.454345703125))","(np.float64(1137.46142578125), np.float64(1047.6429443359375))"
1,0,labels_v001_199_09_14_21_ Cage Tsom_ 5_Virgin_sub0_441_445_attempted_analysis,"(np.float64(1127.7803955078125), np.float64(883.2708740234375))","(np.float64(1195.003662109375), np.float64(983.4640502929688))","(np.float64(1115.6461181640625), np.float64(891.6414794921875))","(np.float64(1187.4227294921875), np.float64(997.56640625))","(np.float64(1104.1304931640625), np.float64(917.5808715820312))","(np.float64(1171.3543701171875), np.float64(1011.6629638671875))","(np.float64(1107.7677001953125), np.float64(943.4468383789062))","(np.float64(1152.935302734375), np.float64(1025.4456787109375))","(np.float64(1119.586669921875), np.float64(973.7217407226562))","(np.float64(1127.11279296875), np.float64(1047.396240234375))"
2,0,labels_v001_199_09_14_21_ Cage Tsom_ 5_Virgin_sub0_441_445_attempted_analysis,"(np.float64(1132.26318359375), np.float64(884.10986328125))","(np.float64(1200.5269775390625), np.float64(983.5184326171875))","(np.float64(1120.10986328125), np.float64(892.5009765625))","(np.float64(1194.556884765625), np.float64(997.6334228515625))","(np.float64(1110.0252685546875), np.float64(918.3223266601562))","(np.float64(1178.716064453125), np.float64(1011.9810791015625))","(np.float64(1112.1383056640625), np.float64(944.2598266601562))","(np.float64(1160.4544677734375), np.float64(1027.666015625))","(np.float64(1123.99560546875), np.float64(976.130126953125))","(np.float64(1136.376708984375), np.float64(1047.9566650390625))"
3,0,labels_v001_199_09_14_21_ Cage Tsom_ 5_Virgin_sub0_441_445_attempted_analysis,"(np.float64(1147.7896728515625), np.float64(888.6301879882812))","(np.float64(1217.5650634765625), np.float64(985.5335693359375))","(np.float64(1135.7376708984375), np.float64(897.1083984375))","(np.float64(1211.784912109375), np.float64(999.7582397460938))","(np.float64(1124.1199951171875), np.float64(922.97314453125))","(np.float64(1197.602294921875), np.float64(1015.678955078125))","(np.float64(1127.908447265625), np.float64(948.8682861328125))","(np.float64(1179.5782470703125), np.float64(1031.5794677734375))","(np.float64(1141.810546875), np.float64(980.75830078125))","(np.float64(1155.7364501953125), np.float64(1053.570556640625))"
4,0,labels_v001_199_09_14_21_ Cage Tsom_ 5_Virgin_sub0_441_445_attempted_analysis,"(np.float64(1150.751708984375), np.float64(887.7387084960938))","(np.float64(1221.4697265625), np.float64(982.7777099609375))","(np.float64(1138.6343994140625), np.float64(896.152587890625))","(np.float64(1217.1094970703125), np.float64(996.9855346679688))","(np.float64(1128.5992431640625), np.float64(922.0700073242188))","(np.float64(1203.012939453125), np.float64(1012.8494873046875))","(np.float64(1132.535400390625), np.float64(947.97607421875))","(np.float64(1185.0394287109375), np.float64(1028.6583251953125))","(np.float64(1146.498779296875), np.float64(978.275390625))","(np.float64(1161.2911376953125), np.float64(1052.699462890625))"
5,0,labels_v001_199_09_14_21_ Cage Tsom_ 5_Virgin_sub0_441_445_attempted_analysis,"(np.float64(1147.840576171875), np.float64(888.4102783203125))","(np.float64(1218.141845703125), np.float64(983.7111206054688))","(np.float64(1134.1575927734375), np.float64(896.81640625))","(np.float64(1212.3135986328125), np.float64(997.86767578125))","(np.float64(1124.0675048828125), np.float64(922.7348022460938))","(np.float64(1198.168701171875), np.float64(1013.6800537109375))","(np.float64(1127.869140625), np.float64(948.607177734375))","(np.float64(1180.1114501953125), np.float64(1029.442138671875))","(np.float64(1141.8258056640625), np.float64(978.8577880859375))","(np.float64(1156.2567138671875), np.float64(1053.4130859375))"
6,0,labels_v001_199_09_14_21_ Cage Tsom_ 5_Virgin_sub0_441_445_attempted_analysis,"(np.float64(1135.58349609375), np.float64(884.0796508789062))","(np.float64(1204.244384765625), np.float64(983.9910278320312))","(np.float64(1123.316650390625), np.float64(894.1541137695312))","(np.float64(1198.2364501953125), np.float64(998.0841064453125))","(np.float64(1113.1654052734375), np.float64(918.287353515625))","(np.float64(1182.4793701171875), np.float64(1012.3259887695312))","(np.float64(1115.2232666015625), np.float64(944.1534423828125))","(np.float64(1164.1956787109375), np.float64(1028.0528564453125))","(np.float64(1127.1573486328125), np.float64(976.122314453125))","(np.float64(1140.2735595703125), np.float64(1050.1815185546875))"
7,0,labels_v001_199_09_14_21_ Cage Tsom_ 5_Virgin_sub0_441_445_attempted_analysis,"(np.float64(1133.483642578125), np.float64(883.9033813476562))","(np.float64(1200.1390380859375), np.float64(984.2340087890625))","(np.float64(1119.7056884765625), np.float64(893.9844970703125))","(np.float64(1194.10009765625), np.float64(998.3232421875))","(np.float64(1109.5294189453125), np.float64(918.0670166015625))","(np.float64(1178.3211669921875), np.float64(1012.4937133789062))","(np.float64(1111.5303955078125), np.float64(943.9566650390625))","(np.float64(1160.0201416015625), np.float64(1028.1837158203125))","(np.float64(1123.3798828125), np.float64(976.0326538085938))","(np.float64(1134.4871826171875), np.float64(1050.3681640625))"
8,0,labels_v001_199_09_14_21_ Cage Tsom_ 5_Virgin_sub0_441_445_attempted_analysis,"(np.float64(1135.979736328125), np.float64(884.4404296875))","(np.float64(1204.1260986328125), np.float64(984.5176391601562))","(np.float64(1123.6529541015625), np.float64(894.5580444335938))","(np.float64(1198.09521484375), np.float64(998.61767578125))","(np.float64(1111.9879150390625), np.float64(918.640625))","(np.float64(1182.28515625), np.float64(1012.8342895507812))","(np.float64(1113.7054443359375), np.float64(944.472412109375))","(np.float64(1164.0057373046875), np.float64(1028.54296875))","(np.float64(1125.9703369140625), np.float64(976.635986328125))","(np.float64(1140.16064453125), np.float64(1050.8798828125))"
9,0,labels_v001_199_09_14_21_ Cage Tsom_ 5_Virgin_sub0_441_445_attempted_analysis,"(np.float64(1145.0469970703125), np.float64(888.2418823242188))","(np.float64(1215.0950927734375), np.float64(985.3328247070312))","(np.float64(1132.86474609375), np.float64(896.7408447265625))","(np.float64(1209.0648193359375), np.float64(999.45751953125))","(np.float64(1122.75830078125), np.float64(922.6602783203125))","(np.float64(1194.8941650390625), np.float64(1013.7176513671875))","(np.float64(1124.726806640625), np.float64(948.4921875))","(np.float64(1176.6705322265625), np.float64(1029.4365234375))","(np.float64(1140.5670166015625), np.float64(980.4547729492188))","(np.float64(1154.7642822265625), np.float64(1053.56689453125))"
