Observation id	08.20.21_ Set 2_ Cage B_ 3_Virgin							
								
Media file(s)								
								
Player #1	/Volumes/LaCie/08.20.21/Set 2/Cage B/3.mp4							
								
Observation date	2021-11-17 14:54:12							
								
Description								
								
Time offset (s)	0.0							
								
independent variables								
variable	value							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
29.154	/Volumes/LaCie/08.20.21/Set 2/Cage B/3.mp4	505.270	30.0	female	genital contact			START
45.925	/Volumes/LaCie/08.20.21/Set 2/Cage B/3.mp4	505.270	30.0	female	genital contact			STOP
59.554	/Volumes/LaCie/08.20.21/Set 2/Cage B/3.mp4	505.270	30.0	female	genital contact			START
63.560	/Volumes/LaCie/08.20.21/Set 2/Cage B/3.mp4	505.270	30.0	female	genital contact			STOP
64.056	/Volumes/LaCie/08.20.21/Set 2/Cage B/3.mp4	505.270	30.0	female	genital contact			START
67.065	/Volumes/LaCie/08.20.21/Set 2/Cage B/3.mp4	505.270	30.0	female	genital contact			STOP
181.390	/Volumes/LaCie/08.20.21/Set 2/Cage B/3.mp4	505.270	30.0	female	genital contact			START
197.915	/Volumes/LaCie/08.20.21/Set 2/Cage B/3.mp4	505.270	30.0	female	genital contact			STOP
344.387	/Volumes/LaCie/08.20.21/Set 2/Cage B/3.mp4	505.270	30.0	female	genital contact			START
354.919	/Volumes/LaCie/08.20.21/Set 2/Cage B/3.mp4	505.270	30.0	female	genital contact			STOP
368.587	/Volumes/LaCie/08.20.21/Set 2/Cage B/3.mp4	505.270	30.0	female	genital contact			START
381.590	/Volumes/LaCie/08.20.21/Set 2/Cage B/3.mp4	505.270	30.0	female	genital contact			STOP
