Observation id	08.23.21_ Cage B_ 1_Virgin							
								
Media file(s)								
								
Player #1	/Volumes/LaCie/08.23.21/Cage B/1.mp4							
								
Observation date	2021-11-29 17:02:44							
								
Description								
								
Time offset (s)	0.0							
								
independent variables								
variable	value							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
113.101	/Volumes/LaCie/08.23.21/Cage B/1.mp4	524.970	30.0	female	genital contact			START
125.611	/Volumes/LaCie/08.23.21/Cage B/1.mp4	524.970	30.0	female	genital contact			STOP
346.123	/Volumes/LaCie/08.23.21/Cage B/1.mp4	524.970	30.0	female	genital contact			START
355.421	/Volumes/LaCie/08.23.21/Cage B/1.mp4	524.970	30.0	female	genital contact			STOP
