Observation id	09.07.21_ Cage 3_ 4_Virgin							
								
Media file(s)								
								
Player #1	/Volumes/LaCie/09.07.21/Cage 3/4.mp4							
								
Observation date	2022-01-06 17:28:06							
								
Description								
								
Time offset (s)	0.0							
								
independent variables								
variable	value							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
90.589	/Volumes/LaCie/09.07.21/Cage 3/4.mp4	522.370	30.0	female	genital contact			START
106.599	/Volumes/LaCie/09.07.21/Cage 3/4.mp4	522.370	30.0	female	genital contact			STOP
345.000	/Volumes/LaCie/09.07.21/Cage 3/4.mp4	522.370	30.0	female	genital contact			START
346.987	/Volumes/LaCie/09.07.21/Cage 3/4.mp4	522.370	30.0	female	genital contact			STOP
414.788	/Volumes/LaCie/09.07.21/Cage 3/4.mp4	522.370	30.0	female	genital contact			START
440.101	/Volumes/LaCie/09.07.21/Cage 3/4.mp4	522.370	30.0	female	genital contact			STOP
