Observation id	09.14.21_ Cage Kal_ 2_Mated							
								
Media file(s)								
								
Player #1	/Volumes/LaCie/09.14.21/Cage Kal/2.mp4							
								
Observation date	2022-01-11 14:20:28							
								
Description								
								
Time offset (s)	0.0							
								
independent variables								
variable	value							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
387.350	/Volumes/LaCie/09.14.21/Cage Kal/2.mp4	499.470	30.0	female	genital contact			START
393.344	/Volumes/LaCie/09.14.21/Cage Kal/2.mp4	499.470	30.0	female	genital contact			STOP
