Observation id	09.14.21_ Cage Tsom_ 3_Virgin							
								
Media file(s)								
								
Player #1	/Volumes/LaCie/09.14.21/Cage Tsom/3.mp4							
								
Observation date	2022-04-28 15:23:24							
								
Description								
								
Time offset (s)	0.0							
								
independent variables								
variable	value							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
241.656	/Volumes/LaCie/09.14.21/Cage Tsom/3.mp4	505.000	30.0	female	genital contact			START
242.090	/Volumes/LaCie/09.14.21/Cage Tsom/3.mp4	505.000	30.0	female	genital contact			STOP
242.488	/Volumes/LaCie/09.14.21/Cage Tsom/3.mp4	505.000	30.0	female	genital contact			START
256.400	/Volumes/LaCie/09.14.21/Cage Tsom/3.mp4	505.000	30.0	female	genital contact			STOP
277.985	/Volumes/LaCie/09.14.21/Cage Tsom/3.mp4	505.000	30.0	female	genital contact			START
278.290	/Volumes/LaCie/09.14.21/Cage Tsom/3.mp4	505.000	30.0	female	genital contact			STOP
301.827	/Volumes/LaCie/09.14.21/Cage Tsom/3.mp4	505.000	30.0	female	genital contact			START
302.852	/Volumes/LaCie/09.14.21/Cage Tsom/3.mp4	505.000	30.0	female	genital contact			STOP
