Observation id	08.19.21_ Set 1_ Cage B_ 2_Virgin							
								
Media file(s)								
								
Player #1	/Volumes/LaCie/08.19.21/Set 1/Cage B/2.mp4							
								
Observation date	2021-10-15 12:26:53							
								
Description								
								
Time offset (s)	0.0							
								
independent variables								
variable	value							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
121.340	/Volumes/LaCie/08.19.21/Set 1/Cage B/2.mp4	526.700	30.0	female	mating			START
131.840	/Volumes/LaCie/08.19.21/Set 1/Cage B/2.mp4	526.700	30.0	female	mating			STOP
