Observation id	08.20.21_ Set 1_ Cage A_ 2_Virgin							
								
Media file(s)								
								
Player #1	/Volumes/LaCie/08.20.21/Set 1/Cage A/2.mp4							
								
Observation date	2021-11-03 11:27:15							
								
Description								
								
Time offset (s)	0.0							
								
independent variables								
variable	value							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
158.658	/Volumes/LaCie/08.20.21/Set 1/Cage A/2.mp4	542.500	30.0	female	mating			START
173.152	/Volumes/LaCie/08.20.21/Set 1/Cage A/2.mp4	542.500	30.0	female	mating			STOP
