Observation id	09.14.21_ Cage Tsom_ 2_Virgin							
								
Media file(s)								
								
Player #1	/Volumes/LaCie/09.14.21/Cage Tsom/2.mp4							
								
Observation date	2022-04-28 14:43:09							
								
Description								
								
Time offset (s)	0.0							
								
independent variables								
variable	value							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
333.088	/Volumes/LaCie/09.14.21/Cage Tsom/2.mp4	502.200	30.0	female	mating			START
349.837	/Volumes/LaCie/09.14.21/Cage Tsom/2.mp4	502.200	30.0	female	mating			STOP
